Genename,VCPonly
ZDHHC3,true
PRKD2,true
RPS27A,true
KPNA2,true
NFYC,true
DNMT3A,true
SNRPE,true
LSM5,true
STARD13,true
CDCA8,true
KLF11,true
MAGI3,true
CTTNBP2,true
HMCN1,true
PKIB,true
HADHB,true
KCNN3,true
MMTAG2,true
KNSTRN,true
HIST1H1A,true
ADAM10,true
NR2F1,true
ATXN3L,true
CD28,true
OSBPL2,true
NT5DC1,true
HAUS1,true
CSRP1,true
RPL22L1,true
LUC7L3,true
KRT36,true
TIMM50,true
HDGFRP3,true
IL6ST,true
COX20,true
ZNF302,true
XPR1,true
ADNP2,true
COA7,true
MYH11,true
ANGEL2,true
MGC2474,true
KRT85,true
KLHDC4,true
RTN3,true
SOAT1,true
LRSAM1,true
RPAP3,true
INTS7,true
RAB5A,true
RNF166,true
PIK3CB,true
SRSF11,true
KRT5,true
ASS1,true
HEXIM1,true
FKBP10,true
BMP2K,true
IRS2,true
FNBP1,true
KRT81,true
UBR7,true
PTPN23,true
PRR22,true
MFAP4,true
KPNA4,true
NKD2,true
PTPN18,true
PEAK1,true
DNM3,true
PTPRJ,true
ARHGEF5,true
AP2S1,true
ARHGAP9,true
ASNS,true
RET,true
BCL7B,true
MICAL1,true
WIPF2,true
GAREM1,true
DNAJA3,true
FLJ13052,true
EURL,true
GSTK1,true
TBC1D10A,true
TYW1,true
ERO1A,true
P8,true
CAD,true
CDC5L,true
ZNF8,true
MPP6,true
TBCB,true
ZNF568,true
ELP2,true
HMGB3,true
C12orf43,true
GJA9,true
ZNF483,true
IMPDH2,true
FABP1,true
RBM15B,true
FBXO21,true
ACLY,true
RAD50,true
TBX1,true
RSBN1L,true
ABI3BP,true
ZNF620,true
MYL12B,true
AKAP8L,true
IRF5,true
AKR1A1,true
CRYBB1,true
NOMO1,true
GLCCI1,true
OSBPL8,true
MAGEB2,true
TOX4,true
KRT73,true
HSD17B4,true
FGD6,true
AGER,true
MLXIPL,true
SH3BP2,true
PTPN22,true
OCRL,true
BLNK,true
OTUD5,true
PLXNB1,true
WDR44,true
AGT,true
ITIH4,true
CFH,true
CUTA,true
CD164,true
ANXA8L1,true
ZNF569,true
PRMT8,true
KRT35,true
G6PD,true
AGO4,true
PNMT,true
ZNF649,true
ATL1-alpha,true
PLA2G4C,true
AP2A2,true
AHDC1,true
EPPK1,true
POLR3A,true
