Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	367/808	0.00000000000000000000000000000000000000000000000000000000000000000000000000009283428512756655263223062955195940994841365715595153910554283511262980022548121929889555377961332662377431591260454930147214077181532492607270907668135657555795428745857704364932775544113317811589780603753752075135707855224609375	0.00000000000000000000000000000000000000000000000000000000000000000000000003843339404281255189997029004929825797003458722130147690043692209610350361688094729957993184644891823884982530605186706056994393335139153888241630960660132114713101313810127034994632531927916119229848845861852169036865234375	0.00000000000021131831918404544792337574105221676529740848504701489218859933316707611083984375	0.000000000051688753641239233943761341748130409314010424992602565907873213291168212890625	-2.229522461485681	376.88952474485853	EPHB6;CYFIP1;SPARC;WIPF1;ITSN1;SLC4A1;RBPJ;CLDN1;ACTB;CRKL;EPS8;RABGEF1;PSMD7;RAVER1;PPP2R1A;STMN1;TRIM24;AKT1;PRKACA;SKP2;MYOZ1;MYOZ2;HES6;PRKCI;CSNK2A1;ACTN2;PRKCE;KRT8;KRT7;SCRIB;PRKCA;ACTN4;FRS3;HSPG2;ATG12;GABRG2;CD2AP;RNF123;PARD3;PFN1;TLN1;EZR;TP53;SKAP2;GNE;PFN2;EPAS1;CTBP1;PIK3R3;NEDD4L;IQGAP1;PIK3R1;PRKCZ;HIF1A;NCSTN;MAP2;PRKAR2A;CD19;INPP5D;PLCG2;SFN;TRPM7;PLCG1;FADD;SPTBN1;LYN;VASP;YES1;JUP;FN1;RAB27A;BRAF;L1CAM;PTK2;GADD45G;SULT1B1;OCLN;ID2;GIPC1;GRB2;CD22;ROBO2;GABRB2;CDKN1A;CDKN1B;SH3KBP1;TCF21;PTPRF;HERPUD1;ING4;PPP3CA;UCHL1;TUBA1A;MAP1LC3A;HEY1;NMRK2;CTLA4;TMED2;RAC1;JAK2;HRAS;APPL2;GIT1;RAB8A;MAP4K1;ACTL6B;MYOC;SYK;ANXA2;SPHK2;PRMT1;GAB1;AGTRAP;GAB3;PRPF40A;FOS;GAB2;SIRT1;ZHX1;RHOA;MED28;VAV2;ENAH;KAT2B;MED25;ZEB2;KAT2A;CTTN;RARA;RAPGEF2;CDC42EP1;HCLS1;CD47;MAPT;ARHGEF7;DBN1;ARF6;TAGLN;PCNA;SYNPO2;KCNA2;WAS;HTT;NEDD9;PTGS2;PPP2CA;PAK1;SPP1;CTNNA1;TCEB1;CTNNA3;BID;PAK2;ARNT2;EGLN3;PEX19;CDKN2A;SYVN1;WWP1;SORBS1;SORBS3;PPP1CA;CAPZA1;ZYX;CTNNB1;FAS;RAB3B;RAB3A;IRS1;INPPL1;TNF;CTGF;RPH3A;EIF4ENIF1;CCND3;ZFP36;CCND1;CDH2;CDH1;GRB10;EP300;SH3GL2;MAP3K5;SH3GL1;MAGI1;USP7;MAP2K1;FKBPL;FBXW7;IGFBP3;CTNNBIP1;CASK;TSC2;DOK1;DOK2;CCNE1;HGS;PKP4;MATR3;UTRN;RAF1;DSC1;VCL;NOTCH2;KHDRBS1;NOTCH3;CSF1R;VCP;KHDRBS3;TSG101;NOTCH1;CD151;SHC1;DIABLO;NOTCH4;CUL2;PXN;PSEN1;NCKIPSD;VTN;SDCBP;TBXA2R;NPHP1;DVL1;CDH22;ABL1;DVL2;DVL3;RIPK1;SOCS6;MPDZ;MYH10;SMAD2;PRNP;MGEA5;SMAD1;HSPA8;SMAD4;KIRREL;UBE2I;TGFB1;SMAD3;SMURF2;VDR;SMURF1;CAV1;SMAD6;ARHGAP24;SMAD7;CDK9;CDK6;ARPC2;CDK5;SP1;PTPRA;CDK4;BHLHE40;MDM2;BCL2;CNTN2;TCF3;TAB1;NF2;BCL2L1;ITGB1;YWHAE;GSK3B;HSP90AB1;SH2D4A;ITGB5;LDB1;MCM7;THRA;ITGB4;YWHAB;LAMC3;LRRK2;ITGB3;FHL2;PTEN;FHL3;ILK;ARRB1;ARRB2;LAMC1;PKD2;PIK3CG;HK1;LASP1;SGCD;CASP8;SUMO1;YWHAQ;CASP3;NCK2;YWHAG;NCK1;YWHAH;SNTA1;ACTR3;ACTR2;HSP90AA1;PDCD6IP;PROP1;ITGA3;AXIN1;PLAUR;SEPT2;TGFBR1;DNM2;TGFBR2;CCNA2;TBC1D4;LCK;PALLD;RASA1;HAND1;PECAM1;MYH9;LCP2;ITGA6;SOS1;SOS2;CRK;PLEC;CAMK2B;CEBPA;MTPN;HDAC2;CAMK2D;SMARCD3;SRC;LEF1;CBL;FYB;ADD2;MAPK8;PARD6A;SH3BP1;ERBB4;NRIP1;E2F1;PTK2B;MAPK1;FYN;E2F3;CSK;VHL;WASF1;MAPK3;LAMB2;PTPN11;PTPN12;BAIAP2;PTPN13;EPOR;MTOR;MYO1C;MLPH;NPHS1;LNX1;BAX;STUB1;VIM;BCAR1;SNTB1;SNTB2
TNF-alpha NF-kB Signaling Pathway_Mus musculus_WP246	125/179	0.00000000000000000000000000000000000000000000000000003792246085318590230888486638216164268831982652563430275555704579310403158147592117946553805913130987040624543027294077727532349323075026858997915724103222601115703582763671875	0.00000000000000000000000000000000000000000000000000784994939660948184748678266649661101895224024482454154604214808088111583335999803885401650503323162437369435512665694470234669689878703735530507401563227176666259765625	0.00000000000024970412387072094570674815158136042986779246088957506799488328397274017333984375	0.000000000051688753641239233943761341748130409314010424992602565907873213291168212890625	-2.2559334821005894	260.2700522159755	RPL4;RPL30;PEBP1;RPL8;TNF;DCAF7;CCAR2;RPL6;FBL;PSMD6;PSMD7;TBK1;PSMD3;DPF2;PAPOLA;AKT1;CAPN3;PSMD1;MAP3K8;RPS11;PRKACA;KPNA3;RPS13;SKP1;PIAS3;SMARCC1;CSNK2A1;USP2;CSNK2A2;CDC34;FANCD2;CDC37;CSNK2B;FKBP5;NSMAF;PSMD12;PSMD13;CUL1;TNFRSF11A;PRKCZ;RIPK1;FADD;MARK2;CREBBP;UBE2I;CRADD;CAV1;MCC;NFKB1;PTK2;NFKB2;NFKBIA;COPS3;CYLD;BCL3;REL;ALPL;TAB2;TAB1;NFKBIE;MAP3K14;NFKBIB;YWHAE;GSK3B;DDX3X;HSP90AB1;MCM7;YWHAB;TRADD;FAF1;TNFAIP3;HSPB1;IKBKAP;IKBKB;CASP7;CASP8;SUMO1;CASP3;CASP2;IKBKG;IKBKE;YWHAG;YWHAH;HSP90AA1;RIPK3;CHUK;RIPK2;ACTL6A;GAB1;TRAF2;TRAF1;COMMD1;TNFRSF1B;YWHAZ;TNFRSF1A;TRAF4;TRAF3;POLR1A;TRAF6;POLR1C;MCM5;BIRC2;BIRC3;HDAC2;SRC;HDAC1;USP11;RELA;HDAC6;PPP2CA;TIFA;FLNA;POLR2H;SMARCE1;MAP3K3;CASP8AP2;MAP3K1;PTPN11;CFLAR;PML;LRPPRC;TNIP1;TNIP2;PSMC1;PSMC2
EGFR1 Signaling Pathway_Mus musculus_WP572	115/171	0.00000000000000000000000000000000000000000000024241860909201234744975676562216642043547263095310215691438857063114070760420637646257515185121191079461061782126217456490024915183312259614467620849609375	0.00000000000000000000000000000000000000000003345376805469770519266948922808730744890803382755294577223605649133084426960380290977513776254393192644522988447690348134955229397746734321117401123046875	0.00000000001350322391408710244274875943468089173511714751185763816465623676776885986328125	0.000000001863444900144020250190428174470215483271573475576587952673435211181640625	-2.148610974318129	215.08920419406164	USP6NL;INPPL1;ARAF;PEBP1;CBLC;CBLB;CRKL;EPS8;SNRPD2;MYC;RPS6KA2;GRB10;AKT1;SH3GL2;RALBP1;PRKCI;MAP2K1;PRKCB;KRT8;KRT7;PRKCA;EEF1A1;DOK2;HAT1;RAF1;SHC1;STXBP1;PXN;PIK3R3;PIK3R1;PRKCZ;PLD2;SOCS3;PLCG2;RIPK1;PLCG1;RALGDS;SMAD2;STAT5A;STAT5B;JUN;SMAD3;CAV1;PTK6;WNK1;SP1;GRB2;MAP3K14;HIP1;SH3KBP1;YWHAB;AP2A1;PIK3CG;CASP9;SIN3A;NCK2;RAC1;JAK2;HRAS;APPL2;GIT1;NCK1;TGIF1;GAB1;GAB2;FOS;EPN1;VAV1;VAV2;PLSCR1;CEACAM1;CREB1;RASA1;SOS1;SOS2;CRK;PLEC;CEBPA;CEBPB;SRC;HDAC1;RGS16;HTT;CBL;EGFR;NRAS;PAK1;MAPK8;MAPK7;PTK2B;MAPK1;CSK;RBBP7;MTA2;EPS15;REPS1;SNCA;MAPK3;MAP3K3;MAP3K1;STAT3;PTPN11;PTPN12;MAPK14;ITCH;KRT18;TNIP1;KRT17;ABI1;SPRY2;PKN2;KRAS;PTPN5;BCAR1;ZPR1
Integrated Pancreatic Cancer Pathway_Homo sapiens_WP2377	117/192	0.0000000000000000000000000000000000000001216617812050694331329012723398834579085203812680511921685857377068111943307064919987870107840479026663389749973731568388757295906543731689453125	0.0000000000000000000000000000000000000125919943547246867574783873995811099588949103812042317323375282884308883098886393120750435428589915874686422370132277137599885463714599609375	0.0000000007733176695598687093411432658053746014292784138888237066566944122314453125	0.00000005335891919963094073774373220231392878076803754083812236785888671875	-2.219460220387933	193.68731603495536	APP;CD82;TNF;FGF2;STK11;CCND1;MYC;CHEK1;STMN1;AKT1;EP300;CAPN1;JUNB;MAP3K5;DAXX;MAP2K1;LIG1;IGFBP3;PRKCA;CDC25C;PIAS1;CCNE1;RAF1;TP53;FKBP3;FTL;PDGFA;RAP1A;ABL1;TP53BP2;FADD;SMAD2;STAT5A;CREBBP;SMAD4;JUN;TGFB1;GADD45A;BDNF;PLK1;EIF2AK2;SMAD6;ESR1;ESR2;NFKB1;NFKBIA;POLA1;SP1;CDK4;CDK2;MDM2;BCL2;GRB2;ATM;MNAT1;TOP2A;CDKN1A;CDKN1B;HSP90AB1;PTEN;FASLG;BRCA1;CASP9;SHH;CASP7;CASP8;CASP10;HNF4A;CASP3;RAC1;NCK1;ANXA1;TBP;CHUK;DCC;TRAF2;SIRT1;TGFBR1;TNFRSF1A;CCNA2;CREB1;RBL1;POLR1A;RARA;MAPT;TOP1;SOS1;CRK;PCNA;PRKAA2;SRC;TYMS;PTGS2;HDAC8;THBS1;EGFR;PAK1;MAPK8;WRN;MAPK7;ERBB2;E2F1;MAPK1;BID;MAPK3;CDKN2B;RRM1;MRE11A;MAPK14;PML;FKBP1A;RAD52;FKBP1B;FAS;BAX;CTNNB1;KRAS
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	105/163	0.000000000000000000000000000000000000000860973808503853376224612246982324466849885909913400211338823142153495589931689833424556763099842510329751110731422159005887806415557861328125	0.0000000000000000000000000000000000000712886313441190545921664983712578255553470303058533951659697200378948585497802120505636340905774271659023355596218607388436794281005859375	0.000000000640466463626753864567851687599094046010606007257592864334583282470703125	0.00000005303062318829522147514322232865480177821382312686182558536529541015625	-1.9775816082076294	169.1506269639977	USP6NL;SH3GL3;INPPL1;PEBP1;CBLC;CBLB;CRKL;EPS8;RPS6KA2;CFL1;STMN1;GRB10;AKT1;SH3GL2;AP2M1;PIAS3;RALBP1;PRKCI;MAP2K1;MEF2C;PRKCB;PRKCA;DOK2;HGS;RAF1;SHC1;STXBP1;TWIST1;FOXO4;PIK3R1;IQGAP1;PRKCZ;PLD2;RAP1A;INPP5D;EIF4EBP1;ABL1;PLCG1;RALGDS;STAT5A;STAT5B;JUN;CAV1;PTK6;BRAF;PTK2;SYNJ1;SP1;GRB2;SH3KBP1;PTEN;AP2A1;NCK2;RAC1;JAK2;HRAS;NCK1;MAP4K1;NCOA3;GAB1;GAB2;FOS;EPN1;VAV1;VAV2;PLSCR1;CREB1;RASA1;SOS1;SOS2;CRK;ARF6;PCNA;ROCK1;SRC;NEDD8;CBL;EGFR;CDC42;PAK1;MAPK8;MAPK7;ERBB2;E2F1;PTK2B;MAPK1;CSK;EPS15;MAP3K3;MAP3K1;NOS3;LIMK2;STAT3;PTPN11;PTPN12;AP2B1;MAPK14;MTOR;ITCH;NEDD4;ABI1;SPRY2;KRAS;PTPN5;BCAR1
TGF-beta Signaling Pathway_Homo sapiens_WP366	92/132	0.0000000000000000000000000000000000000026359152373611813998440447761626880450235167307899384413843392195001415435667780972163058828647923237907535476409748298465274274349212646484375	0.0000000000000000000000000000000000001818781513779215351863568233510203762309608658056662862038375416420644276182215867966363530205064179268159563207518658600747585296630859375	0.00000000043141637506334944893759725421944484224923144211061298847198486328125	0.000000044651594819056671273763766023823240658430222538299858570098876953125	-1.8795822159559894	159.00792204623542	ITGB1;ATF2;APP;CDKN1A;ITGB4;TGFB1I1;ITGB3;ETS1;CCND1;SUMO1;SIN3A;MYC;AKT1;SNIP1;EP300;RAC1;MAP3K7;JUNB;SKP1;NUP214;TGIF1;MAP4K1;MAP2K4;MAP2K1;MEF2C;FOXH1;AXIN1;FOS;RHOA;TGFBR1;RBX1;PIAS1;TGFBR2;RBL2;ZEB2;ZEB1;RBL1;HGS;TRAF6;SIK1;RAF1;SOS1;TP53;ROCK1;SHC1;SRC;HDAC1;CUL1;NEDD4L;NEDD9;PIK3R1;THBS1;CDC42;MAPK8;PARD6A;TERT;PRKAR2A;MAPK1;PAK2;SKIL;SPTBN1;MAP2K6;SMAD2;TRAP1;CREBBP;SMAD4;JUN;CDKN2B;TGFB1;UBE2I;SMAD3;SMURF2;SMURF1;CAV1;LIMK2;FN1;WWP1;MAPK14;PML;PTK2;SMAD7;DAB2;ITCH;KLF6;COPS5;COL1A2;SNW1;SP1;CDK1;GRB2;TAB1;BCAR1
PluriNetWork_Mus musculus_WP1763	141/284	0.000000000000000000000000000000000072336468014887473500193025230418775171216011948484104375499844873540564964370778855073875097947411205723255989141762256622314453125	0.00000000000000000000000000000000427818539402334447641901209606573737303181000828266933796264009025095804994521576404553631078897524275816977024078369140625	0.0000002949887373115032956696359399406670576126998639665544033050537109375	0.000008141689149797490664020420403357292116197641007602214813232421875	-2.03180329149961	151.4339141423584	ATF2;KDM1A;RIF1;IRS1;EHMT2;HNRNPU;RBPJ;ICAM1;SOX2;YY1;KAT5;CCND1;TRIM28;PPP2R1A;CDH1;DPYSL2;MYC;PIM1;TRIM24;AKT1;EP300;SMARCAD1;PRKACA;PRKCG;PIAS4;MEF2C;USP7;MAP2K1;SMARCC1;IGFBP3;MITF;HCFC1;NCL;RAF1;TP53;KPNB1;KMT2D;DNMT1;NOTCH1;CTBP2;CTBP1;DHX9;NEDD4L;TWIST1;PSEN1;HIF1A;TERT;RRAS;DVL1;LYAR;TFAP2A;SMAD2;SMAD1;CREBBP;TFAP2C;SMAD4;TGFB1;UBE2I;SMAD3;GADD45A;H3F3C;SMURF1;SMARCA2;NFKB1;SMAD7;GDF9;OCLN;SP1;ID1;SP3;CDK2;REL;MDM2;PAF1;PIN1;GRB2;OGT;ITGB1;GSK3B;CDKN1A;KDM5C;PTPRS;PTEN;CHD4;BRCA1;CABIN1;MED12;SHH;SUMO1;ZIC3;SIN3A;CASP3;DNMT3B;HRAS;KDM6A;PARP1;EED;ATRX;GAB1;AXIN1;FOS;TERF2;TGFBR1;AES;DDB1;RBL2;HCK;CREB1;RCN2;MYOD1;SOS1;CD44;HDAC4;KDM3A;HDAC2;ROCK1;HDAC1;LEF1;RNF2;RELA;MTA1;RBBP4;SPP1;MAPK1;RBBP7;MTA2;MAPK3;SUZ12;MBD3;CDKN2A;STAT3;WWP2;PTPN11;ARID3B;SSRP1;KLF4;PML;MTOR;CTNNB1;ERCC5;TRIM33
mRNA processing_Mus musculus_WP310	175/398	0.00000000000000000000000000000000024497029979507332253817975095018244157462151977070950244627775141473370319248864945764596230681764410519463126547634601593017578125	0.00000000000000000000000000000001267721301439504389610680125286402953881722434923191347329471009428253475597603920871185578800321991366217844188213348388671875	0.0000049955937185320556476685570357343380010206601582467555999755859375	0.00007756103180455220839038810165533277540816925466060638427734375	-1.9582501335249671	143.82466397644646	LTV1;RPL32;FMR1;HNRNPU;RPL8;SRP14;RPL7;EFTUD2;RPS14;FBL;RAVER1;SNRPD2;CLP1;SNRPD1;PAPOLG;PAPOLA;RPL38;RPS11;TRIM21;RPS13;ZBP1;RPS9;RPS7;RPL22;RPS6;CIRBP;PRPF4B;PRPF4;ILF3;DDX39A;PRPF6;NCL;PRPF3;XRN2;SRSF2;CD2BP2;SRSF4;MATR3;SREK1;SRSF6;SRSF7;SRSF9;SNRPB;DDX5;DHX8;DHX9;DDX1;CSTF2;HTATSF1;MRPL11;FXR1;ATXN1;FXR2;TERT;PCBP3;RAD21;PCBP1;PCBP2;CSTF1;RBM12;PPARGC1A;RBM10;BARD1;SRPK2;CPSF4;TIA1;CPSF7;CPSF1;NONO;EIF2AK2;TDRD7;PUM1;SUPT5H;LSM4;CLK4;QKI;LSM2;PUM2;SRPK1;CLK2;HNRNPL;CNOT4;CDK9;AIMP1;CLK1;HNRNPM;RPS28;HNRNPK;SON;RPS29;RNPS1;RPS20;HNRNPC;BRWD1;RPS24;CPEB4;SUGP1;RPS23;DDX3X;BRCA1;YBX1;CSAD;RBM3;SYNCRIP;RBM4;SART3;AUH;SNRNP70;DHX15;RBM7;RBM5;RBM17;RBM14;PRMT2;PRMT1;PABPC4;PRPF40A;SMC1A;TSN;PTBP3;DDX19B;SFPQ;HNRNPH1;TRAF6;ZNF638;CSDE1;SNRPA1;PABPC1;EIF4E2;SLU7;SF3B4;SF3B5;SF3B2;RNASEL;SF3B3;STAU1;DDX24;POLDIP3;SF3B6;RPL12;RPL11;SRSF1;WBP4;DDX20;DDX21;BCLAF1;EXOSC5;EXOSC4;PUF60;U2AF2;TRA2B;PPP1R8;EXOSC8;SPOP;IGF2BP1;SNRPB2;SF3B1;SRSF10;RPL19;HNRNPA0;SF3A3;SPEN;RBM39;SF3A1;NPM1;NIFK;SRP68;U2SURP;TNRC6C;NUDT21;HNRNPA2B1;EIF3G;TARDBP;RBM45;RBMX
IL-6 signaling Pathway_Mus musculus_WP387	72/97	0.00000000000000000000000000000000057637456838756758323231667666088081803222769477685491982084581991271263507218639631315450222448504291605786420404911041259765625	0.0000000000000000000000000000000238619071312452982879317933055615085725228943591514741689282175978325364311165158038956224384463666865485720336437225341796875	0.00000000553302418012309398327245639156481138432042143904254771769046783447265625	0.000000286334001321370128730395797356234055541790439747273921966552734375	-1.8344670235550777	133.57309274380356	RB1;GSK3B;CD40;INPPL1;HSPB1;PPP2R2A;CASP9;PPP2R1B;PPP2R1A;CASP3;RPS6KA2;AKT1;EP300;RAC1;JAK2;HRAS;MAP2K4;DAXX;MAP2K1;HSP90AA1;GAB1;PPP2R5A;PPP2R5D;GAB2;TYK2;FOS;VAV1;FGR;HCK;MAPKAPK2;BTK;MAPT;RAF1;SOS1;CEBPB;SHC1;HDAC1;PXN;FOXO4;PIK3R1;FOXO3;NLK;PPP2CA;SOCS3;PPP2CB;MAPK8;ERBB3;INPP5D;ERBB2;EIF4EBP1;PTK2B;MAPK1;FYN;PLCG1;MAP2K6;MAPK3;STAT5A;LYN;STAT5B;CREBBP;JUN;STAT3;PTPN11;MAPK14;NFKB1;PTK2;CDK9;TEC;CDK5;FES;PPP2R2B;GRB2
TNF alpha Signaling Pathway_Homo sapiens_WP231	70/92	0.00000000000000000000000000000000030216956723272174885038998452356454274724805759009994183113833065495489736269769471944490572823394103352256934158504009246826171875	0.00000000000000000000000000000001389980009270519865102005410612849475993290472334877476042005977953520024826209922530657892014716026096721179783344268798828125	0.000000004401754385022564676546369464953112338179153084638528525829315185546875	0.00000026033233077133454984029869473671769952716203988529741764068603515625	-1.7383007744527048	127.51033045405374	TRADD;TNFAIP3;TNF;CASP9;IKBKB;CASP7;CASP8;TBK1;CASP3;PSMD2;AKT1;MAP3K8;RAC1;IKBKG;MAP3K7;HRAS;MAP3K5;SKP1;MAP4K2;MAP2K4;HSP90AA1;KSR1;RIPK3;CSNK2A1;CHUK;TRAF2;TRAF1;TNFRSF1B;TNFRSF1A;CDC37;MADD;PTPRCAP;RAF1;SOS1;BIRC2;NSMAF;BIRC3;DIABLO;CUL1;PRKCZ;PPP2CA;NRAS;MAPK8;MAPK1;CCL2;RIPK1;FADD;BID;MAPK3;MAP2K6;MAP3K3;TRAP1;JUN;CREBBP;MAP3K1;PLK1;CFLAR;NFKB1;NFKB2;NFKBIA;REL;BAX;GRB2;KRAS;TAB2;TAB1;NFKBIE;MAP3K14;NFKBIB;BCL2L1
