"GeneSymbol","C9_adjpval","C9rank"
"RALGDS",0.027265507,1
"PTEN",0.07822444,2
"CEBPB",0.143850056,3
"NAP1L1",0.143850056,4
"ITGB5",0.150462396,5
"AHCYL1",0.150462396,6
"UBE2B",0.150462396,7
"UBE2G2",0.15858625,8
"GFAP",0.184961594,9
"EEF1A1",0.189192862,10
"PRKAA1",0.189192862,11
"C9orf72",0.230300075,12
"RWDD1",0.255791065,13
"CNOT2",0.255791065,14
"UPF3A",0.279484531,15
"CDC14B",0.280859732,16
"CD81",0.296905022,17
"CPSF4",0.338461922,18
"IFITM2",0.346820678,19
"KCTD20",0.35487846,20
"CTSH",0.356764893,21
"SP3",0.356764893,22
"MAFF",0.356764893,23
"DSTN",0.360709707,24
"STAT5B",0.373985829,25
"LASP1",0.377660682,26
"SSR1",0.39707416,27
"ARGLU1",0.39807515,28
"TNPO1",0.400267243,29
"KPNA3",0.400887754,30
"TRIM35",0.403529797,31
"S100A11",0.403823818,32
"UQCRB",0.406063337,33
"RDX",0.406063337,34
"DYNLT1",0.406063337,35
"MGEA5",0.406063337,36
"STMN2",0.406063337,37
"IRAK1",0.406063337,38
"C1orf109",0.415498813,39
"STK4",0.415498813,40
"PPP2R2A",0.424054029,41
"SHC1",0.427850077,42
"CAMK2D",0.427850077,43
"EPS15",0.427850077,44
"TUBA1A",0.428781916,45
"COX5A",0.428781916,46
"PRKCA",0.428781916,47
"LYN",0.428781916,48
"WDR48",0.428781916,49
"SH3GL3",0.437881612,50
"PRPF4B",0.439855158,51
"UBE2D2",0.439855158,52
"TRIM8",0.439855158,53
"DVL1",0.452672478,54
"ACTR1A",0.453921336,55
"PTN",0.453921336,56
"CNOT6",0.453921336,57
"HTATSF1",0.460747424,58
"LNPEP",0.474680972,59
"TOB1",0.474680972,60
"SYAP1",0.488798653,61
"GABRG2",0.492740887,62
"MOB1A",0.493750238,63
"ACTR3",0.493750238,64
"TUBB",0.500213182,65
"KAT6A",0.503386181,66
"TUBB2B",0.503386181,67
"SPARC",0.503386181,68
"CIRBP",0.504778398,69
"YES1",0.506143632,70
"CCSER2",0.506143632,71
"VPS35",0.506143632,72
"ARL1",0.506143632,73
"RPS17",0.506143632,74
"CSDE1",0.506143632,75
"DRG1",0.506143632,76
"SOCS3",0.506143632,77
"TMBIM4",0.507408283,78
"EFEMP2",0.508768898,79
"HEY1",0.514849113,80
"NIF3L1",0.515979387,81
"CNOT6L",0.515979387,82
"PECAM1",0.519400694,83
"JUNB",0.524785938,84
"KPNA1",0.524785938,85
"CORO1C",0.524785938,86
"RGS14",0.525977296,87
"SEPT7",0.525977296,88
"RBPJ",0.52651846,89
"RTN4",0.52651846,90
"SEPT2",0.534406047,91
"ATF7IP",0.535391461,92
"AGTPBP1",0.535391461,93
"CCNB1",0.540569569,94
"KIF3A",0.540569569,95
"SMAD6",0.540770214,96
"PDS5B",0.540770214,97
"GLMN",0.540770214,98
"PDHB",0.540770214,99
"GOLIM4",0.540770214,100
"CSNK2A1",0.542569915,101
"VCL",0.544293082,102
"ETS2",0.550066447,103
"PLCG2",0.550066447,104
"CRY1",0.550066447,105
"PGLS",0.550565625,106
"RSRC1",0.551897542,107
"TXNIP",0.551897542,108
"CLK1",0.557352088,109
"PDE4D",0.563776406,110
"NPEPPS",0.563776406,111
"FXR1",0.563776406,112
"TNRC6B",0.563776406,113
"IGFBP5",0.563776406,114
"CACYBP",0.563776406,115
"ACTR2",0.563776406,116
"S100A6",0.563776406,117
"PLOD2",0.564168666,118
"SRP72",0.567220992,119
"PQBP1",0.567220992,120
"APP",0.568533449,121
"ARMC8",0.568533449,122
"SERBP1",0.570033296,123
"YWHAZ",0.572959801,124
"DCTPP1",0.580517482,125
"STK39",0.583388289,126
"RANBP6",0.583388289,127
"SLC35F6",0.584580774,128
"UBR1",0.584580774,129
"PCMT1",0.584580774,130
"YBX1",0.587065299,131
"RAD23B",0.587065299,132
"UBE2D4",0.587065299,133
"TUBB2A",0.587065299,134
"USP14",0.587065299,135
"PTPN4",0.587065299,136
"SMARCA2",0.587065299,137
"MRPL9",0.587161016,138
"TUBB4B",0.589416868,139
"SEPT8",0.590120029,140
"GOLGA3",0.590216683,141
"TNIP2",0.590216683,142
"ZDHHC17",0.591618957,143
"GNL1",0.591685961,144
"WDTC1",0.592740839,145
"GLRX3",0.592740839,146
"YWHAQ",0.594756609,147
"RPS10",0.595112321,148
"WASL",0.595472479,149
"RAB3C",0.595979365,150
"DR1",0.595979365,151
"CHST15",0.595979365,152
"NCOR1",0.595979365,153
"PSMA2",0.595979365,154
"UBASH3B",0.595979365,155
"PPM1L",0.595979365,156
"OTUD1",0.595979365,157
"SUGT1",0.596985344,158
"ADAM17",0.596985344,159
"NOTCH2NL",0.596985344,160
"SH3KBP1",0.596985344,161
"PTPN5",0.596985344,162
"PJA2",0.596985344,163
"SET",0.596985344,164
"RPS4X",0.596985344,165
"WWP2",0.596985344,166
"MAPK8",0.597482837,167
"CTBP2",0.597482837,168
"CALD1",0.597482837,169
"VPS25",0.597482837,170
"FKBP5",0.597482837,171
"GBP2",0.597482837,172
"JMJD6",0.597482837,173
"UBE2V2",0.598287102,174
"PAPOLA",0.598386359,175
"NOTCH2",0.59872784,176
"RPS28",0.59872784,177
"NAPB",0.598759911,178
"USP13",0.600232639,179
"RPS16",0.60057079,180
"MAPRE2",0.605170985,181
"SRRM2",0.605170985,182
"PTMA",0.605170985,183
"SKAP2",0.605170985,184
"MAPT",0.605170985,185
"RPS19",0.605962913,186
"UBQLN1",0.606241073,187
"BCL6",0.606792436,188
"YWHAH",0.607038349,189
"LPL",0.608697222,190
"VDAC1",0.608805487,191
"GABARAPL1",0.610938677,192
"NDUFS1",0.610938677,193
"CCNL1",0.611802087,194
"KMT2C",0.614776618,195
"TTC9C",0.61537705,196
"CYB5A",0.61537705,197
"MCL1",0.620889479,198
"TTC19",0.628726464,199
"ATP5C1",0.628726464,200
"KCMF1",0.628726464,201
"ZFYVE26",0.629462579,202
"PTGER3",0.629462579,203
"MAP2K4",0.629630957,204
"PPP4R2",0.630408759,205
"GOLGA2",0.630694208,206
"SASH1",0.631066966,207
"RGS7BP",0.631066966,208
"UBE2K",0.631066966,209
"USP53",0.631066966,210
"ZBTB10",0.631682061,211
"MRPS23",0.631682061,212
"EIF2S2",0.631682061,213
"EIF2AK2",0.631682061,214
"VAMP3",0.635743336,215
"POLR2C",0.636888966,216
"MLH3",0.636888966,217
"BTBD1",0.637435348,218
