"GeneSymbol","GRN_adjpval","GRNrank"
"BAIAP2",0.008019717,1
"CDH22",0.008019717,2
"CFLAR",0.008019717,3
"CHRD",0.008019717,4
"CYB5B",0.008019717,5
"FBXW7",0.008019717,6
"GABBR2",0.008019717,7
"GATM",0.008019717,8
"ISYNA1",0.008019717,9
"ITPR2",0.008019717,10
"LAMP2",0.008019717,11
"NEDD4L",0.008019717,12
"NOL4",0.008019717,13
"PHYHIP",0.008019717,14
"PLK2",0.008019717,15
"PTK2B",0.008019717,16
"QKI",0.008019717,17
"SLC6A12",0.008019717,18
"SSBP3",0.008019717,19
"TSPYL2",0.008019717,20
"WIPF1",0.008019717,21
"LDB2",0.008112696,22
"NCDN",0.008112696,23
"PLXNB2",0.008112696,24
"RGS7",0.008112696,25
"LRIF1",0.008170771,26
"CDC42",0.008221497,27
"EPHB6",0.008221497,28
"KLF4",0.008221497,29
"NUAK1",0.008221497,30
"TUBB2B",0.008221497,31
"RUNDC3A",0.008258198,32
"KTN1",0.008294878,33
"ARRB1",0.008346108,34
"BASP1",0.008346108,35
"CA2",0.008346108,36
"CAMK2B",0.008346108,37
"DLG4",0.008346108,38
"DNMBP",0.008346108,39
"DOC2A",0.008346108,40
"EEF1A2",0.008346108,41
"ELF1",0.008346108,42
"GAS7",0.008346108,43
"IKBKB",0.008346108,44
"INPPL1",0.008346108,45
"LEF1",0.008346108,46
"NECAB2",0.008346108,47
"NOTCH3",0.008346108,48
"PDE4A",0.008346108,49
"PHLPP2",0.008346108,50
"POLA1",0.008346108,51
"PPP3CA",0.008346108,52
"PRKCB",0.008346108,53
"RAB15",0.008346108,54
"RGL2",0.008346108,55
"RGS4",0.008346108,56
"RNF41",0.008346108,57
"RNPS1",0.008346108,58
"SFXN3",0.008346108,59
"SNCA",0.008346108,60
"SSFA2",0.008346108,61
"TUBB4B",0.008346108,62
"SEPT6",0.008419561,63
"CALD1",0.008419561,64
"DLG3",0.008419561,65
"HK1",0.008419561,66
"SCRIB",0.008419561,67
"SEPHS1",0.008419561,68
"YWHAZ",0.008419561,69
"KLHDC3",0.008454894,70
"SPARC",0.008454894,71
"TGFB1I1",0.008454894,72
"ADD2",0.008552568,73
"CYFIP2",0.008552568,74
"GABRA1",0.008552568,75
"STXBP1",0.00860036,76
"UBE2N",0.00860036,77
"ENO2",0.008842391,78
"SAV1",0.008842391,79
"SMC1A",0.008842391,80
"STMN2",0.008842391,81
"TUBB2A",0.008842391,82
"GNB5",0.00885988,83
"PPP3R1",0.008869659,84
"GNG3",0.008921526,85
"MAP3K11",0.008921526,86
"PNMA2",0.008921526,87
"STAG2",0.008921526,88
"RIMBP2",0.00895596,89
"PPME1",0.009041336,90
"ANXA4",0.00907608,91
"CBFA2T3",0.00907608,92
"DDX39A",0.00907608,93
"MAPRE2",0.00907608,94
"MDH2",0.00907608,95
"TRIM3",0.00907608,96
"USP11",0.00907608,97
"GRIA3",0.009093657,98
"RAP1A",0.00913781,99
"MMP2",0.009168002,100
"ROCK1",0.009168002,101
"SNAP91",0.009168002,102
"TBC1D2",0.009168002,103
"ID3",0.009215586,104
"MYH10",0.009215586,105
"MED12",0.009328808,106
"SOS2",0.009328808,107
"ANXA5",0.009396533,108
"ARL6IP1",0.009396533,109
"GDI1",0.009396533,110
"LAMB2",0.009396533,111
"MUTYH",0.009396533,112
"IRF2",0.009405335,113
"CAMKK2",0.009432492,114
"CD47",0.009432492,115
"CHD4",0.009432492,116
"NMI",0.009432492,117
"TLN1",0.009432492,118
"XPC",0.009432492,119
"ACOT7",0.009444514,120
"BNIP3",0.009468334,121
"TCF3",0.009511457,122
"PIN1",0.009519133,123
"A2M",0.009584843,124
"EPS8",0.009704469,125
"ASXL2",0.009734991,126
"DGKZ",0.009734991,127
"MITF",0.009734991,128
"CEP170B",0.009763247,129
"SYNJ1",0.009787446,130
"PRKACA",0.009811531,131
"UCHL1",0.009811531,132
"WASF1",0.009811531,133
"PTPN13",0.009839257,134
"ATP6V1A",0.009846212,135
"COL1A2",0.009846212,136
"KCNAB1",0.009846212,137
"RAB27A",0.00997511,138
"PRPF19",0.009991443,139
"SOX13",0.009991443,140
"LIMA1",0.010101493,141
"SMARCE1",0.010113994,142
"CCNO",0.010140052,143
"ACTL6B",0.010340773,144
"DOCK2",0.010340773,145
"NKRF",0.010340773,146
"SRGAP3",0.010340773,147
"PTMA",0.010348914,148
"B2M",0.010395916,149
"MEF2C",0.010395916,150
"PPFIA3",0.010396195,151
"RBL2",0.010399431,152
"SNAP25",0.010403071,153
"ZIC3",0.010403071,154
"ID1",0.010529438,155
"FLI1",0.010530677,156
"L1CAM",0.010552099,157
"FKBP1B",0.010612212,158
"ITGB5",0.010649906,159
"TCF12",0.01065377,160
"PKP4",0.010718757,161
