"GeneSymbol","VCP_adjpval","VCPrank"
"DCP2",0.409155903,1
"PRSS23",0.522212085,2
"UCHL3",0.522212085,3
"KAT6A",0.522212085,4
"SERBP1",0.522212085,5
"NIFK",0.522212085,6
"TXNDC9",0.522212085,7
"ANXA11",0.522212085,8
"GRB2",0.522212085,9
"RAPGEF2",0.522212085,10
"ATM",0.522212085,11
"JMJD1C",0.522212085,12
"SAMHD1",0.522212085,13
"TERF1",0.522212085,14
"GART",0.522212085,15
"PTPN4",0.522212085,16
"TRIM55",0.522212085,17
"WASL",0.522212085,18
"UBE2Z",0.522212085,19
"ALDH7A1",0.522212085,20
"CBX5",0.522212085,21
"SYNCRIP",0.522212085,22
"BRWD1",0.522212085,23
"RUVBL1",0.522212085,24
"WNK1",0.522212085,25
"EMC1",0.522212085,26
"MYC",0.522212085,27
"MORF4L2",0.522212085,28
"BRD4",0.522212085,29
"DDX24",0.522212085,30
"PAK2",0.522212085,31
"TCF4",0.522212085,32
"SON",0.522212085,33
"HSPH1",0.522212085,34
"GAB1",0.522212085,35
"DACH1",0.522212085,36
"KPNB1",0.522212085,37
"MED11",0.522212085,38
"SEPHS1",0.522212085,39
"TIPRL",0.522212085,40
"XPO7",0.522212085,41
"ARHGEF7",0.522212085,42
"UNG",0.522212085,43
"KMT2A",0.522212085,44
"TARS",0.522212085,45
"MPDZ",0.522212085,46
"PPIL1",0.522212085,47
"DYNC1I2",0.522212085,48
"DNM1L",0.522212085,49
"SAT1",0.522212085,50
"GSAP",0.522212085,51
"CPSF6",0.522212085,52
"FEZ2",0.522212085,53
"UPF3A",0.522212085,54
"AGO3",0.522212085,55
"DNMT1",0.522212085,56
"GPNMB",0.522212085,57
"UTP14A",0.522212085,58
"PKP4",0.522212085,59
"TARDBP",0.522212085,60
"LSM4",0.522212085,61
"ADAMTS1",0.522212085,62
"SREBF1",0.522212085,63
"SSR3",0.522212085,64
"XPNPEP1",0.522212085,65
"SART3",0.522212085,66
"PTBP3",0.522212085,67
"CCDC90B",0.522212085,68
"IFRD1",0.522212085,69
"HIVEP3",0.522212085,70
"SYNE1",0.522212085,71
"ACTR2",0.522212085,72
"ZBTB10",0.522212085,73
"TNPO1",0.522212085,74
"MBP",0.522212085,75
"SREK1",0.522212085,76
"ZWINT",0.522212085,77
"TMBIM4",0.522212085,78
"CYCS",0.522212085,79
"SEPT2",0.522212085,80
"HRSP12",0.522212085,81
"ENAH",0.522212085,82
"VPS45",0.522212085,83
"CYB5A",0.523347703,84
"PAN2",0.523347703,85
"KDM5A",0.525409251,86
"APPBP2",0.525409251,87
"KRR1",0.525409251,88
"PPP4R2",0.525409251,89
"GAMT",0.527407966,90
"CEP57",0.527407966,91
"TTF2",0.527407966,92
"PRPF4",0.527824904,93
"LTV1",0.527824904,94
"EIF3M",0.527824904,95
"RUVBL2",0.527824904,96
"DDX39A",0.527824904,97
"BCOR",0.527824904,98
"AHCY",0.527824904,99
"ELP3",0.527824904,100
"CD47",0.527824904,101
"DYNLT1",0.527824904,102
"NUAK1",0.527824904,103
"SGCD",0.527824904,104
"TXNDC17",0.527824904,105
"MLH1",0.527824904,106
"SMARCA2",0.527824904,107
"SLC35F6",0.527824904,108
"PAICS",0.527824904,109
"ITGB1BP1",0.527824904,110
"SRSF7",0.527824904,111
"EAF1",0.527933363,112
"UBE2D1",0.527933363,113
"U2AF1",0.528201476,114
"CASP3",0.528602828,115
"RGS2",0.531137408,116
"GLMN",0.531137408,117
"TNPO3",0.531137408,118
"USP28",0.531137408,119
"C1QBP",0.531137408,120
"TCF3",0.531137408,121
"PLGRKT",0.531137408,122
"PNN",0.531137408,123
"FOS",0.531137408,124
"TUBA4A",0.531137408,125
"LNPEP",0.531137408,126
"LIG4",0.533987564,127
"PPM1B",0.533987564,128
"TRIM38",0.535252306,129
"NAIP",0.535252306,130
"SMAD1",0.535252306,131
"MRPS11",0.535252306,132
"CEP70",0.535252306,133
"PPP1R12A",0.535252306,134
"STAT3",0.535252306,135
"TNRC6B",0.535252306,136
"UBXN7",0.535252306,137
"DDX5",0.535252306,138
"DEAF1",0.535252306,139
"CALD1",0.535252306,140
"UBE2H",0.535252306,141
"TIRAP",0.535252306,142
"TUBB4B",0.535252306,143
"SLC26A2",0.535252306,144
"EPRS",0.535252306,145
"MRE11A",0.535252306,146
"ACOX1",0.535252306,147
"PDCD6IP",0.535252306,148
"JAK2",0.535252306,149
"AASDHPPT",0.535252306,150
"TFG",0.535252306,151
"MAPRE1",0.535252306,152
"UBE2K",0.535252306,153
"WWP2",0.535252306,154
"IGF2R",0.535252306,155
"NAA15",0.535252306,156
"LSM3",0.535252306,157
"KPNA1",0.535252306,158
"USP53",0.535252306,159
"DDX17",0.535252306,160
"CAST",0.535252306,161
"STAG2",0.535252306,162
"FUNDC1",0.535252306,163
"CDK9",0.536244546,164
"GOLGA4",0.537622439,165
"GSK3B",0.538234982,166
"VAPA",0.538234982,167
"EFTUD2",0.538938947,168
"SNRNP200",0.540033066,169
"SORBS2",0.540510534,170
"KPNA3",0.541651314,171
"RBL2",0.543325585,172
"PQBP1",0.543325585,173
"FOXN3",0.543817038,174
"NUP43",0.543817038,175
"PSMC4",0.543817038,176
"RAN",0.543817038,177
"HCFC2",0.543817038,178
"SYNJ1",0.543817038,179
"RSRC1",0.543817038,180
"STRN",0.543817038,181
"NEB",0.543817038,182
"GTPBP4",0.543817038,183
"ADSS",0.543817038,184
"SNRPA1",0.543817038,185
"MYOZ2",0.543817038,186
"RBM39",0.543817038,187
"PHKB",0.543817038,188
"ACSL6",0.543817038,189
"TNIK",0.543817038,190
"PLCG2",0.543817038,191
"UBE2N",0.543817038,192
"KHDRBS1",0.543817038,193
"SLC25A1",0.543817038,194
"TIA1",0.543817038,195
"TOP1",0.543817038,196
"PLIN3",0.543817038,197
"MOB1A",0.543817038,198
"PHLPP2",0.543817038,199
"KLHL12",0.543817038,200
"SF3B1",0.543817038,201
"ACTR3",0.543817038,202
"MCTS1",0.543817038,203
"MTFR1L",0.543817038,204
"SDHAF2",0.543817038,205
"AHSA1",0.543817038,206
"GNL1",0.543817038,207
"GADD45A",0.543817038,208
"HSPA2",0.543817038,209
"MMS19",0.543817038,210
"TRNT1",0.543817038,211
"TTC19",0.543817038,212
"WRAP73",0.543817038,213
"RIPK3",0.543817038,214
"MRI1",0.543817038,215
"SRP72",0.543817038,216
"EIF3D",0.543817038,217
"HSPA4",0.544148278,218
"RAP2A",0.544170267,219
"CDC14B",0.544170267,220
"C6orf120",0.544170267,221
"ZNF573",0.544170267,222
"ZC3H15",0.54881249,223
"SSBP1",0.54881249,224
"PIAS1",0.54881249,225
"SORT1",0.54881249,226
"ZCCHC6",0.54881249,227
"CORO1C",0.549092474,228
"FBXL17",0.549092474,229
"SUV39H2",0.549092474,230
"SRSF10",0.549092474,231
"E2F3",0.549092474,232
"PPP2CA",0.549092474,233
