SrNo	V1	V2
1	A8K4C8	P49023
2	O78189	P61769
3	Q6ZVM7	Q9Y3C5
4	O15375	P18206
5	P38398	P78396
6	P78396	Q8NEP7
7	E9KL35	P78396
8	P78396	Q13227
9	P49763	Q7LBX6
10	O75807	P07948
11	D2CGD1	P05230
12	A0A024R5Z0	Q06455
13	E9KL35	Q08499
14	Q96BY2	Q9NS23
15	P18206	P27658
16	P62136	Q14678
17	P10826	Q15796
18	P27658	P49023
19	O43929	Q9UBD5
20	A0A024RDF3	A0A090N8Y5
21	O15511	P49137
22	O43707	Q13554
23	P05412	Q9BYV9
24	A4D0V4	P49023
25	P14151	Q04759
26	O15350	O15350
27	P36956	Q969H0
28	O95359	Q92831
29	A0A024R324	P85298
30	P85298	Q6FGM0
31	P28908	Q13077
32	Q06330	Q13642
33	A4D1L5	P14209
34	A0A024R5Z7	P14209
35	P05019	P08069
36	P36578	P49023
37	A0A024R2F2	Q6IE81
38	O94973	Q15311
39	A0A024R1J8	Q92574
40	Q8TB72	Q9ULK4
41	P38432	Q7Z6G8
42	Q96PU5	Q9Y3C5
43	Q13571	Q96PU5
44	P0CG48	P18206
45	A0A024RBL8	Q8WX98
46	P05412	P45983
47	Q96FZ7	Q9BY43
48	P02686	Q13464
49	P38398	Q09028
50	A0A024R705	Q9BY43
51	A0A024R0M6	P15056
52	A0N0L5	P40189
53	P15498	P40189
54	A0A024R694	O00151
55	P38398	Q9BXW9
56	I4AY87	P04233
57	P29590	Q15796
58	A0A024RDR3	Q15796
59	O75533	P26368
60	B2RDW1	P55036
61	Q10567	Q15796
62	A0A024RBB6	Q15796
63	P55916	P61981
64	P31946	P55916
65	Q13794	Q16548
66	Q92930	Q96QF0
67	P05067	P07477
68	Q08117	Q8TBA2
69	Q04724	Q8TBA2
70	P17098	Q04721
71	P05814	P51956
72	Q09028	Q16777
73	A0A024R3C5	A0A024R8B2
74	A0A024R8B2	P21918
75	P15408	Q10587
76	A0A024R8B2	P35462
77	A0A090N900	A0A0A0MR05
78	P15336	P15408
79	P15408	Q9Y5Q3
80	P01100	P15408
81	A0A024RDA0	Q06124
82	A0A024RDA0	O15524
83	P36897	P98170
84	P62136	Q9HCH5
85	O15379	Q06455
86	L7RXH5	P36507
87	P55072	Q6GYA4
88	A0A024R2M0	P33176
89	Q13002	Q13002
90	Q15797	Q9NYG2
91	A0A024R1N4	P78396
92	A0A024RDR3	P28799
93	A0A024RDR3	Q9H078
94	A0A024R3J1	A0A024RDR3
95	A0A024RDR3	Q9BZL6
96	A0A024RDR3	Q96S59
97	A0A024RDR3	P17098
98	A0A024RDR3	Q05086
99	A0A024RDR3	Q96SV5
100	A0A024RDR3	Q9NSV4
101	A0A024RDR3	Q53G26
102	A0A024RDR3	Q9P2H0
103	A0A024RDR3	Q13310
104	P18206	P63220
105	Q68CJ9	Q9NR55
106	P12004	P40937
107	B0LPF3	Q06124
108	Q14247	Q8IZM6
109	O75530	P25490
110	P17544	P25490
111	P61769	Q96QL3
112	O96018	P05067
113	P43627	Q96QL3
114	B0LPF3	P08173
115	B0LPF3	P35462
116	B0LPF3	Q08499
117	A2I2N5	P48730
118	P07437	P49023
119	P55789	Q7Z465
120	I4AY87	Q7Z465
121	P30048	Q96S38
122	A0A024R8P8	P49023
123	A0A024QZC4	Q6ZW49
124	P02671	P02679
125	A4D0P7	Q99459
126	P17098	Q969Y6
127	P42224	Q03405
128	P48436	Q14974
129	A0A024QZZ7	P0C0S5
130	D3DU92	Q6UN15
131	Q9UJW3	Q9Y6K1
132	Q08209	Q53ET0
133	P61024	Q9UM11
134	A0A024R069	Q9UM11
135	A0A024R324	Q9BST9
136	A0A024R324	O15068
137	O15105	Q9NZX4
138	A0A024R5E6	P15056
139	P15336	P17544
140	Q7L590	Q9UBD5
141	P33993	Q7L590
142	P63208	Q9UKT4
143	A0A024R069	P63208
144	B0YIW5	P53618
145	P62942	Q08209
146	P05067	Q9UQF2
147	P04406	P18206
148	O60879	P49450
149	Q9BYV9	Q9Y5Q3
150	O43493	Q96CW1
151	P05556	Q13418
152	Q8TCX5	Q969H4
153	A0A024R1N4	P49023
154	A0A024RDR3	A8K6C2
155	A0A024RDR3	Q92967
156	A0A024RDR3	Q9H3U1
157	A0A024RDR3	Q969K4
158	A0A024RCW6	A0A024RDR3
159	A0A024RDR3	Q66GS9
160	A0A024RDR3	P27540
161	A0A024RDR3	Q96MK7
162	O15198	P17098
163	O15198	Q9UIS9
164	P12004	Q15233
165	P12004	P78527
166	E5KP27	P12004
167	B0LPF3	P48023
168	P06730	P18206
169	P06730	Q04637
170	A0A024R0I3	O60610
171	P63208	Q9Y297
172	O43295	Q92558
173	P49023	P52926
174	A8K517	P49023
175	P30533	P49023
176	P05556	Q08722
177	A0A024R1N1	P49023
178	P07996	Q08722
179	A2RUM7	P49023
180	P49023	P50402
181	P21980	P49023
182	P49023	Q06830
183	A0A024RBH2	P49023
184	A0A024R120	P49023
185	P27816	P49023
186	A0A024R1Q8	P49023
187	A0A024R5Z7	P49023
188	P49023	X5D2T3
189	A0A024QZE7	P49023
190	P49023	P84098
191	P49023	Q9UJW0
192	P39023	P49023
193	P46778	P49023
194	P49023	P61254
195	P49023	Q8IVW6
196	A0A024R8S5	P49023
197	P30101	P49023
198	P49023	P62913
199	A0A024R5K8	P49023
200	P09382	P49023
201	A0A024RBS2	P49023
202	P42677	P49023
203	P49023	P59046
204	A0A024R2P0	P49023
205	P32969	P49023
206	P26599	P49023
207	P17098	Q6UXH1
208	O00629	P21980
209	B0LPF3	P21917
210	A0A024R5P0	B0LPF3
211	B0LPF3	Q5JPT6
212	B0LPF3	O15524
213	A0A024R2N6	D3DU92
214	P14635	P24522
215	Q07960	Q7Z465
216	P53567	Q96BA8
217	P10153	P13489
218	P17544	P53567
219	P25686	P62987
220	O14933	Q05086
221	P49023	Q8TD57
222	A0A024QZQ1	P16401
223	P18206	P23246
224	A0A024R241	Q96BA8
225	A0A024R241	P53567
226	A0A024R241	Q68CJ9
227	P55327	Q16890
228	O43399	P55327
229	Q9UBC3	Q9UJW3
230	A0A024R7L5	Q96Q15
231	A0A024R7L5	Q5VT52
232	A0A024R565	A0A024R7L5
233	O15105	Q9ULH7
234	O15105	Q9UIS9
235	B0ZBD0	P18206
236	P15923	Q06455
237	A0A024R8C5	Q96HR3
238	P30281	Q7L590
239	P62942	P63098
240	P62877	Q13619
241	A0A024RBB9	Q15796
242	O96017	P38398
243	E5KP27	P27695
244	Q15572	Q15573
245	P05556	P21926
246	A8K3E0	Q96BA8
247	P25963	P32121
248	P25963	Q8IUD2
249	O15037	Q9Y3C5
250	Q13415	Q9UBD5
251	P62316	Q9H840
252	F1D8N7	Q15788
253	O60496	Q92835
254	P52655	Q92750
255	Q9UJY5	Q9Y3C5
256	P11142	P18206
257	Q9NQC7	Q9Y6K9
258	P52803	Q6UWM0
259	A0A024R5U5	Q5HYK7
260	P62136	Q5TID7
261	P62136	Q12972
262	P62136	Q13625
263	P21675	Q9Y294
264	A0A024R7I3	Q96QF0
265	P05412	Q10586
