"","Node1","Node2","Mean","INT"
"1","AASS","CMTM6",0.301664024,"Correlation"
"2","AASS","NAA50",0.38362792,"Correlation"
"3","AASS","PHKB",0.468707234,"Correlation"
"4","AASS","RAP1B",0.336863361,"Correlation"
"5","AASS","SETD2",0.373256268,"Correlation"
"6","AASS","STAG2",0.483644616,"Correlation"
"8","AASS","TNFAIP3",0.482219151,"Correlation"
"9","ABCA8","ATM",0.474861507,"Correlation"
"10","ABCA8","CARD8",0.380109351,"Correlation"
"11","ABCA8","CCDC90B",0.419460463,"Correlation"
"12","ABCA8","ERBB4",0.349664987,"Correlation"
"13","ABCA8","GNA13",0.510390182,"Correlation"
"14","ABCA8","HEXB",0.59856025,"Correlation"
"15","ABCA8","JMJD1C",0.468327587,"Correlation"
"16","ABCA8","KCNAB1",0.533361165,"Correlation"
"17","ABCA8","KLF6",0.460970157,"Correlation"
"18","ABCA8","MAN2A1",0.321786792,"Correlation"
"19","ABCA8","MED8",0.568275515,"Correlation"
"20","ABCA8","METTL9",0.590003053,"Correlation"
"21","ABCA8","RIT1",0.403745601,"Correlation"
"22","ABCA8","SLC26A2",0.433424908,"Correlation"
"23","ABCA8","SLC35A3",0.479854869,"Correlation"
"24","ABCA8","SNX11",0.612768813,"Correlation"
"25","ABCA8","SORBS1",0.404390244,"Correlation"
"26","ABCA8","TMED10",0.56332238,"Correlation"
"27","ABCA8","TMEM38B",0.474222122,"Correlation"
"28","ABCA8","U2SURP",0.45868319,"Correlation"
"29","ABCA8","WASF1",0.402037097,"Correlation"
"30","ABCA8","WIPI2",0.412617611,"Correlation"
"31","ABI1","AKR1B1",0.455713567,"Correlation"
"33","ABI1","ASXL2",0.453446635,"Correlation"
"34","ABI1","C6orf120",0.315068204,"Correlation"
"36","ABI1","CDH22",0.318625003,"Correlation"
"38","ABI1","CPSF6",0.31865618,"Correlation"
"39","ABI1","HNRNPA2B1",0.307800043,"Correlation"
"40","ABI1","LRRC14",0.40438124,"Correlation"
"41","ABI1","MAP4K3",0.352147623,"Correlation"
"42","ABI1","MARK3",0.380293735,"Correlation"
"43","ABI1","MARK4",0.499517884,"Correlation"
"44","ABI1","NBPF1",0.324946132,"Correlation"
"45","ABI1","NBR1",0.357347006,"Correlation"
"47","ABI1","RBM5",0.380296991,"Correlation"
"48","ABI1","RCN2",0.555016879,"Correlation"
"49","ABI1","SEPT6",0.46428751,"Correlation"
"51","ABI1","TGOLN2",0.374520113,"Correlation"
"53","ABI1","USP3",0.401404602,"Correlation"
"54","ABI1","ZCCHC10",0.47253645,"Correlation"
"55","ABL1","CLIC4",0.395259642,"Correlation"
