“Gene”,”P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"TNFAIP3",72.20033676,55.91508436,100.1878829,57.48768422,66.9545988,64.60438354,50.01715101,8
"POLDIP3",54.17103329,47.60644152,51.29089839,52.65967568,46.4313772,48.45028534,38.41761978,4
"NEK1",16.57033145,12.09947969,28.30570022,10.26918447,15.01386813,16.94826699,15.82893536,6
"SFN",126.3470041,135.3439061,157.7968225,128.6405003,117.3216099,128.8572939,157.6947118,5
"PSMF1",12.57799469,9.720177546,13.50371451,10.59851269,9.772155294,9.056084203,12.72800741,4
"SUPT16H",78.31507012,80.61507012,83.31507012,69.38328834,57.21460226,62.97260707,58.68647869,4
"MAFF",483.3286382,603.193747,592.0586771,225.0515677,278.0907672,292.4951418,325.1481008,10
"DNPEP",99.08570505,86.38957039,80.66859284,83.78050456,70.68976923,82.07390452,91.09895576,6
"GLRX3",74.07753467,75.01507013,72.86326213,56.78507945,55.51508436,51.45481835,65.45637244,3
"CRCP",37.23655019,38.52801642,40.57949614,57.85770394,53.17455227,58.28076114,47.17044403,9
"EWSR1",60.95327135,26.60647656,39.24133732,47.44396942,45.22909567,43.12019001,37.9206053,10
"SLC26A2",16.18912204,24.51261269,51.77960688,10.36600333,11.11284949,14.68187976,16.03158128,5
"NSF",55.11509919,77.03061637,62.87478827,56.71506922,62.01785108,64.81507039,63.31507075,9
"PMAIP1",12.5758735,23.4683607,42.85505177,31.29524578,55.0467751,49.27199701,22.67016177,7
"HMOX2",46.22360983,45.53125155,54.33766221,53.12962243,48.49988306,43.62547117,45.44662688,3
"SYNPO2",21.82260575,14.56307297,21.69231891,26.39308642,22.45624832,22.41805931,20.45913541,7
"FAM124A",75.79847328,69.21507017,74.41458748,94.53223592,109.5260051,97.91507012,68.3264191,3
"TCF4",106.828714,123.6457206,92.67185781,94.15641369,106.2210074,121.9117197,79.67976157,4
"PCSK5",63.03231015,37.72063654,50.83827488,41.43283556,68.12810142,43.02077762,41.28605162,10
"RPS14",374.0981205,206.8634423,290.5752435,116.2643006,172.7255115,136.1312975,104.5695436,10
"MED23",10.48405114,10.69036945,9.098710411,10.18579605,11.47883622,10.51978894,9.382264785,4
"PRSS23",52.78021517,36.7345489,67.68998731,30.90319454,34.21424281,42.77814111,42.82222569,5
"EEF1A1",32.75069105,38.55721247,26.87804696,25.65298391,37.62067983,25.18884463,26.59521873,6
"SH3GLB1",47.18473311,42.74193657,51.3313206,41.33979073,33.4934382,33.69939873,31.14581137,3
"PAG1",8.19775063,11.63471089,15.78636106,10.55802976,9.820443901,10.13527228,7.967617199,10
"MAPRE1",30.14318128,32.76605096,31.90775604,25.95163925,19.18180045,24.88335449,24.07297392,5
"ACTR2",13.79482469,10.56502051,15.03638055,10.30795182,9.792215727,11.77910834,10.91700915,6
"PPFIBP1",88.51507012,115.9544778,65.03047358,96.25209543,81.19152236,75.11114566,65.00105113,8
"PHLDA1",161.5145044,113.7817715,193.4518359,64.50488571,65.38311481,71.07034824,85.81507012,6
"ANXA4",72.48449172,26.80303574,46.02771929,33.09952824,32.46644341,26.35226648,27.00791315,7
"CSRP2",106.2365168,68.76545589,125.5165727,40.88333829,88.54401483,50.59796368,79.95334493,9
"TXN2",126.2182112,100.0969341,140.6230404,99.96791759,108.1415134,88.2510108,126.2644029,8
"CPPED1",51.9173002,94.05821466,85.20057512,48.25733598,44.94851133,53.46218078,50.71106724,9
"USP3",46.21708222,32.9006874,41.92839549,39.4994489,36.5121215,31.02764866,32.9006874,3
"SAP18",120.4215678,88.10253072,108.5150701,55.69640378,102.0078155,82.29943078,73.71355831,9
"RPS6KA6",20.11515803,15.45643221,17.31306465,11.68843324,12.82176775,11.03763989,10.85286915,9
"ZWINT",38.70329001,17.05538615,65.305098,29.8112648,19.45604531,24.95107628,23.47045237,7
"FCER1G",33.08099825,27.310513,30.55195561,34.75551607,39.41850159,45.0220132,26.4864608,5
"PTK2",9.100670965,6.626111299,22.42335399,8.12989786,15.38459044,12.2793405,9.904233823,8
"UBE2Z",56.61414618,46.68879872,73.51702203,45.35958296,68.85095876,59.0475737,57.5150769,3
"UFM1",29.80653295,21.21337629,35.65783097,50.15554804,39.2888834,45.56200242,35.85485267,10
"PPFIA2",57.62728022,79.46052335,96.31549075,65.96339633,58.8150769,55.0360649,49.81939779,4
"NFIA",410.5211862,338.8171315,512.7835496,142.7150701,356.3526152,287.120566,449.6178557,10
"PHKB",20.92214358,14.30586301,15.81331616,9.442492799,14.07475867,17.79462306,17.17039614,8
"CSTF2",22.57379085,15.00198104,20.54309941,8.685972936,7.893268202,9.763064755,9.899717177,8
"CASP8AP2",33.05214164,26.03649344,23.81716477,18.48072891,20.13073684,20.43793565,21.09192812,9
"KLF6",72.91507013,102.8556125,211.5104487,28.2560155,99.29211271,68.962947,52.1012903,8
"TGFBR1",78.6511748,69.59187985,70.61507014,67.57870745,76.92269789,94.70802232,68.15370465,7
"CAMK2D",31.49685203,32.1682651,26.2360617,22.57086512,30.4472216,25.20858798,21.98192969,8
"MCL1",5.500302557,11.06148311,8.285446068,4.434962845,6.040879097,4.94437131,5.072633198,8
"LIMA1",27.04498353,33.18291045,29.18435521,26.0151754,26.09288026,27.07039737,25.89060491,5
"TNFSF10",9.991344234,5.336808422,4.550337193,5.550011323,7.953944243,10.1165075,26.96211959,7
"CDC14B",87.07500039,62.36116212,81.9888191,36.67764496,47.418776,62.51507154,61.61507154,9
"PTCD3",57.25762587,28.53001771,34.46479555,20.89932039,23.97014857,24.16727488,24.32006517,4
"IMPDH1",79.96123589,69.72511314,118.8741582,89.69002917,91.86701378,65.30635776,134.8735599,3
"CSF3R",76.64588458,80.66863229,68.56059287,101.4620127,114.6928941,106.550621,67.81908384,4
"EPN3",34.61657597,24.21360783,12.56474339,24.50030943,23.74104469,19.3478934,24.21360783,3
"MACF1",65.71507039,103.8662177,70.0083828,113.4345974,103.2150701,115.4009463,85.81507012,9
"TRAK2",14.880211,26.36516012,33.42124742,12.73935171,18.52670362,16.92340163,22.58583797,6
"BRD4",66.01632933,62.04020538,68.09168334,51.57787275,51.68897367,49.93045718,57.35810102,10
"LRPPRC",41.19813973,27.01975734,68.01484649,39.65474598,45.86047418,28.0078729,31.0455419,9
"DDX21",170.8751576,129.9449085,152.693641,115.9290422,125.4740942,122.2152748,108.029433,10
"MYOT",8.453591263,14.76651059,11.07701063,12.56184842,12.18992586,21.41522706,13.07356419,6
"ATRX",22.72789668,12.39747535,17.23826561,11.37596936,14.19388618,13.14159453,13.01987737,7
"EP300",56.9740625,45.32263451,54.35686168,36.99727981,60.69703958,39.24575013,40.91673521,3
"MAP4K5",23.44298202,18.79733167,30.75631142,23.81017335,20.10985944,22.01570603,23.32061959,8
"BIRC3",11.20496132,8.800007656,9.375867162,9.511709128,13.33607493,8.708775703,9.46704206,3
"GIPC1",68.51442306,92.61152148,115.1632074,110.6414598,86.17045801,59.30538791,103.953548,9
"OCLN",11.95698933,13.0584504,15.8832195,18.36175026,14.34922019,20.49450387,21.15536635,4
"UBXN7",40.25958971,31.5476187,43.24153376,44.88935154,37.95139958,33.09445824,39.31850159,3
"STK4",16.82985755,15.41996968,11.91756667,20.91098395,17.84463287,15.03829472,15.85749349,7
"DOT1L",38.34379657,39.31850159,33.34876224,46.9579683,27.62125593,42.21711039,34.19815597,3
"PRKCB",54.16560319,76.44023477,88.90357976,65.69293592,72.25788593,68.91995508,69.94361723,5
"BZRAP1",72.23935516,39.77085207,60.02752585,43.81627335,29.92713066,34.77195143,54.34307557,8
"CYLC2",4.784069603,6.604337691,4.64895506,6.703798552,6.247715061,6.56295933,5.90004695,3
"SFXN1",9.647933958,5.567122665,10.82886529,5.344931096,6.128443525,9.647854388,7.004356065,7
"PLSCR1",88.38586859,79.22665976,128.342391,46.11781268,68.84335171,59.62094818,47.59095245,8
"CSTA",23.06412012,17.51637612,22.25426969,19.51138842,30.20783816,48.53445624,20.21364036,5
"MICB",25.37573776,16.10740003,32.33137847,24.2582916,12.84624681,21.87184971,27.36206878,8
"KCTD20",15.1863947,7.937912561,12.37343698,5.758752524,5.34009367,5.268365279,5.213010808,3
"HINT1",9.925644283,6.20043056,7.081201712,6.666821602,7.226547831,6.20043056,6.965411129,4
"GCH1",138.0150701,112.4150701,107.276883,17.10010883,53.08677915,24.33231067,16.80491226,9
"EIF3M",27.96600922,29.28622751,39.48161917,55.90514067,52.31512796,52.45053787,25.94776269,10
"ABCB8",30.82093015,43.52141297,48.70432207,42.20283072,36.99760296,40.21845502,34.94161471,4
"RPA1",11.78901299,9.655369314,11.10433092,8.45350932,9.803714563,6.430004951,6.59241847,4
"TGFBR2",21.02627806,35.56281601,27.97232456,26.93067609,31.05965386,33.02433081,29.30034293,10
"MED31",66.22448104,51.87796755,75.46330194,35.18538564,38.82837273,58.9176086,53.41359552,10
"KRR1",13.20281317,16.28967532,7.149876756,13.6548482,15.80799768,12.86366633,17.31824425,6
"SPTBN1",81.94259504,198.0403329,106.3150701,63.81507075,107.1242416,114.7872328,49.91634838,6
"ILF3",17.75359327,23.34883691,20.30325754,17.22866526,16.48060366,18.02375745,18.75891766,7
"STRN",134.5946491,70.757868,111.2134697,64.08819863,85.9441722,61.61507154,67.22460823,10
"RAB27A",20.77694416,12.58245486,19.55601893,9.095280049,12.15675737,14.09542468,8.678412473,6
"HNRNPM",144.4824415,116.5210015,197.1468834,104.7577621,112.0832414,108.4386278,115.1081631,7
"CYLD",8.962949364,6.861468962,6.757533339,8.391108029,7.797361189,9.299583989,5.843596703,4
"PPP2R1B",9.835130829,13.53002355,5.780033482,7.099927,9.412981198,7.260405792,9.293935265,6
"PRDX5",152.6217234,129.5114727,184.542095,129.0183118,91.23302807,113.022591,117.8502696,8
"RPL12",274.7997612,271.0708337,250.6618881,161.9905293,288.0503133,245.7283858,206.5916127,10
"VAMP2",17.5605524,16.49058683,14.44234333,20.03217269,19.94727333,17.16167057,22.76283256,5
"LAPTM5",44.79161689,50.45900027,93.25825903,34.55788655,65.31848658,58.5150769,30.04076575,4
"KIF1B",113.3138033,101.6121077,81.50200821,110.8150701,112.0150701,85.91526563,82.90340887,10
"ALOX5",184.2146345,49.87700621,47.54020708,18.23960512,62.53578155,98.40478068,28.83795848,10
"ATP8B1",216.5286702,523.9510695,326.9715622,866.7698191,1026.546564,1023.162877,548.3184905,10
"BCL2",31.42617145,33.27996562,35.96088123,53.49611949,41.42016998,43.53903164,35.26741128,4
"PHAX",38.2703498,39.43178217,42.17444027,50.915182,40.87117397,38.53865441,45.45056856,10
"XRN1",23.35178273,15.17714021,12.29752826,5.682870657,5.980545962,7.199033036,9.382235236,8
"FKBP4",350.0414795,251.8189054,351.6278719,208.5898949,238.6853225,289.0733373,311.7762154,8
"CDK13",822.129779,1974.130272,980.9377131,2131.676731,2024.555975,2584.0685,1625.332648,10
"C6orf120",153.0731624,105.578129,141.7123462,63.56337025,69.61574987,53.12882035,76.41393133,6
"TBXA2R",41.50514031,31.04969395,49.8497204,46.70327659,48.69871517,42.58724575,57.49578428,5
"ARHGAP24",99.41507012,59.78980747,53.61073422,43.16699546,48.59355179,42.84990848,43.16699546,3
"LRCH3",97.81139986,111.6562621,82.14150515,56.7075374,52.76845464,75.01507013,85.70774855,3
"LAMA4",18.88961961,9.18914159,9.794130298,14.51276531,23.14595562,13.2676749,15.99511024,7
"GADD45G",76.06042703,60.30361392,144.0892721,50.78405171,78.81357916,59.14400719,79.97579205,7
"GAS2L1",209.8229452,165.7104602,216.7704405,100.7045924,185.5397952,127.5088901,290.3554543,8
"MYO15A",21.38379547,24.91335001,20.56861156,28.39537379,23.59034166,21.49933889,21.6283569,5
"VAPA",39.73325128,20.14075356,28.90052722,20.77611032,26.59717835,19.74842821,21.21734123,6
"TMCO1",94.01495024,52.23702955,52.23702955,42.70591397,53.12344707,38.42908054,78.07541315,3
"SEC24D",7.319032659,4.559519647,6.748202066,3.46567088,3.741768455,5.398218952,5.031826512,7
"HRAS",48.51528152,38.80013402,76.38940424,44.87162415,39.41850159,41.31712825,39.08159727,3
"VPS37C",116.8471704,95.00679588,128.62757,62.51507154,60.53474119,45.21576343,122.9086304,9
"SEPT2",15.96481196,10.87103124,21.02453559,17.74020907,22.37405271,13.59306236,12.76677646,4
"LAMP2",21.00790883,21.00790883,11.40053093,8.509183756,10.47547398,9.056084203,9.508208668,3
"CORO1C",73.73191416,45.27460674,71.47388354,15.73294884,31.38811173,22.73245813,32.41999307,6
"PAPOLA",120.4607738,62.34798182,68.44700394,21.29166543,35.39542916,30.95291409,35.54549801,9
"NOTCH3",15.82645506,21.08999401,12.76029069,18.29599099,20.51649123,15.16545414,13.54924659,4
