Genename,Sig_TF,pVal
CTNNB1,TRUE,3.92665E-54
NFKB1,TRUE,8.73889E-54
SP1,TRUE,1.60773E-53
SMAD3,TRUE,2.57976E-53
HDAC2,TRUE,6.41454E-52
ATF2,TRUE,8.80613E-51
JUN,TRUE,1.0373E-50
POU5F1,TRUE,4.43874E-50
SMAD2,TRUE,1.6468E-48
ILF3,TRUE,2.51868E-46
ILF2,TRUE,6.65383E-45
AR,TRUE,7.93877E-45
NR3C1,TRUE,2.47714E-44
POLR2A,TRUE,1.03399E-42
STAT1,TRUE,1.43661E-42
NOTCH1,TRUE,1.04987E-41
TCF3,TRUE,4.91982E-41
PML,TRUE,8.39929E-40
SIN3A,TRUE,1.08747E-38
STAT3,TRUE,5.12107E-37
TRIM28,TRUE,9.41185E-37
HIF1A,TRUE,9.7199E-37
RARA,TRUE,1.88227E-36
RAD21,TRUE,1.25085E-35
HTT,TRUE,2.56476E-35
RUNX1,TRUE,2.85485E-35
ESR2,TRUE,4.45213E-35
YY1,TRUE,2.96237E-34
SMAD4,TRUE,9.88745E-34
EPAS1,TRUE,3.89248E-33
SMARCA4,TRUE,7.99927E-33
RNF2,TRUE,2.43006E-32
NCOR1,TRUE,6.3755E-31
PPARG,TRUE,5.5414E-30
SETDB1,TRUE,2.7571E-29
E2F1,TRUE,3.94069E-29
FOS,TRUE,5.07513E-29
SMARCC2,TRUE,7.1827E-29
CDKN1B,TRUE,1.6939E-28
CEBPB,TRUE,2.86271E-28
RXRA,TRUE,1.60594E-27
MYB,TRUE,2.62436E-27
SMARCB1,TRUE,3.01734E-27
VDR,TRUE,5.21152E-27
NANOG,TRUE,2.40432E-26
SMAD1,TRUE,9.39857E-26
AIRE,TRUE,3.23436E-25
YAP1,TRUE,4.57452E-24
FOXP3,TRUE,1.21511E-23
GATA1,TRUE,1.36913E-23
SREBF1,TRUE,1.36913E-23
NR4A1,TRUE,3.05207E-23
CEBPA,TRUE,5.00459E-23
SMARCC1,TRUE,1.00845E-22
SP3,TRUE,1.21584E-22
BCLAF1,TRUE,2.82773E-22
TAL1,TRUE,2.96643E-22
CCND1,TRUE,4.40431E-22
CREB1,TRUE,4.214E-21
TARDBP,TRUE,9.15077E-21
KAT2A,TRUE,9.87643E-21
NCOA1,TRUE,1.74231E-20
EED,TRUE,8.08603E-20
BCL3,TRUE,1.38987E-19
MAX,TRUE,4.21604E-19
IRF3,TRUE,4.49175E-19
TCF7L2,TRUE,6.50042E-19
TP63,TRUE,9.36834E-19
EZH2,TRUE,1.51749E-18
TCF12,TRUE,3.05208E-18
ETS1,TRUE,3.39168E-18
HCFC1,TRUE,1.0262E-17
SMC3,TRUE,1.30293E-17
HSF1,TRUE,4.08801E-17
ESRRB,TRUE,5.62953E-17
PPARD,TRUE,5.79912E-17
HNF4A,TRUE,7.05216E-17
PPARGC1A,TRUE,1.23673E-16
SREBF2,TRUE,1.91919E-16
ZBTB7A,TRUE,2.18869E-16
STAT5A,TRUE,5.39051E-16
TCOF1,TRUE,5.41178E-16
SPI1,TRUE,6.21334E-16
UBTF,TRUE,6.79529E-16
STAT6,TRUE,1.11472E-15
TCF4,TRUE,1.6309E-15
NFATC1,TRUE,2.20574E-15
MYBL2,TRUE,3.19758E-15
CCNE1,TRUE,3.50764E-15
ATF3,TRUE,4.51505E-15
UPF1,TRUE,8.60991E-15
BMI1,TRUE,1.18605E-14
NR2C2,TRUE,2.34116E-14
SUZ12,TRUE,3.23123E-14
ERG,TRUE,3.5187E-14
STAT5B,TRUE,6.39113E-14
IKZF1,TRUE,1.00098E-13
CEBPD,TRUE,1.28939E-13
SRF,TRUE,3.68672E-13
RUNX3,TRUE,3.93215E-13
CEBPZ,TRUE,4.31979E-13
WRNIP1,TRUE,6.0028E-13
ELK1,TRUE,6.77865E-13
HNF1A,TRUE,9.56351E-13
CTCF,TRUE,9.58057E-13
EGR1,TRUE,1.05587E-12
NR1I2,TRUE,1.40244E-12
NFE2L2,TRUE,1.88538E-12
LMO2,TRUE,2.47147E-12
SOX2,TRUE,2.65676E-12
TAF1,TRUE,2.7297E-12
PAX3,TRUE,3.69653E-12
CBX3,TRUE,3.97383E-12
HDAC8,TRUE,5.06549E-12
GATA4,TRUE,8.96878E-12
MEF2C,TRUE,1.1027E-11
JUNB,TRUE,1.79769E-11
KLF4,TRUE,2.32021E-11
TBP,TRUE,2.42624E-11
TFAP2A,TRUE,2.87048E-11
KDM5A,TRUE,4.80064E-11
AHR,TRUE,7.43493E-11
STAT2,TRUE,7.59761E-11
MEF2A,TRUE,7.71163E-11
IRF1,TRUE,9.86316E-11
GTF2B,TRUE,9.96403E-11
KLF5,TRUE,1.15741E-10
USF1,TRUE,1.58327E-10
ZEB1,TRUE,2.51792E-10
CREM,TRUE,4.13563E-10
GATA2,TRUE,5.13883E-10
NFYA,TRUE,5.47045E-10
REST,TRUE,6.51883E-10
IRF8,TRUE,6.55509E-10
ESRRA,TRUE,8.97998E-10
LMO4,TRUE,9.75855E-10
E2F4,TRUE,1.56196E-09
XRCC4,TRUE,1.58846E-09
JUND,TRUE,2.21758E-09
FOXM1,TRUE,2.44541E-09
ETS2,TRUE,3.66343E-09
BCL11B,TRUE,3.67601E-09
NOD2,TRUE,4.24258E-09
KDM5B,TRUE,5.02574E-09
NFYB,TRUE,8.06432E-09
CNOT3,TRUE,1.40904E-08
DLX4,TRUE,2.0719E-08
NFE2,TRUE,3.7002E-08
MTA3,TRUE,3.92978E-08
RCOR1,TRUE,4.28439E-08
CHD1,TRUE,5.77823E-08
LYL1,TRUE,5.83784E-08
PHF8,TRUE,6.42937E-08
NEUROD1,TRUE,7.32981E-08
BCOR,TRUE,8.01552E-08
POLE,TRUE,8.43361E-08
CUX1,TRUE,9.21904E-08
MBD4,TRUE,1.0044E-07
ZNF148,TRUE,1.01838E-07
RCOR3,TRUE,1.01838E-07
CDKN2AIP,TRUE,1.11035E-07
MITF,TRUE,1.26048E-07
BHLHE40,TRUE,1.80513E-07
GATA3,TRUE,1.80513E-07
KDM6A,TRUE,1.80513E-07
MYCN,TRUE,1.80513E-07
SIN3B,TRUE,1.89087E-07
CIITA,TRUE,3.7861E-07
DACH1,TRUE,4.4041E-07
ZFPM2,TRUE,4.4041E-07
NR4A2,TRUE,5.72556E-07
TBL1XR1,TRUE,6.19897E-07
WT1,TRUE,6.42562E-07
GFI1B,TRUE,1.28604E-06
FLI1,TRUE,1.66823E-06
BCL11A,TRUE,2.62465E-06
KLF1,TRUE,4.0307E-06
NACC1,TRUE,5.75879E-06
CBFB,TRUE,5.81405E-06
BRF2,TRUE,6.01968E-06
THAP11,TRUE,8.26636E-06
ZNF217,TRUE,8.26636E-06
CHD7,TRUE,9.0914E-06
IRF4,TRUE,9.6936E-06
ZBTB7B,TRUE,9.6936E-06
MAZ,TRUE,1.14879E-05
ELF1,TRUE,1.19476E-05
SIRT3,TRUE,1.22014E-05
PAX5,TRUE,1.51174E-05
PDX1,TRUE,1.56939E-05
POLR3A,TRUE,1.63829E-05
E2F2,TRUE,1.66941E-05
PRDM1,TRUE,2.1135E-05
RARG,TRUE,2.25878E-05
ELK4,TRUE,2.26992E-05
NR2F2,TRUE,2.53336E-05
PHC1,TRUE,2.77633E-05
BACH1,TRUE,2.79439E-05
GLI1,TRUE,3.42228E-05
ZFP42,TRUE,4.27306E-05
PCGF2,TRUE,4.42647E-05
SP4,TRUE,4.42647E-05
NRF1,TRUE,4.44223E-05
E2F6,TRUE,4.78172E-05
JARID2,TRUE,4.83668E-05
ZNF274,TRUE,5.20912E-05
SIRT6,TRUE,5.39244E-05
NR0B1,TRUE,7.20602E-05
GTF3C2,TRUE,0.000119614
CLOCK,TRUE,0.000137203
MAFK,TRUE,0.000137816
KRT7,TRUE,0.000137816
USF2,TRUE,0.000143069
BRF1,TRUE,0.000144066
ATF1,TRUE,0.00019334
SALL4,TRUE,0.000202655
CDX2,TRUE,0.000235205
HMGN3,TRUE,0.000241023
SOX4,TRUE,0.000241023
TBX3,TRUE,0.000241023
HEY1,TRUE,0.000319432
THAP1,TRUE,0.000434873
STAT4,TRUE,0.000578327
CCNT2,TRUE,0.000691264
TAF7,TRUE,0.000736614
SALL1,TRUE,0.000755111
HNF4G,TRUE,0.000755111
PADI4,TRUE,0.000789471
HOXB4,TRUE,0.001121239
NFIC,TRUE,0.001129667
YY2,TRUE,0.001221719
ZBTB33,TRUE,0.001322901
POU3F2,TRUE,0.001967555
PLAGL2,TRUE,0.003274978
ZNF263,TRUE,0.004249255
CHD2,TRUE,0.005129634
MTF2,TRUE,0.005339487
ZZZ3,TRUE,0.005339487
RBM15,TRUE,0.006230834
CRX,TRUE,0.007052973
MYBL1,TRUE,0.00720921
LMX1B,TRUE,0.00720921
MXI1,TRUE,0.012695791
BATF,TRUE,0.012695791
NELFE,TRUE,0.012735941
TET1,TRUE,0.013576074
GLIS2,TRUE,0.013576074
POU2F2,TRUE,0.019750056
PRDM14,TRUE,0.022085206
TFAP2C,TRUE,0.02344077
KLF2,TRUE,0.024846975
SP2,TRUE,0.024846975
GABPB1,TRUE,0.028869587
KLF7,TRUE,0.034942312
DMRT1,TRUE,0.034942312
HOXD13,TRUE,0.042109849
KLF9,TRUE,0.046272787
FOXP2,TRUE,0.046272787
