name,Top100_varElect
MAPT,TRUE
PSEN1,TRUE
SNCA,TRUE
TARDBP,TRUE
APP,TRUE
SQSTM1,TRUE
SOD1,TRUE
GRN,TRUE
LRRK2,TRUE
FUS,TRUE
VCP,TRUE
C9orf72,TRUE
PINK1,TRUE
UCHL1,TRUE
CASP3,TRUE
TBK1,TRUE
HNRNPA1,TRUE
CDK5,TRUE
BDNF,TRUE
CYCS,TRUE
ATP13A2,TRUE
TUBA4A,TRUE
PIN1,TRUE
NOS3,TRUE
GSK3B,TRUE
ERBB4,TRUE
PRNP,TRUE
MAP2,TRUE
GFAP,TRUE
A2M,TRUE
CASP9,TRUE
VPS35,TRUE
SNCG,TRUE
SOD2,TRUE
HTRA2,TRUE
MATR3,TRUE
GIGYF2,TRUE
HNRNPA2B1,TRUE
PPARGC1A,TRUE
PANK2,TRUE
TNF,TRUE
TBP,TRUE
DCTN1,TRUE
PFN1,TRUE
CNTF,TRUE
CLU,TRUE
CASP8,TRUE
PTGS2,TRUE
CTSD,TRUE
HTT,TRUE
GAPDH,TRUE
UBQLN1,TRUE
RNF19A,TRUE
TRPM7,TRUE
MAPK14,TRUE
DPYSL2,TRUE
EIF4G1,TRUE
ITPR1,TRUE
LRP1,TRUE
UBB,TRUE
TNFRSF1A,TRUE
RTN4,TRUE
COX5A,TRUE
FTL,TRUE
MAPK1,TRUE
HSPA4,TRUE
DNM1L,TRUE
FAS,TRUE
CAPN1,TRUE
HMOX1,TRUE
HSPA8,TRUE
APBB1,TRUE
MAPK8,TRUE
SERPINI1,TRUE
AKT1,TRUE
SYNJ1,TRUE
HSPA9,TRUE
SMN1,TRUE
VPS26A,TRUE
TFRC,TRUE
STUB1,TRUE
TUBA1B,TRUE
CASP7,TRUE
HSPA5,TRUE
SLC11A2,TRUE
PAXIP1,TRUE
CASP2,TRUE
ADAM17,TRUE
MME,TRUE
TTR,TRUE
TP53,TRUE
CHCHD2,TRUE
LPL,TRUE
XBP1,TRUE
RCAN1,TRUE
CD40,TRUE
TFCP2,TRUE
MAPK3,TRUE
TOMM40,TRUE
,
,
