name,Top50_VarElect
MAPT,TRUE
PSEN1,TRUE
SNCA,TRUE
TARDBP,TRUE
APP,TRUE
SQSTM1,TRUE
SOD1,TRUE
GRN,TRUE
LRRK2,TRUE
FUS,TRUE
VCP,TRUE
C9orf72,TRUE
PINK1,TRUE
UCHL1,TRUE
CASP3,TRUE
TBK1,TRUE
HNRNPA1,TRUE
CDK5,TRUE
BDNF,TRUE
CYCS,TRUE
ATP13A2,TRUE
TUBA4A,TRUE
PIN1,TRUE
NOS3,TRUE
GSK3B,TRUE
ERBB4,TRUE
PRNP,TRUE
MAP2,TRUE
GFAP,TRUE
A2M,TRUE
CASP9,TRUE
VPS35,TRUE
SNCG,TRUE
SOD2,TRUE
HTRA2,TRUE
MATR3,TRUE
GIGYF2,TRUE
HNRNPA2B1,TRUE
PPARGC1A,TRUE
PANK2,TRUE
TNF,TRUE
TBP,TRUE
DCTN1,TRUE
PFN1,TRUE
CNTF,TRUE
CLU,TRUE
CASP8,TRUE
PTGS2,TRUE
CTSD,TRUE
HTT,TRUE
,
