"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"1","{ABL1,15} (Static Module)",0.023327525176673,0.139965151060038,1,15,"1"
"2","{ACY1,11} (Static Module)",1,1,0,11,"2"
"3","{ARRB2,743} (Static Module)",0.997297077405066,1,3,723,"3"
"4","{CHRNA1,13} (Static Module)",1,1,0,13,"4"
"5","{DVL1L1,17} (Static Module)",1,1,0,16,"5"
"6","{HRAS,27} (Static Module)",0.00435077398131077,0.104418575551459,2,21,"6"
"7","{TCF3,20} (Static Module)",1,1,0,20,"7"
"8","Aflatoxin B1 metabolism (Wikipathways)",1,1,0,8,"8"
"9","Alzheimer's disease (KEGG)",0.289125168066872,0.991286290514988,3,170,"9"
"10","Blood Clotting Cascade (Wikipathways)",1,1,0,24,"10"
"11","Collecting duct acid secretion (KEGG)",1,1,0,27,"11"
"12","Diabetes pathways (Reactome)",0.0622801126964589,0.249120450785836,8,310,"12"
"13","Estrogen signaling pathway (Wikipathways)",1,1,0,20,"13"
"14","Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",1,1,0,8,"14"
"15","Influenza A (KEGG)",1,1,0,177,"15"
"16","Phototransduction (KEGG)",1,1,0,32,"16"
"17","Serotonin Receptor 4/6/7 and NR3C Signaling (Wikipathways)",0.0329420582053465,0.158121879385663,1,18,"17"
"18","Signaling by GPCR (Reactome)",0.958215260909946,1,8,912,"18"
"19","Signaling by Insulin receptor (Reactome)",1,1,0,108,"19"
"20","SNARE interactions in vesicular transport (KEGG)",0.0195921712446114,0.139965151060038,2,36,"20"
"21","Statin Pathway (Wikipathways)",0.0108806289341782,0.130567547210139,2,29,"21"
"22","Striated Muscle Contraction (Wikipathways)",1,1,0,38,"22"
"23","Tyrosine metabolism (KEGG)",1,1,0,41,"23"
"24","Urea cycle and metabolism of amino groups (Wikipathways)",1,1,0,21,"24"
