"","P_3A.CEL","P_4Aa.CEL","P_5A.CEL","P_7Aa.CEL","P_8A.CEL","P_MW4.CEL","P_MW5.CEL","P_MW8.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","P_GSM764189.CEL","P_GSM764190.CEL","P_GSM764191.CEL","P_GSM764192.CEL","P_GSM764193.CEL","P_GSM764194.CEL","P_GSM764195.CEL","C_GSM764196.CEL","C_GSM764197.CEL","C_GSM764198.CEL","C_MW2.CEL","C_MW3B.CEL","C_MW7.CEL","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","C_C05.CEL","C_C08.CEL","C_C10.CEL"
"Alanine, aspartate and glutamate metabolism (KEGG)",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1
"Glycine, serine and threonine metabolism (KEGG)",0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
"Tyrosine metabolism (KEGG)",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0
"Glutathione metabolism (KEGG)",-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1
"Aminoacyl-tRNA biosynthesis (KEGG)",-1,0,-1,0,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,1,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
"Metabolic pathways (KEGG)",-1,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1
"ABC transporters (KEGG)",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,1,-1,0,-1,1,0,1,1,1
"Basal transcription factors (KEGG)",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,-1,-1,-1
"SNARE interactions in vesicular transport (KEGG)",-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,-1,-1,-1
"Phagosome (KEGG)",-1,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1
