,GSM329677.CEL,GSM329679.CEL,GSM329681.CEL,GSM329683.CEL,GSM329686.CEL,GSM329689.CEL,GSM329692.CEL,GSM329694.CEL,GSM329697.CEL,GSM329700.CEL,GSM329703.CEL,GSM329704.CEL,GSM329707.CEL,GSM329709.CEL,GSM329711.CEL,GSM329714.CEL,GSM329660.CEL,GSM329663.CEL,GSM329664.CEL,GSM329666.CEL,GSM329667.CEL,GSM329670.CEL,GSM329672.CEL,GSM329674.CEL
"{ABL1,15} (Static Module)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
"{ACTB,297} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{ACY1,11} (Static Module)",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1
"{AKT1,48} (Static Module)",0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
"{AP1G1,16} (Static Module)",-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,-1,1,0,0
"{APP,28} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{AR,28} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{ARF1,36} (Static Module)",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"{ARF6,34} (Static Module)",0,1,0,-1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1
"{ARRB2,743} (Static Module)",0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{ASH2L,391} (Static Module)",1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0
"{ATP5D,19} (Static Module)",-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,-1,0,0,-1,1,-1,0,0,0
"{BCL2,27} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
"{BCLAF1,25} (Static Module)",1,-1,0,1,1,1,1,0,-1,1,1,1,-1,-1,1,1,1,-1,0,-1,-1,0,-1,-1
"{BRCA1,28} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{BSG,21} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{C5,29} (Static Module)",0,-1,1,1,1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{CALM1,30} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
