Entity 1	Entity 2	Weight	Network group	Networks
HLA-DRA	HLA-DRB1	0.222595548	Co-expression	"[Alizadeh-Staudt-2000, Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Boldrick-Relman-2002, Chen-Brown-2002, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
IL6	IL1B	0.113269092	Co-expression	"[Arijs-Rutgeerts-2009, Boldrick-Relman-2002, Innocenti-Brown-2011, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wang-Maris-2006]"
CXCL1	CXCL2	0.109331818	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Boldrick-Relman-2002, Burington-Shaughnessy-2008, Chen-Brown-2002, Gysin-McMahon-2012, Salaverria-Siebert-2011]"
IL1B	TNF	0.100264474	Co-expression	"[Alizadeh-Staudt-2000, Arijs-Rutgeerts-2009, Boldrick-Relman-2002, Innocenti-Brown-2011, Ramaswamy-Golub-2001, Roth-Zlotnik-2006]"
IL6	CXCL2	0.09598126	Co-expression	"[Boldrick-Relman-2002, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wang-Maris-2006]"
IL6	TNF	0.076572977	Co-expression	"[Arijs-Rutgeerts-2009, Boldrick-Relman-2002, Gysin-McMahon-2012, Ramaswamy-Golub-2001]"
IL1B	CXCL1	0.07581355	Co-expression	"[Alizadeh-Staudt-2000, Boldrick-Relman-2002, Innocenti-Brown-2011, Salaverria-Siebert-2011]"
POGZ	NKTR	0.067973242	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
IL6	CSF3	0.065543254	Co-expression	"[Arijs-Rutgeerts-2009, Boldrick-Relman-2002, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
TNF	IFNG	0.060960898	Co-expression	"[Innocenti-Brown-2011, Roth-Zlotnik-2006]"
TARDBP	PRPF3	0.057594382	Co-expression	"[Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
SF3B1	NKTR	0.054556234	Co-expression	"[Bahr-Bowler-2013, Kang-Willman-2010, Roth-Zlotnik-2006]"
ZFP36	IL6	0.051180163	Co-expression	"[Alizadeh-Staudt-2000, Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
IL1B	IL1A	0.050204874	Co-expression	"[Arijs-Rutgeerts-2009, Boldrick-Relman-2002, Gysin-McMahon-2012]"
IL6	CXCL1	0.047794973	Co-expression	"[Boldrick-Relman-2002, Innocenti-Brown-2011, Salaverria-Siebert-2011]"
IL1B	CXCL2	0.047652518	Co-expression	"[Boldrick-Relman-2002, Ramaswamy-Golub-2001, Salaverria-Siebert-2011]"
RPL37	RPL35A	0.047346577	Co-expression	"[Bahr-Bowler-2013, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
IL6	IL15	0.043423253	Co-expression	"[Chen-Brown-2002, Rieger-Chu-2004]"
PPP2CA	PFDN1	0.042468904	Co-expression	"[Burington-Shaughnessy-2008, Gysin-McMahon-2012, Salaverria-Siebert-2011]"
MXI1	RAB40B	0.042268619	Co-expression	"[Burington-Shaughnessy-2008, Innocenti-Brown-2011]"
IL1A	NKTR	0.04169929	Co-expression	"[Bild-Nevins-2006 B, Rieger-Chu-2004, Wang-Maris-2006]"
IL13	CSF2	0.040991319	Co-expression	"[Innocenti-Brown-2011, Wu-Garvey-2007]"
CST3	JAG1	0.039075797	Co-expression	"[Burington-Shaughnessy-2008, Gysin-McMahon-2012]"
TNF	IL1A	0.038827287	Co-expression	"[Arijs-Rutgeerts-2009, Boldrick-Relman-2002]"
TNF	IL10	0.038799086	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Mallon-McKay-2013]"
SPARC	CDH11	0.038552587	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Chen-Brown-2002, Mallon-McKay-2013, Salaverria-Siebert-2011]"
IL6	IL1A	0.037412265	Co-expression	"[Arijs-Rutgeerts-2009, Boldrick-Relman-2002]"
SPARC	TCF4	0.036864516	Co-expression	"[Chen-Brown-2002, Gysin-McMahon-2012, Innocenti-Brown-2011]"
ZFP36	TNF	0.03566776	Co-expression	"[Arijs-Rutgeerts-2009, Boldrick-Relman-2002]"
CXCL1	TNF	0.034739742	Co-expression	"[Alizadeh-Staudt-2000, Boldrick-Relman-2002, Gysin-McMahon-2012]"
MXI1	BBIP1	0.034724777	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Wang-Maris-2006]"
BGN	DCN	0.034434306	Co-expression	"[Gysin-McMahon-2012, Perou-Botstein-1999, Salaverria-Siebert-2011]"
CXCL2	IL1A	0.033747776	Co-expression	"[Boldrick-Relman-2002, Rieger-Chu-2004]"
SPARC	ANXA1	0.033542957	Co-expression	"[Kang-Willman-2010, Perou-Botstein-1999]"
CSF3	CXCL2	0.032670627	Co-expression	"[Boldrick-Relman-2002, Roth-Zlotnik-2006]"
TNF	CXCL2	0.032247886	Co-expression	"[Boldrick-Relman-2002, Gysin-McMahon-2012]"
ZFP36	CXCL2	0.032197267	Co-expression	"[Bild-Nevins-2006 B, Salaverria-Siebert-2011]"
IL12B	IL4	0.030688522	Co-expression	[Mallon-McKay-2013]
CST3	CD4	0.030358312	Co-expression	"[Bahr-Bowler-2013, Chen-Brown-2002, Salaverria-Siebert-2011]"
IL15	IFNG	0.030352404	Co-expression	"[Bild-Nevins-2006 B, Salaverria-Siebert-2011]"
ACTN1	CST3	0.029663928	Co-expression	"[Ramaswamy-Golub-2001, Rieger-Chu-2004, Smirnov-Cheung-2009]"
IL1A	IL4	0.029041611	Co-expression	[Innocenti-Brown-2011]
PRPF3	CXCL2	0.0289589	Co-expression	[Wu-Garvey-2007]
SPARC	BGN	0.028881903	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Salaverria-Siebert-2011, Wang-Maris-2006]"
SPARC	KCTD12	0.028489912	Co-expression	"[Alizadeh-Staudt-2000, Mallon-McKay-2013, Roth-Zlotnik-2006]"
ZNF518A	IL1A	0.028084807	Co-expression	"[Cheok-Evans-2003, Wu-Garvey-2007]"
