Entity 1	Entity 2	Weight	Network group	Networks
COX7B	COX5B	0.202577167	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
COX6C	UQCRB	0.195925207	Co-expression	"[Bahr-Bowler-2013, Chen-Brown-2002, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFA1	COX7B	0.191955901	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Chen-Brown-2002, Cheok-Evans-2003, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
ATP5D	NDUFS7	0.153789524	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Bild-Nevins-2006 B, Gysin-McMahon-2012, Innocenti-Brown-2011, Mallon-McKay-2013, Salaverria-Siebert-2011, Wang-Maris-2006]"
COX7C	UQCRB	0.149212658	Co-expression	"[Bahr-Bowler-2013, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
COX6B1	COX5B	0.146779362	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Cheok-Evans-2003, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
UQCR11	COX5B	0.143693885	Co-expression	"[Bahr-Bowler-2013, Burington-Shaughnessy-2008, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFA1	ATP5I	0.141941695	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Burington-Shaughnessy-2008, Innocenti-Brown-2011, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
UQCRQ	COX7B	0.138726364	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Chen-Brown-2002, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
ATP5C1	COX7B	0.134156462	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Gysin-McMahon-2012, Ramaswamy-Golub-2001, Rieger-Chu-2004, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
ATP5J	ATP5O	0.133254272	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFA7	ATP5I	0.131735707	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
