Pathway,ID,P-value,BHadjP-value,nGenes,nPathway,Name
Lysine.degradation..KEGG.,1,1,1,0,49,Lysine.degradation..KEGG.
ABC.transporters..KEGG.,2,0.330701101,0.457893832,4,43,ABC.transporters..KEGG.
Prion.diseases..KEGG.,3,0.193312545,0.359177225,4,35,Prion.diseases..KEGG.
Ganglio.Sphingolipid.Metabolism..Wikipathways.,4,0.219497193,0.359177225,1,10,Ganglio.Sphingolipid.Metabolism..Wikipathways.
Biogenic.Amine.Synthesis..Wikipathways.,5,0.141316007,0.359177225,2,15,Biogenic.Amine.Synthesis..Wikipathways.
Signaling.by.Insulin.receptor..Reactome.,6,0.488325203,0.62784669,9,108,Signaling.by.Insulin.receptor..Reactome.
X.ESR1.24...Static.Module.,7,0.157448085,0.359177225,3,24,X.ESR1.24...Static.Module.
X.SPTAN1.10...Static.Module.,8,0.219497193,0.359177225,1,10,X.SPTAN1.10...Static.Module.
IL.3.down.reg..targets..Netpath.,9,0.219497193,0.359177225,1,10,IL.3.down.reg..targets..Netpath.
TGF.beta.receptor.down.reg..targets..Netpath.,10,0.03985612,0.143482031,78,735,TGF.beta.receptor.down.reg..targets..Netpath.
IL.4.down.reg..targets..Netpath.,11,0.818256368,0.866389096,5,90,IL.4.down.reg..targets..Netpath.
IL.6.up.reg..targets..Netpath.,12,0.804160508,0.866389096,4,75,IL.6.up.reg..targets..Netpath.
Leishmaniasis..KEGG.,13,0.038961174,0.143482031,10,69,Leishmaniasis..KEGG.
Phagosome..KEGG.,14,0.542475635,0.650970762,12,147,Phagosome..KEGG.
Leukocyte.transendothelial.migration..KEGG.,15,0.004708711,0.042378396,18,113,Leukocyte.transendothelial.migration..KEGG.
Malaria..KEGG.,16,0.278894737,0.418342105,5,50,Malaria..KEGG.
X.GRB2.414...Static.Module.,17,0.013879012,0.083274071,47,393,X.GRB2.414...Static.Module.
IL.4.up.reg..targets..Netpath.,18,1.36E-05,0.000244606,38,216,IL.4.up.reg..targets..Netpath.
