"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Lysine.degradation..KEGG.",1,1,1,0,49,"Lysine.degradation..KEGG."
"ABC.transporters..KEGG.",2,1,1,0,43,"ABC.transporters..KEGG."
"Prion.diseases..KEGG.",3,0.000105842617359208,0.00167892726589609,2,35,"Prion.diseases..KEGG."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",4,1,1,0,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",5,0.000696534012592654,0.00417920407555592,1,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",6,0.000186547473988455,0.00167892726589609,3,108,"Signaling.by.Insulin.receptor..Reactome."
"X.ESR1.24...Static.Module.",7,1,1,0,24,"X.ESR1.24...Static.Module."
"X.SPTAN1.10...Static.Module.",8,1,1,0,10,"X.SPTAN1.10...Static.Module."
"IL.3.down.reg..targets..Netpath.",9,1,1,0,10,"IL.3.down.reg..targets..Netpath."
"TGF.beta.receptor.down.reg..targets..Netpath.",10,0.00299126241598473,0.0134606808719313,6,735,"TGF.beta.receptor.down.reg..targets..Netpath."
"IL.4.down.reg..targets..Netpath.",11,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",12,1,1,0,75,"IL.6.up.reg..targets..Netpath."
"Leishmaniasis..KEGG.",13,1,1,0,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",14,1,1,0,147,"Phagosome..KEGG."
"Leukocyte.transendothelial.migration..KEGG.",15,1,1,0,113,"Leukocyte.transendothelial.migration..KEGG."
"Malaria..KEGG.",16,1,1,0,50,"Malaria..KEGG."
"X.GRB2.414...Static.Module.",17,0.276474406218083,0.829423218654249,1,393,"X.GRB2.414...Static.Module."
"IL.4.up.reg..targets..Netpath.",18,0.0191876824631905,0.0690756568674858,2,216,"IL.4.up.reg..targets..Netpath."
