Pathway,ID,P-value,BHadjP-value,nGenes,nPathway,Name
Lysine.degradation..KEGG.,1,0.003084414,0.00785519,2,49,Lysine.degradation..KEGG.
ABC.transporters..KEGG.,2,0.002120118,0.006360354,2,43,ABC.transporters..KEGG.
Prion.diseases..KEGG.,3,0.001163881,0.005492045,2,35,Prion.diseases..KEGG.
Ganglio.Sphingolipid.Metabolism..Wikipathways.,4,0.001525568,0.005492045,1,10,Ganglio.Sphingolipid.Metabolism..Wikipathways.
Biogenic.Amine.Synthesis..Wikipathways.,5,0.003491195,0.00785519,1,15,Biogenic.Amine.Synthesis..Wikipathways.
Signaling.by.Insulin.receptor..Reactome.,6,4.52E-05,0.000814422,5,108,Signaling.by.Insulin.receptor..Reactome.
X.ESR1.24...Static.Module.,7,0.008862604,0.017725208,1,24,X.ESR1.24...Static.Module.
X.SPTAN1.10...Static.Module.,8,0.001525568,0.005492045,1,10,X.SPTAN1.10...Static.Module.
IL.3.down.reg..targets..Netpath.,9,1,1,0,10,IL.3.down.reg..targets..Netpath.
TGF.beta.receptor.down.reg..targets..Netpath.,10,0.000119654,0.001076883,13,735,TGF.beta.receptor.down.reg..targets..Netpath.
IL.4.down.reg..targets..Netpath.,11,1,1,0,90,IL.4.down.reg..targets..Netpath.
IL.6.up.reg..targets..Netpath.,12,0.01011211,0.018201798,2,75,IL.6.up.reg..targets..Netpath.
Leishmaniasis..KEGG.,13,0.063428009,0.081550297,1,69,Leishmaniasis..KEGG.
Phagosome..KEGG.,14,0.217306489,0.2444698,1,147,Phagosome..KEGG.
Leukocyte.transendothelial.migration..KEGG.,15,0.145137782,0.174165339,1,113,Leukocyte.transendothelial.migration..KEGG.
Malaria..KEGG.,16,0.03559842,0.05339763,1,50,Malaria..KEGG.
X.GRB2.414...Static.Module.,17,0.029960126,0.049025661,5,393,X.GRB2.414...Static.Module.
IL.4.up.reg..targets..Netpath.,18,0.040003566,0.055389553,3,216,IL.4.up.reg..targets..Netpath.
