"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Pentose.and.glucuronate.interconversions..KEGG.",1,1,1,0,23,"Pentose.and.glucuronate.interconversions..KEGG."
"Fructose.and.mannose.metabolism..KEGG.",2,1,1,0,36,"Fructose.and.mannose.metabolism..KEGG."
"Lysine.degradation..KEGG.",3,1.66125731752089e-05,0.000162803217117047,2,49,"Lysine.degradation..KEGG."
"Starch.and.sucrose.metabolism..KEGG.",4,0.00417292960639616,0.0132021543314801,1,43,"Starch.and.sucrose.metabolism..KEGG."
"Pantothenate.and.CoA.biosynthesis..KEGG.",5,1,1,0,17,"Pantothenate.and.CoA.biosynthesis..KEGG."
"Nitrogen.metabolism..KEGG.",6,1,1,0,23,"Nitrogen.metabolism..KEGG."
"ABC.transporters..KEGG.",7,1.27659974459082e-05,0.000156383468712376,2,43,"ABC.transporters..KEGG."
"Complement.and.coagulation.cascades..KEGG.",8,0.00658705495126668,0.0155946870506866,1,68,"Complement.and.coagulation.cascades..KEGG."
"Jak.STAT.signaling.pathway..KEGG.",9,0.0146345360887415,0.0265589729017901,1,152,"Jak.STAT.signaling.pathway..KEGG."
"Phototransduction..KEGG.",10,1,1,0,27,"Phototransduction..KEGG."
"Prion.diseases..KEGG.",11,8.42042524540435e-06,0.000137533612341604,2,35,"Prion.diseases..KEGG."
"Phase.I..non.P450..Wikipathways.",12,1,1,0,7,"Phase.I..non.P450..Wikipathways."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",13,0.000972786246181454,0.00397221050524094,1,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways.",14,1,1,0,21,"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways."
"Complement.Activation..Classical.Pathway..Wikipathways.",15,1,1,0,16,"Complement.Activation..Classical.Pathway..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",16,0.00145864715444569,0.00549797773598761,1,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Complement.and.Coagulation.Cascades..Wikipathways.",17,0.00484977097891104,0.0132021543314801,1,50,"Complement.and.Coagulation.Cascades..Wikipathways."
"Glucuronidation..Wikipathways.",18,1,1,0,17,"Glucuronidation..Wikipathways."
"SIDS.Susceptibility.Pathways..Wikipathways.",19,0.00629782369921762,0.0155946870506866,1,65,"SIDS.Susceptibility.Pathways..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",20,2.12800548132836e-11,1.0427226858509e-09,5,108,"Signaling.by.Insulin.receptor..Reactome."
"Opioid.Signalling..Reactome.",21,1,1,0,79,"Opioid.Signalling..Reactome."
"X.ESR1.24...Static.Module.",22,0.00233230405920069,0.00816306420720241,1,24,"X.ESR1.24...Static.Module."
"X.F2.46...Static.Module.",23,0.00446308900782272,0.0132021543314801,1,46,"X.F2.46...Static.Module."
"X.HSPA8.34...Static.Module.",24,1,1,0,30,"X.HSPA8.34...Static.Module."
"X.NRP1.11...Static.Module.",25,1,1,0,9,"X.NRP1.11...Static.Module."
"X.POR.15...Static.Module.",26,1,1,0,15,"X.POR.15...Static.Module."
"X.RAN.17...Static.Module.",27,1,1,0,16,"X.RAN.17...Static.Module."
"X.SPTAN1.10...Static.Module.",28,0.000972786246181454,0.00397221050524094,1,10,"X.SPTAN1.10...Static.Module."
"X.SREBF1.11...Static.Module.",29,1,1,0,11,"X.SREBF1.11...Static.Module."
"Chagas.disease..American.trypanosomiasis...KEGG...",30,1,1,0,102,"Chagas.disease..American.trypanosomiasis...KEGG..."
