"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Pentose.and.glucuronate.interconversions..KEGG.",1,1,1,0,23,"Pentose.and.glucuronate.interconversions..KEGG."
"Fructose.and.mannose.metabolism..KEGG.",2,1,1,0,36,"Fructose.and.mannose.metabolism..KEGG."
"Lysine.degradation..KEGG.",3,1,1,0,49,"Lysine.degradation..KEGG."
"Starch.and.sucrose.metabolism..KEGG.",4,1,1,0,43,"Starch.and.sucrose.metabolism..KEGG."
"Pantothenate.and.CoA.biosynthesis..KEGG.",5,1,1,0,17,"Pantothenate.and.CoA.biosynthesis..KEGG."
"Nitrogen.metabolism..KEGG.",6,1,1,0,23,"Nitrogen.metabolism..KEGG."
"ABC.transporters..KEGG.",7,1,1,0,43,"ABC.transporters..KEGG."
"Complement.and.coagulation.cascades..KEGG.",8,1,1,0,68,"Complement.and.coagulation.cascades..KEGG."
"Jak.STAT.signaling.pathway..KEGG.",9,1,1,0,152,"Jak.STAT.signaling.pathway..KEGG."
"Phototransduction..KEGG.",10,1,1,0,27,"Phototransduction..KEGG."
"Prion.diseases..KEGG.",11,8.42042524540435e-06,0.000137533612341604,2,35,"Prion.diseases..KEGG."
"Phase.I..non.P450..Wikipathways.",12,1,1,0,7,"Phase.I..non.P450..Wikipathways."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",13,1,1,0,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways.",14,1,1,0,21,"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways."
"Complement.Activation..Classical.Pathway..Wikipathways.",15,1,1,0,16,"Complement.Activation..Classical.Pathway..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",16,0.00145864715444569,0.0142947421135678,1,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Complement.and.Coagulation.Cascades..Wikipathways.",17,1,1,0,50,"Complement.and.Coagulation.Cascades..Wikipathways."
"Glucuronidation..Wikipathways.",18,1,1,0,17,"Glucuronidation..Wikipathways."
"SIDS.Susceptibility.Pathways..Wikipathways.",19,0.00629782369921762,0.0514322268769439,1,65,"SIDS.Susceptibility.Pathways..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",20,5.54150421380954e-07,1.35766853238334e-05,3,108,"Signaling.by.Insulin.receptor..Reactome."
"Opioid.Signalling..Reactome.",21,1,1,0,79,"Opioid.Signalling..Reactome."
"X.ESR1.24...Static.Module.",22,1,1,0,24,"X.ESR1.24...Static.Module."
"X.F2.46...Static.Module.",23,1,1,0,46,"X.F2.46...Static.Module."
"X.HSPA8.34...Static.Module.",24,1,1,0,30,"X.HSPA8.34...Static.Module."
"X.NRP1.11...Static.Module.",25,1,1,0,9,"X.NRP1.11...Static.Module."
"X.POR.15...Static.Module.",26,1,1,0,15,"X.POR.15...Static.Module."
"X.RAN.17...Static.Module.",27,1,1,0,16,"X.RAN.17...Static.Module."
"X.SPTAN1.10...Static.Module.",28,1,1,0,10,"X.SPTAN1.10...Static.Module."
"X.SREBF1.11...Static.Module.",29,1,1,0,11,"X.SREBF1.11...Static.Module."
"Chagas.disease..American.trypanosomiasis...KEGG...",30,1,1,0,102,"Chagas.disease..American.trypanosomiasis...KEGG..."
"Cytokine.cytokine.receptor.interaction..KEGG.",31,1,1,0,255,"Cytokine.cytokine.receptor.interaction..KEGG."
"IL.7.up.reg..targets..Netpath.",32,1,1,0,51,"IL.7.up.reg..targets..Netpath."
"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways.",33,1,1,0,137,"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways."
"Toll.like.receptor.signaling.pathway..KEGG.",34,1,1,0,100,"Toll.like.receptor.signaling.pathway..KEGG."
"Toll.like.receptor.signaling.pathway..Wikipathways.",35,1,1,0,100,"Toll.like.receptor.signaling.pathway..Wikipathways."
"X.TRAF6.55...Static.Module.",36,1,1,0,54,"X.TRAF6.55...Static.Module."
"IL.4.down.reg..targets..Netpath.",37,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",38,1,1,0,75,"IL.6.up.reg..targets..Netpath."
"Cell.adhesion.molecules..CAMs...KEGG.",39,0.0123452630141258,0.0864168410988803,1,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Integrin.cell.surface.interactions..Reactome.",40,4.90219766256152e-05,0.000600519213663786,2,84,"Integrin.cell.surface.interactions..Reactome."
"Malaria..KEGG.",41,1,1,0,50,"Malaria..KEGG."
"Amoebiasis..KEGG.",42,5.23842177042316e-07,1.35766853238334e-05,3,106,"Amoebiasis..KEGG."
"Rheumatoid.arthritis..KEGG.",43,1,1,0,86,"Rheumatoid.arthritis..KEGG."
"Leishmaniasis..KEGG.",44,1,1,0,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",45,1,1,0,147,"Phagosome..KEGG."
"Tuberculosis..KEGG.",46,0.016631127119133,0.101865653604689,1,173,"Tuberculosis..KEGG."
"IL.5.up.reg..targets..Netpath.",47,1,1,0,125,"IL.5.up.reg..targets..Netpath."
"Gene.Expression..Reactome.",48,0.0392998119735998,0.213965642967377,1,416,"Gene.Expression..Reactome."
"Metabolism.of.RNA..Reactome.",49,1,1,0,161,"Metabolism.of.RNA..Reactome."
