Lysine degradation (KEGG),ABC transporters (KEGG),Prion diseases (KEGG),Ganglio Sphingolipid Metabolism (Wikipathways),Biogenic Amine Synthesis (Wikipathways),Signaling by Insulin receptor (Reactome),"{ESR1,24} (Static Module)","{SPTAN1,10} (Static Module)",IL-3 down reg. targets (Netpath),TGF beta receptor down reg. targets (Netpath),IL-4 down reg. targets (Netpath),IL-6 up reg. targets (Netpath),Leishmaniasis (KEGG),Phagosome (KEGG),Leukocyte transendothelial migration (KEGG),Malaria (KEGG),"{GRB2,414} (Static Module)",IL-4 up reg. targets (Netpath),B Cell Receptor down reg. targets (Netpath),IL-3 up reg. targets (Netpath),Hemostasis (Reactome),Integrin cell surface interactions (Reactome),Type II interferon signaling (IFNG) (Wikipathways),Signaling in Immune system (Reactome),Allograft rejection (KEGG),Cell adhesion molecules (CAMs) (KEGG),Osteoclast differentiation (KEGG),Chemokine signaling pathway (KEGG)
ACAT1,ABCA1,BAX,FUT1,AANAT,AKT2,CRHBP,ADD1,CDKN1B,A2M,ALOX5,BCL3,C3,ACTB,ACTB,CD36,AP2A2,ACTN1,ABR,ANXA2,A2M,AKT1,CYBB,ADAR,FAS,ALCAM,ACP5,ADCY1
ACAT2,ABCA2,C1QA,B4GALNT1,ACHE,ATP6V1A,CRYZ,ADD2,CCR3,ABCA3,ALOX5AP,PRDM1,CR1,ACTG1,ACTG1,CD40,ALK,ACAN,ACTA2,BCL2,ABL1,BSG,IFI6,AGER,FASLG,CD2,AKT1,ADCY2
ALDH2,ABCA3,C1QB,ST3GAL1,ASMT,ATP6V1B1,CYP1B1,PLEC,CSF1R,ABO,BCL6,C4BPA,MAPK14,ATP6V1A,ACTN4,CD40LG,ALOX15B,JAG1,ACVR2B,BCL2L1,ACTN4,CDH1,GBP1,AKT1,CD28,CD4,AKT2,ADCY3
ALDH1B1,ABCB7,C1QC,ST3GAL2,CHAT,ATP6V1B2,ESR1,SPTA1,CTSK,ACACB,DST,C4BPB,CYBA,ATP6V1B1,ACTN1,CD81,AMPH,AHR,ADAM8,CD86,ACTN1,COL1A1,HLA-B,AKT2,CD80,CD6,BTK,ADCY5
ALDH9A1,ABCA4,C5,ST8SIA1,COMT,ATP6V0C,ESR2,SPTAN1,FOS,ACO1,CAV3,CD44,ELK1,ATP6V1B2,ACTN2,COMP,ANGPT1,AIM1,AMFR,CD69,ACTN2,COL1A2,ICAM1,APP,CD86,CD8A,CALCR,ADCY6
ALDH3A2,ABCD1,C6,B3GALT4,DBH,ATP6V1C1,ESRRG,SPTB,IL5RA,ACTA2,CD9,CDKN1B,FCGR1A,ATP6V0C,ACTN3,CR1,ANGPT2,ALOX15,BIRC5,CISH,ADRA2A,COL2A1,IRF8,ATF1,CD40,CD8B,CAMK4,ADCY7
ALDH7A1,ABCD2,C7,ST3GAL5,DDC,ATP6V1E1,FLII,SPTBN1,SRC,ACTG1,CD27,CDKN2D,FCGR2A,ATP6V1C1,RHOA,CSF3,AXL,ANXA1,ARHGDIB,CCR1,ADRA2B,COL4A1,IFIT2,B2M,CD40LG,CD22,CHUK,ADCY8
DLST,ABCC6,C8A,SLC33A1,GAD1,ATP6V0B,SERPINB9,SPTBN2,TNFRSF1A,ACVR2A,CDKN1A,CEBPB,FCGR3A,ATP6V1E1,ARHGAP5,ACKR1,BCR,ARG1,ASGR1,CSF1,ADRA2C,COL4A2,IFNA2,CFB,GZMB,CD28,CREB1,ADCY9
ECHS1,CFTR,C8B,ST8SIA5,GAD2,ATP6V1G2,STRN,SPTBN5,TNFRSF1B,PLIN2,CDKN1B,CEBPD,FCGR3B,ATP6V0B,RHOH,GYPA,BMX,BCL2,ATP5G3,CSF2RA,AKT1,COL4A3,IFNB1,C1QA,HLA-A,CD80,MAPK14,ADRBK1
EHHADH,ABCC2,C8G,ST6GALNAC6,HDC,ATP6V0A1,THRA,SPTBN4,HRK,ADH1B,CHI3L1,CISH,FOS,ATP6V1G2,CDC42,GYPB,BTK,BCL3,BMP5,CSF2RB,AKT2,COL4A4,IFNG,C1QB,HLA-B,CD86,CSF1,ADRBK2
GCDH,ABCC1,C9,,MAOA,CDK1,TIMP4,,,ADH1C,CLTB,CLU,HLA-DMA,ATP6V0A1,CDH5,GYPC,CBL,BMP2,BMP6,FCER2,ALB,COL4A5,IFNGR1,C1QC,HLA-C,CD34,CSF1R,AKT1
HADHA,ABCB1,EGR1,,PAH,CRK,XBP1,,,ADH5,LTB4R,MAP3K8,HLA-DMB,ATP6AP1,CLDN4,HBA1,CBLB,BMP4,BPI,FOS,ALDOA,CRK,IFNGR2,C1R,HLA-DMA,CD40,CTSK,AKT2
HADH,ABCB4,ELK1,,PNMT,DOK1,PRDM2,,,ADM,CYP2A6,DCN,HLA-DOA,C1R,CLDN3,HBB,CD3D,CA2,BTG1,HBB,ANGPT1,CSK,IL1B,C1S,HLA-DMB,CD40LG,CYBA,RHOA
KMT2A,ABCD3,FYN,,TH,EIF4B,PRRC2A,,,ADORA2B,EGFR,HBEGF,HLA-DOB,C3,CLDN7,HBD,CD3E,CASP2,BTK,IL1B,ANGPT2,FBN1,CXCL10,C2,HLA-DOA,CD58,CYBB,ARRB1
OGDH,ABCD4,HSPA1A,,TPH1,EIF4E,WISP2,,,ADRB2,FCER1G,EIF5,HLA-DPA1,CALR,MAPK14,HGF,CD3G,CASP3,CASP7,IL3RA,APOA1,FGA,IRF1,C3,HLA-DOB,CDH1,CYLD,ARRB2
PLOD1,ABCC8,HSPA5,,,EIF4EBP1,TRIP11,,,AHR,IFI6,FCGR1A,HLA-DPB1,CANX,CTNNA1,ICAM1,CD247,CD1C,CCNA2,IL6R,APOB,FGB,IRF2,C4A,HLA-DPA1,CDH2,FCGR1A,CXCR5
PLOD2,TAP1,IL1A,,,EIF4G1,SAFB2,,,AK2,GAS1,FOS,HLA-DQA1,CD14,CTNNA2,IFNG,CD8B,CD8B,CCNC,CXCL8,APP,FGG,IRF4,C5,HLA-DPB1,CDH3,FCGR2A,BRAF
SETMAR,TAP2,IL1B,,,FGF1,PHB2,,,AKT2,GBP2,CXCL1,HLA-DQB1,CD36,CTNNB1,IL1B,CD28,CD86,CD1C,KIT,RHOA,FN1,JAK1,C6,HLA-DQA1,CDH4,FCGR2B,CDC42
SUV39H1,ABCB11,IL6,,,FGF2,ATF6,,,ALDH1A3,GEM,ID2,HLA-DRA,SCARB1,CTNND1,IL6,CD80,CDC25A,CD3G,MATK,RHOB,GRB2,JAK2,C7,HLA-DQB1,CDH5,FCGR3A,CHUK
