"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Lysine.degradation..KEGG.",1,1,1,0,49,"Lysine.degradation..KEGG."
"ABC.transporters..KEGG.",2,1,1,0,43,"ABC.transporters..KEGG."
"Prion.diseases..KEGG.",3,1,1,0,35,"Prion.diseases..KEGG."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",4,1,1,0,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",5,1,1,0,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",6,1,1,0,108,"Signaling.by.Insulin.receptor..Reactome."
"X.ESR1.24...Static.Module.",7,1,1,0,24,"X.ESR1.24...Static.Module."
"X.SPTAN1.10...Static.Module.",8,1,1,0,10,"X.SPTAN1.10...Static.Module."
"IL.3.down.reg..targets..Netpath.",9,1,1,0,10,"IL.3.down.reg..targets..Netpath."
"TGF.beta.receptor.down.reg..targets..Netpath.",10,1,1,0,735,"TGF.beta.receptor.down.reg..targets..Netpath."
"IL.4.down.reg..targets..Netpath.",11,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",12,1,1,0,75,"IL.6.up.reg..targets..Netpath."
"Leishmaniasis..KEGG.",13,1,1,0,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",14,1,1,0,147,"Phagosome..KEGG."
"Leukocyte.transendothelial.migration..KEGG.",15,1,1,0,113,"Leukocyte.transendothelial.migration..KEGG."
"Malaria..KEGG.",16,1,1,0,50,"Malaria..KEGG."
"X.GRB2.414...Static.Module.",17,1,1,0,393,"X.GRB2.414...Static.Module."
"IL.4.up.reg..targets..Netpath.",18,1,1,0,216,"IL.4.up.reg..targets..Netpath."
