"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Lysine.degradation..KEGG.",1,5.89232576706967e-30,1.7676977301209e-29,17,49,"Lysine.degradation..KEGG."
"ABC.transporters..KEGG.",2,1.00635147567546e-05,1.13214541013489e-05,4,43,"ABC.transporters..KEGG."
"Prion.diseases..KEGG.",3,1.91685851430951e-11,2.87528777146427e-11,7,35,"Prion.diseases..KEGG."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",4,1,1,0,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",5,0.000940226884356058,0.000995534348141709,2,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",6,3.12427241364623e-47,1.12473806891264e-46,30,108,"Signaling.by.Insulin.receptor..Reactome."
"X.ESR1.24...Static.Module.",7,7.25830276263989e-15,1.30649449727518e-14,8,24,"X.ESR1.24...Static.Module."
"X.SPTAN1.10...Static.Module.",8,7.1730180669629e-11,9.93187116964094e-11,5,10,"X.SPTAN1.10...Static.Module."
"IL.3.down.reg..targets..Netpath.",9,3.37173713064936e-06,4.04608455677923e-06,3,10,"IL.3.down.reg..targets..Netpath."
"TGF.beta.receptor.down.reg..targets..Netpath.",10,1.76525025581082e-172,3.17745046045947e-171,149,735,"TGF.beta.receptor.down.reg..targets..Netpath."
"IL.4.down.reg..targets..Netpath.",11,2.53894879490729e-21,5.07789758981458e-21,15,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",12,8.17010876554617e-14,1.33692688890755e-13,10,75,"IL.6.up.reg..targets..Netpath."
"Leishmaniasis..KEGG.",13,5.57076735563884e-29,1.43248303430713e-28,18,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",14,2.07597637123352e-27,4.67094683527542e-27,21,147,"Phagosome..KEGG."
"Leukocyte.transendothelial.migration..KEGG.",15,1.76466447795655e-48,7.94099015080447e-48,31,113,"Leukocyte.transendothelial.migration..KEGG."
"Malaria..KEGG.",16,1.31618070841989e-08,1.692232339397e-08,6,50,"Malaria..KEGG."
"X.GRB2.414...Static.Module.",17,7.53730568599971e-112,6.78357511739974e-111,86,393,"X.GRB2.414...Static.Module."
"IL.4.up.reg..targets..Netpath.",18,4.53656796568157e-62,2.72194077940894e-61,45,216,"IL.4.up.reg..targets..Netpath."
