"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Pentose.and.glucuronate.interconversions..KEGG.",1,0.332796884438989,0.689364974909335,2,23,"Pentose.and.glucuronate.interconversions..KEGG."
"Fructose.and.mannose.metabolism..KEGG.",2,0.39569091819859,0.717189789234944,3,36,"Fructose.and.mannose.metabolism..KEGG."
"Lysine.degradation..KEGG.",3,1,1,0,49,"Lysine.degradation..KEGG."
"Starch.and.sucrose.metabolism..KEGG.",4,0.745267592775153,1,2,43,"Starch.and.sucrose.metabolism..KEGG."
"Pantothenate.and.CoA.biosynthesis..KEGG.",5,0.185818361636642,0.578674418148503,2,17,"Pantothenate.and.CoA.biosynthesis..KEGG."
"Nitrogen.metabolism..KEGG.",6,0.0471949448446194,0.48216918066464,4,23,"Nitrogen.metabolism..KEGG."
"ABC.transporters..KEGG.",7,0.330701101102217,0.689364974909335,4,43,"ABC.transporters..KEGG."
"Complement.and.coagulation.cascades..KEGG.",8,1,1,0,68,"Complement.and.coagulation.cascades..KEGG."
"Jak.STAT.signaling.pathway..KEGG.",9,0.874012654676682,1,9,152,"Jak.STAT.signaling.pathway..KEGG."
"Phototransduction..KEGG.",10,0.431819002403223,0.736632415864321,2,27,"Phototransduction..KEGG."
"Prion.diseases..KEGG.",11,0.193312545307291,0.578674418148503,4,35,"Prion.diseases..KEGG."
"Phase.I..non.P450..Wikipathways.",12,1,1,0,7,"Phase.I..non.P450..Wikipathways."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",13,0.219497193090811,0.578674418148503,1,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways.",14,0.282687652881582,0.683161827797157,2,21,"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways."
"Complement.Activation..Classical.Pathway..Wikipathways.",15,1,1,0,16,"Complement.Activation..Classical.Pathway..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",16,0.141316007103796,0.578674418148503,2,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Complement.and.Coagulation.Cascades..Wikipathways.",17,1,1,0,50,"Complement.and.Coagulation.Cascades..Wikipathways."
"Glucuronidation..Wikipathways.",18,1,1,0,17,"Glucuronidation..Wikipathways."
"SIDS.Susceptibility.Pathways..Wikipathways.",19,0.058428240618654,0.48216918066464,9,65,"SIDS.Susceptibility.Pathways..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",20,0.488325203218673,0.786746160741196,9,108,"Signaling.by.Insulin.receptor..Reactome."
"Opioid.Signalling..Reactome.",21,0.0206885311732852,0.48216918066464,12,79,"Opioid.Signalling..Reactome."
"X.ESR1.24...Static.Module.",22,0.157448084614127,0.578674418148503,3,24,"X.ESR1.24...Static.Module."
"X.F2.46...Static.Module.",23,0.923038028647978,1,1,46,"X.F2.46...Static.Module."
"X.HSPA8.34...Static.Module.",24,0.757109396726094,1,1,30,"X.HSPA8.34...Static.Module."
"X.NRP1.11...Static.Module.",25,0.185932318922052,0.578674418148503,1,9,"X.NRP1.11...Static.Module."
"X.POR.15...Static.Module.",26,0.387844426306293,0.717189789234944,1,15,"X.POR.15...Static.Module."
"X.RAN.17...Static.Module.",27,1,1,0,16,"X.RAN.17...Static.Module."
"X.SPTAN1.10...Static.Module.",28,0.219497193090811,0.578674418148503,1,10,"X.SPTAN1.10...Static.Module."
"X.SREBF1.11...Static.Module.",29,0.0665060938847779,0.48216918066464,2,11,"X.SREBF1.11...Static.Module."
