"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Pentose.and.glucuronate.interconversions..KEGG.",1,0.332796884438989,0.776526063690975,2,23,"Pentose.and.glucuronate.interconversions..KEGG."
"Fructose.and.mannose.metabolism..KEGG.",2,0.39569091819859,0.842993695292647,3,36,"Fructose.and.mannose.metabolism..KEGG."
"Lysine.degradation..KEGG.",3,1,1,0,49,"Lysine.degradation..KEGG."
"Starch.and.sucrose.metabolism..KEGG.",4,0.745267592775153,1,2,43,"Starch.and.sucrose.metabolism..KEGG."
"Pantothenate.and.CoA.biosynthesis..KEGG.",5,0.185818361636642,0.631487648003817,2,17,"Pantothenate.and.CoA.biosynthesis..KEGG."
"Nitrogen.metabolism..KEGG.",6,0.0471949448446194,0.330364613912336,4,23,"Nitrogen.metabolism..KEGG."
"ABC.transporters..KEGG.",7,0.330701101102217,0.776526063690975,4,43,"ABC.transporters..KEGG."
"Complement.and.coagulation.cascades..KEGG.",8,1,1,0,68,"Complement.and.coagulation.cascades..KEGG."
"Jak.STAT.signaling.pathway..KEGG.",9,0.874012654676682,1,9,152,"Jak.STAT.signaling.pathway..KEGG."
"Phototransduction..KEGG.",10,0.431819002403223,0.881630463239913,2,27,"Phototransduction..KEGG."
"Prion.diseases..KEGG.",11,0.193312545307291,0.631487648003817,4,35,"Prion.diseases..KEGG."
"Phase.I..non.P450..Wikipathways.",12,1,1,0,7,"Phase.I..non.P450..Wikipathways."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",13,0.219497193090811,0.63266838008528,1,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways.",14,0.282687652881582,0.72903657848408,2,21,"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways."
"Complement.Activation..Classical.Pathway..Wikipathways.",15,1,1,0,16,"Complement.Activation..Classical.Pathway..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",16,0.141316007103796,0.629498577098726,2,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Complement.and.Coagulation.Cascades..Wikipathways.",17,1,1,0,50,"Complement.and.Coagulation.Cascades..Wikipathways."
"Glucuronidation..Wikipathways.",18,1,1,0,17,"Glucuronidation..Wikipathways."
"SIDS.Susceptibility.Pathways..Wikipathways.",19,0.058428240618654,0.357872973789256,9,65,"SIDS.Susceptibility.Pathways..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",20,0.488325203218673,0.957117398308599,9,108,"Signaling.by.Insulin.receptor..Reactome."
"Opioid.Signalling..Reactome.",21,0.0206885311732852,0.330364613912336,12,79,"Opioid.Signalling..Reactome."
"X.ESR1.24...Static.Module.",22,0.157448084614127,0.631487648003817,3,24,"X.ESR1.24...Static.Module."
"X.F2.46...Static.Module.",23,0.923038028647978,1,1,46,"X.F2.46...Static.Module."
"X.HSPA8.34...Static.Module.",24,0.757109396726094,1,1,30,"X.HSPA8.34...Static.Module."
"X.NRP1.11...Static.Module.",25,0.185932318922052,0.631487648003817,1,9,"X.NRP1.11...Static.Module."
"X.POR.15...Static.Module.",26,0.387844426306293,0.842993695292647,1,15,"X.POR.15...Static.Module."
"X.RAN.17...Static.Module.",27,1,1,0,16,"X.RAN.17...Static.Module."
"X.SPTAN1.10...Static.Module.",28,0.219497193090811,0.63266838008528,1,10,"X.SPTAN1.10...Static.Module."
"X.SREBF1.11...Static.Module.",29,0.0665060938847779,0.36208873337268,2,11,"X.SREBF1.11...Static.Module."
"Chagas.disease..American.trypanosomiasis...KEGG...",30,0.0344791547244613,0.330364613912336,14,102,"Chagas.disease..American.trypanosomiasis...KEGG..."
"Cytokine.cytokine.receptor.interaction..KEGG.",31,0.581217159190464,1,21,255,"Cytokine.cytokine.receptor.interaction..KEGG."
"IL.7.up.reg..targets..Netpath.",32,0.671551839589448,1,3,51,"IL.7.up.reg..targets..Netpath."
"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways.",33,0.780716252466056,1,9,137,"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways."
"Toll.like.receptor.signaling.pathway..KEGG.",34,0.791858167228147,1,6,100,"Toll.like.receptor.signaling.pathway..KEGG."
"Toll.like.receptor.signaling.pathway..Wikipathways.",35,0.791858167228147,1,6,100,"Toll.like.receptor.signaling.pathway..Wikipathways."
"X.TRAF6.55...Static.Module.",36,0.0186961827103541,0.330364613912336,9,54,"X.TRAF6.55...Static.Module."
"IL.4.down.reg..targets..Netpath.",37,0.818256368132507,1,5,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",38,0.80416050848392,1,4,75,"IL.6.up.reg..targets..Netpath."
"Cell.adhesion.molecules..CAMs...KEGG.",39,0.000798933090287833,0.0391477214241038,22,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Integrin.cell.surface.interactions..Reactome.",40,0.763813188456469,1,5,84,"Integrin.cell.surface.interactions..Reactome."
"Malaria..KEGG.",41,0.27889473674494,0.72903657848408,5,50,"Malaria..KEGG."
"Amoebiasis..KEGG.",42,0.046212011885789,0.330364613912336,14,106,"Amoebiasis..KEGG."
"Rheumatoid.arthritis..KEGG.",43,0.0755428159214253,0.370159798014984,11,86,"Rheumatoid.arthritis..KEGG."
"Leishmaniasis..KEGG.",44,0.0389611740231166,0.330364613912336,10,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",45,0.542475634792431,1,12,147,"Phagosome..KEGG."
"Tuberculosis..KEGG.",46,0.769493546066464,1,12,173,"Tuberculosis..KEGG."
"IL.5.up.reg..targets..Netpath.",47,0.552870162970638,1,10,125,"IL.5.up.reg..targets..Netpath."
"Gene.Expression..Reactome.",48,0.99885367127097,1,20,416,"Gene.Expression..Reactome."
"Metabolism.of.RNA..Reactome.",49,0.990553945303504,1,6,161,"Metabolism.of.RNA..Reactome."
