"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Lysine.degradation..KEGG.",1,0.00308441400560983,0.0107954490196344,2,49,"Lysine.degradation..KEGG."
"ABC.transporters..KEGG.",2,0.00212011790076198,0.00848047160304793,2,43,"ABC.transporters..KEGG."
"Prion.diseases..KEGG.",3,0.00116388120227454,0.00711931800629496,2,35,"Prion.diseases..KEGG."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",4,0.00152556814420606,0.00711931800629496,1,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",5,0.00349119542868003,0.0108614968892268,1,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",6,4.52456805355714e-05,0.001266879054996,5,108,"Signaling.by.Insulin.receptor..Reactome."
"X.ESR1.24...Static.Module.",7,0.00886260405928668,0.0225593557872752,1,24,"X.ESR1.24...Static.Module."
"X.SPTAN1.10...Static.Module.",8,0.00152556814420606,0.00711931800629496,1,10,"X.SPTAN1.10...Static.Module."
"IL.3.down.reg..targets..Netpath.",9,1,1,0,10,"IL.3.down.reg..targets..Netpath."
"TGF.beta.receptor.down.reg..targets..Netpath.",10,0.00011965369519617,0.00167515173274638,13,735,"TGF.beta.receptor.down.reg..targets..Netpath."
"IL.4.down.reg..targets..Netpath.",11,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",12,0.0101121100698696,0.0235949234963623,2,75,"IL.6.up.reg..targets..Netpath."
"Leishmaniasis..KEGG.",13,0.0634280090129272,0.104469661903645,1,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",14,0.217306488975784,0.304229084566097,1,147,"Phagosome..KEGG."
"Leukocyte.transendothelial.migration..KEGG.",15,0.145137782289699,0.213887258111136,1,113,"Leukocyte.transendothelial.migration..KEGG."
"Malaria..KEGG.",16,0.0355984199809143,0.0664503839643733,1,50,"Malaria..KEGG."
"X.GRB2.414...Static.Module.",17,0.0299601263357706,0.0599202526715413,5,393,"X.GRB2.414...Static.Module."
"IL.4.up.reg..targets..Netpath.",18,0.0400035661103873,0.0700062406931777,3,216,"IL.4.up.reg..targets..Netpath."
"B.Cell.Receptor.down.reg..targets..Netpath.",19,0.285339306503543,0.378414586508532,1,178,"B.Cell.Receptor.down.reg..targets..Netpath."
"IL.3.up.reg..targets..Netpath.",20,1,1,0,39,"IL.3.up.reg..targets..Netpath."
"Hemostasis..Reactome.",21,0.138162037216595,0.213887258111136,4,459,"Hemostasis..Reactome."
"Integrin.cell.surface.interactions..Reactome.",22,0.013731600191464,0.0295757542585378,2,84,"Integrin.cell.surface.interactions..Reactome."
"Type.II.interferon.signaling..IFNG...Wikipathways.",23,1,1,0,39,"Type.II.interferon.signaling..IFNG...Wikipathways."
"Signaling.in.Immune.system..Reactome.",24,0.297325746542418,0.378414586508532,3,464,"Signaling.in.Immune.system..Reactome."
"Allograft.rejection..KEGG.",25,0.00106872630934071,0.00711931800629496,2,34,"Allograft.rejection..KEGG."
"Cell.adhesion.molecules..CAMs...KEGG.",26,0.00717241269633642,0.020082755549742,3,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Osteoclast.differentiation..KEGG.",27,1,1,0,128,"Osteoclast.differentiation..KEGG."
"Chemokine.signaling.pathway..KEGG.",28,1,1,0,182,"Chemokine.signaling.pathway..KEGG."
