"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Lysine.degradation..KEGG.",1,1,1,0,49,"Lysine.degradation..KEGG."
"ABC.transporters..KEGG.",2,1,1,0,43,"ABC.transporters..KEGG."
"Prion.diseases..KEGG.",3,0.000105842617359208,0.00261166463583836,2,35,"Prion.diseases..KEGG."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",4,1,1,0,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",5,0.000696534012592654,0.00650098411753144,1,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",6,0.000186547473988455,0.00261166463583836,3,108,"Signaling.by.Insulin.receptor..Reactome."
"X.ESR1.24...Static.Module.",7,1,1,0,24,"X.ESR1.24...Static.Module."
"X.SPTAN1.10...Static.Module.",8,1,1,0,10,"X.SPTAN1.10...Static.Module."
"IL.3.down.reg..targets..Netpath.",9,1,1,0,10,"IL.3.down.reg..targets..Netpath."
"TGF.beta.receptor.down.reg..targets..Netpath.",10,0.00299126241598473,0.0167510695295145,6,735,"TGF.beta.receptor.down.reg..targets..Netpath."
"IL.4.down.reg..targets..Netpath.",11,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",12,1,1,0,75,"IL.6.up.reg..targets..Netpath."
"Leishmaniasis..KEGG.",13,1,1,0,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",14,1,1,0,147,"Phagosome..KEGG."
"Leukocyte.transendothelial.migration..KEGG.",15,1,1,0,113,"Leukocyte.transendothelial.migration..KEGG."
"Malaria..KEGG.",16,1,1,0,50,"Malaria..KEGG."
"X.GRB2.414...Static.Module.",17,0.276474406218083,0.860142597122924,1,393,"X.GRB2.414...Static.Module."
"IL.4.up.reg..targets..Netpath.",18,0.0191876824631905,0.0895425181615556,2,216,"IL.4.up.reg..targets..Netpath."
"B.Cell.Receptor.down.reg..targets..Netpath.",19,1,1,0,178,"B.Cell.Receptor.down.reg..targets..Netpath."
"IL.3.up.reg..targets..Netpath.",20,1,1,0,39,"IL.3.up.reg..targets..Netpath."
"Hemostasis..Reactome.",21,0.119700029556271,0.418950103446949,2,459,"Hemostasis..Reactome."
"Integrin.cell.surface.interactions..Reactome.",22,0.00140703107438308,0.00984921752068159,2,84,"Integrin.cell.surface.interactions..Reactome."
"Type.II.interferon.signaling..IFNG...Wikipathways.",23,1,1,0,39,"Type.II.interferon.signaling..IFNG...Wikipathways."
"Signaling.in.Immune.system..Reactome.",24,1,1,0,464,"Signaling.in.Immune.system..Reactome."
"Allograft.rejection..KEGG.",25,1,1,0,34,"Allograft.rejection..KEGG."
"Cell.adhesion.molecules..CAMs...KEGG.",26,0.0446557108505903,0.178622843402361,1,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Osteoclast.differentiation..KEGG.",27,1,1,0,128,"Osteoclast.differentiation..KEGG."
"Chemokine.signaling.pathway..KEGG.",28,1,1,0,182,"Chemokine.signaling.pathway..KEGG."
