"","meandiff"
"Glycolysis / Gluconeogenesis (KEGG)",0.0625
"Citrate cycle (TCA cycle) (KEGG)",0.375
"Pentose phosphate pathway (KEGG)",0.125
"Pentose and glucuronate interconversions (KEGG)",0.25
"Fructose and mannose metabolism (KEGG)",0.25
"Galactose metabolism (KEGG)",0.1875
"Ascorbate and aldarate metabolism (KEGG)",0.3125
"Fatty acid biosynthesis (KEGG)",0
"Fatty acid elongation in mitochondria (KEGG)",0.1875
"Fatty acid metabolism (KEGG)",0.4375
"Synthesis and degradation of ketone bodies (KEGG)",0.0625
"Steroid biosynthesis (KEGG)",0
"Primary bile acid biosynthesis (KEGG)",0
"Ubiquinone and other terpenoid-quinone biosynthesis (KEGG)",0.0625
"Steroid hormone biosynthesis (KEGG)",0.125
"Oxidative phosphorylation (KEGG)",0.625
"Purine metabolism (KEGG)",0
"Caffeine metabolism (KEGG)",0
"Pyrimidine metabolism (KEGG)",0
"Alanine, aspartate and glutamate metabolism (KEGG)",0.125
"Glycine, serine and threonine metabolism (KEGG)",0.125
"Cysteine and methionine metabolism (KEGG)",0.0625
"Valine, leucine and isoleucine degradation (KEGG)",0.4375
"Valine, leucine and isoleucine biosynthesis (KEGG)",0.125
"Lysine degradation (KEGG)",0.1875
"Arginine and proline metabolism (KEGG)",0
"Histidine metabolism (KEGG)",0.25
"Tyrosine metabolism (KEGG)",0.0625
"Phenylalanine metabolism (KEGG)",0
"Tryptophan metabolism (KEGG)",0
"beta-Alanine metabolism (KEGG)",0.25
"Taurine and hypotaurine metabolism (KEGG)",0
"Selenocompound metabolism (KEGG)",0.0625
"Cyanoamino acid metabolism (KEGG)",0
"Glutathione metabolism (KEGG)",0.0625
"Starch and sucrose metabolism (KEGG)",0.1875
"N-Glycan biosynthesis (KEGG)",0
"Other glycan degradation (KEGG)",0.0625
"Mucin type O-Glycan biosynthesis (KEGG)",0
"Other types of O-glycan biosynthesis (KEGG)",0
"Amino sugar and nucleotide sugar metabolism (KEGG)",0.0625
"Glycosaminoglycan degradation (KEGG)",0.25
"Glycosaminoglycan biosynthesis - chondroitin sulfate (KEGG)",0
"Glycosaminoglycan biosynthesis - keratan sulfate (KEGG)",0.1875
"Glycosaminoglycan biosynthesis - heparan sulfate (KEGG)",0.25
"Glycerolipid metabolism (KEGG)",0.0625
"Inositol phosphate metabolism (KEGG)",0.0625
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis (KEGG)",0.125
"Glycerophospholipid metabolism (KEGG)",0
"Ether lipid metabolism (KEGG)",0
"Arachidonic acid metabolism (KEGG)",0.125
"Linoleic acid metabolism (KEGG)",0.0625
"alpha-Linolenic acid metabolism (KEGG)",0.125
"Sphingolipid metabolism (KEGG)",0
"Glycosphingolipid biosynthesis - lacto and neolacto series (KEGG)",0.375
