Vitamin B12 Metabolism (Wikipathways),Matrix Metalloproteinases (Wikipathways),Irinotecan Pathway (Wikipathways),Complement and Coagulation Cascades (Wikipathways),Complement and coagulation cascades (KEGG),"{HSP90AA1,18} (Static Module)","Phase I, non P450 (Wikipathways)",Aflatoxin B1 metabolism (Wikipathways),cytochrome P450 (Wikipathways),Fructose and mannose metabolism (KEGG),Pentose and glucuronate interconversions (KEGG),Ascorbate and aldarate metabolism (KEGG),Blood Clotting Cascade (Wikipathways),Oxidative phosphorylation (Wikipathways),Type II diabetes mellitus (Wikipathways)
SERPINA3,BSG,APC,A2M,A2M,DKC1,ESD,CYP1A2,CYB5A,ALDOA,ALDH2,ALDH2,F2,ATP5A1,CACNA1A
ABCA1,MMP1,BCHE,SERPINC1,SERPINC1,HSP90AA1,LIPA,CYP2A13,CYP1A1,ALDOB,ALDH1B1,ALDH1B1,F5,ATP5B,MTOR
ALB,MMP2,CES1,BDKRB1,BDKRB1,NARS,PON1,CYP3A4,CYP1A2,ALDOC,ALDH3A2,ALDH9A1,F7,ATP5D,GK
APOA1,MMP3,ABCC2,SERPING1,BDKRB2,SGTA,PON2,EPHX1,CYP1B1,AKR1B1,AKR1B1,ALDH3A2,F8,ATP5E,IKBKB
APOB,MMP7,CYP3A4,C1QA,CFB,SON,PON3,GSTM1,CYP2A6,FBP1,GUSB,ALDH7A1,F9,ATP5F1,INS
APOE,MMP8,CYP3A5,C1QB,SERPING1,TERT,CES2,GSTT1,CYP2A7,GMDS,RPE,UGDH,F10,ATP5G1,INSR
CBS,MMP9,ABCC1,C1QC,C1QA,TTC3,CES5A,AKR7A2,CYP3A7,HK1,UGDH,UGT2B4,F11,ATP5G2,PDX1
SCARB1,MMP10,CES2,C1R,C1QB,UBE4A,,AKR7A3,CYP2A13,HK2,UGP2,UGT2B7,F12,ATP5G3,IRS1
CRP,MMP11,ABCG2,C1S,C1QC,SMG7,,LOC284890,CYP2B6,HK3,UGT2B4,UGT2B10,F13B,ATP5I,KCNJ11
CTH,MMP12,UGT1A10,C2,C1R,TRAP1,,,CYP2C19,KHK,UGT2B7,UGT2B15,FGA,ATP5J,PRKCD
F2,MMP13,UGT1A6,C3,C1S,AHSA1,,,CYP2C8,MPI,UGT2B10,UGT2B17,FGB,ATP6AP1,PRKCZ
F7,MMP14,UGT1A9,C3AR1,C2,PTGES3,,,CYP2C9,PFKFB1,UGT2B15,RGN,FGG,ATP5O,MAPK1
GIF,MMP15,UGT1A1,C5AR1,C3,TOMM34,,,CYP2C18,PFKFB2,UGT2B17,UGT2B11,KLK1,ATP6,MAPK8
HBA1,MMP16,,C6,C3AR1,CDC37,,,CYP2D6,PFKFB3,KL,UGT2A1,KLKB1,ND1,SLC2A2
HBA2,MMP17,,C7,C4A,SMG6,,,CYP2E1,PFKFB4,XYLB,UGT2B28,SERPINE1,ND2,SLC2A4
HBB,MMP19,,C8G,C4B,SMG5,,,CYP2F1,PFKL,UGT2B11,UGT1A10,SERPINB2,ND3,SURF1
ICAM1,TCF20,,C9,C4BPA,PIF1,,,CYP2J2,PFKM,UGT2A1,UGT1A8,PLAT,ND4,TNF
IFNG,TIMP1,,CPB2,C4BPB,RGPD5,,,CYP3A4,PFKP,DHDH,UGT1A7,PLAU,ND4L,ADIPOQ
IL1B,TIMP2,,CR1,C5,,,,CYP3A5,PMM1,CRYL1,UGT1A6,PLG,ND5,PIK3R5
IL6,TIMP3,,CR2,C5AR1,,,,CYP4A11,PMM2,DCXR,UGT1A5,SERPINF2,ND6,SOCS4
INS,TIMP4,,F2,C6,,,,CYP4B1,SORD,UGT2B28,UGT1A9,VWF,NDUFA2,MAFA
