"","meandiff"
"Glycolysis / Gluconeogenesis (KEGG)",0
"Citrate cycle (TCA cycle) (KEGG)",0
"Pentose phosphate pathway (KEGG)",0
"Pentose and glucuronate interconversions (KEGG)",0.285714285714286
"Fructose and mannose metabolism (KEGG)",0.285714285714286
"Galactose metabolism (KEGG)",0.285714285714286
"Ascorbate and aldarate metabolism (KEGG)",0
"Fatty acid biosynthesis (KEGG)",0.476190476190476
"Fatty acid elongation in mitochondria (KEGG)",0
"Fatty acid metabolism (KEGG)",0.0952380952380952
"Synthesis and degradation of ketone bodies (KEGG)",0.0476190476190476
"Steroid biosynthesis (KEGG)",0.19047619047619
"Primary bile acid biosynthesis (KEGG)",0
"Ubiquinone and other terpenoid-quinone biosynthesis (KEGG)",0.571428571428571
"Steroid hormone biosynthesis (KEGG)",0.380952380952381
"Oxidative phosphorylation (KEGG)",0
"Purine metabolism (KEGG)",0
"Caffeine metabolism (KEGG)",0.285714285714286
"Pyrimidine metabolism (KEGG)",0
"Alanine, aspartate and glutamate metabolism (KEGG)",0.571428571428571
"Glycine, serine and threonine metabolism (KEGG)",0.285714285714286
"Cysteine and methionine metabolism (KEGG)",0
"Valine, leucine and isoleucine degradation (KEGG)",0
"Valine, leucine and isoleucine biosynthesis (KEGG)",0.0476190476190477
"Lysine degradation (KEGG)",0.19047619047619
"Arginine and proline metabolism (KEGG)",0.0476190476190476
"Histidine metabolism (KEGG)",0.0476190476190476
"Tyrosine metabolism (KEGG)",0.0476190476190477
"Phenylalanine metabolism (KEGG)",0.428571428571429
"Tryptophan metabolism (KEGG)",0.428571428571429
"beta-Alanine metabolism (KEGG)",0.571428571428571
"Taurine and hypotaurine metabolism (KEGG)",0
"Selenocompound metabolism (KEGG)",0.0952380952380952
"Cyanoamino acid metabolism (KEGG)",0.142857142857143
"Glutathione metabolism (KEGG)",0
"Starch and sucrose metabolism (KEGG)",0.238095238095238
"N-Glycan biosynthesis (KEGG)",0
"Other glycan degradation (KEGG)",0
"Mucin type O-Glycan biosynthesis (KEGG)",0.0952380952380952
"Other types of O-glycan biosynthesis (KEGG)",0.523809523809524
"Amino sugar and nucleotide sugar metabolism (KEGG)",0
"Glycosaminoglycan degradation (KEGG)",0
"Glycosaminoglycan biosynthesis - chondroitin sulfate (KEGG)",0
"Glycosaminoglycan biosynthesis - keratan sulfate (KEGG)",0
"Glycosaminoglycan biosynthesis - heparan sulfate (KEGG)",0
"Glycerolipid metabolism (KEGG)",0
"Inositol phosphate metabolism (KEGG)",0.571428571428571
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis (KEGG)",0.142857142857143
"Glycerophospholipid metabolism (KEGG)",0.285714285714286
"Ether lipid metabolism (KEGG)",0
"Arachidonic acid metabolism (KEGG)",0.285714285714286
"Linoleic acid metabolism (KEGG)",0
"alpha-Linolenic acid metabolism (KEGG)",0.238095238095238
"Sphingolipid metabolism (KEGG)",0.285714285714286
"Glycosphingolipid biosynthesis - lacto and neolacto series (KEGG)",0.476190476190476
"Glycosphingolipid biosynthesis - globo series (KEGG)",0.333333333333333
"Glycosphingolipid biosynthesis - ganglio series (KEGG)",0.142857142857143
"Pyruvate metabolism (KEGG)",0.0952380952380952
"Glyoxylate and dicarboxylate metabolism (KEGG)",0.142857142857143
"Propanoate metabolism (KEGG)",0
"Butanoate metabolism (KEGG)",0.333333333333333
"One carbon pool by folate (KEGG)",0.142857142857143
"Riboflavin metabolism (KEGG)",0.19047619047619
"Vitamin B6 metabolism (KEGG)",0.142857142857143
"Nicotinate and nicotinamide metabolism (KEGG)",0.0476190476190476
"Pantothenate and CoA biosynthesis (KEGG)",0.19047619047619
"Folate biosynthesis (KEGG)",0
"Retinol metabolism (KEGG)",0.380952380952381
"Porphyrin and chlorophyll metabolism (KEGG)",0
"Terpenoid backbone biosynthesis (KEGG)",0
"Nitrogen metabolism (KEGG)",0.238095238095238
"Sulfur metabolism (KEGG)",0.333333333333333
"Aminoacyl-tRNA biosynthesis (KEGG)",0
"Metabolism of xenobiotics by cytochrome P450 (KEGG)",0.142857142857143
"Drug metabolism - cytochrome P450 (KEGG)",0.285714285714286
"Drug metabolism - other enzymes (KEGG)",0.285714285714286
"Biosynthesis of unsaturated fatty acids (KEGG)",0.238095238095238
"Metabolic pathways (KEGG)",0
"ABC transporters (KEGG)",0.285714285714286
"Ribosome biogenesis in eukaryotes (KEGG)",0
"Ribosome (KEGG)",0
"RNA transport (KEGG)",0
"mRNA surveillance pathway (KEGG)",0
"RNA degradation (KEGG)",0
"RNA polymerase (KEGG)",0
"Basal transcription factors (KEGG)",0
"DNA replication (KEGG)",0
"Spliceosome (KEGG)",0
"Proteasome (KEGG)",0
"Protein export (KEGG)",0
"PPAR signaling pathway (KEGG)",0.142857142857143
"Base excision repair (KEGG)",0
"Nucleotide excision repair (KEGG)",0
"Mismatch repair (KEGG)",0
"Homologous recombination (KEGG)",0.0952380952380952
"Non-homologous end-joining (KEGG)",0
"MAPK signaling pathway (KEGG)",0
"ErbB signaling pathway (KEGG)",0.380952380952381
"Calcium signaling pathway (KEGG)",0
"Cytokine-cytokine receptor interaction (KEGG)",0.142857142857143
"Chemokine signaling pathway (KEGG)",0
"Phosphatidylinositol signaling system (KEGG)",0
"Neuroactive ligand-receptor interaction (KEGG)",0
"Cell cycle (KEGG)",0
"Oocyte meiosis (KEGG)",0
"p53 signaling pathway (KEGG)",0
"Ubiquitin mediated proteolysis (KEGG)",0
"Sulfur relay system (KEGG)",0.19047619047619
"SNARE interactions in vesicular transport (KEGG)",0
"Regulation of autophagy (KEGG)",0
"Protein processing in endoplasmic reticulum (KEGG)",0
"Lysosome (KEGG)",0
"Endocytosis (KEGG)",0
"Phagosome (KEGG)",0
"Peroxisome (KEGG)",0
"mTOR signaling pathway (KEGG)",0
"Apoptosis (KEGG)",0
"Cardiac muscle contraction (KEGG)",0
"Vascular smooth muscle contraction (KEGG)",0
"Wnt signaling pathway (KEGG)",0.19047619047619
"Dorso-ventral axis formation (KEGG)",0.238095238095238
"Notch signaling pathway (KEGG)",0
"Hedgehog signaling pathway (KEGG)",0.333333333333333
"TGF-beta signaling pathway (KEGG)",0
"Axon guidance (KEGG)",0
"VEGF signaling pathway (KEGG)",0
"Osteoclast differentiation (KEGG)",0
"Focal adhesion (KEGG)",0
"ECM-receptor interaction (KEGG)",0
"Cell adhesion molecules (CAMs) (KEGG)",0
"Adherens junction (KEGG)",0.523809523809524
"Tight junction (KEGG)",0
"Gap junction (KEGG)",0.285714285714286
"Complement and coagulation cascades (KEGG)",0.238095238095238
"Antigen processing and presentation (KEGG)",0
"Renin-angiotensin system (KEGG)",0.285714285714286
"Toll-like receptor signaling pathway (KEGG)",0
"NOD-like receptor signaling pathway (KEGG)",0.285714285714286
"RIG-I-like receptor signaling pathway (KEGG)",0.142857142857143
"Cytosolic DNA-sensing pathway (KEGG)",0.0952380952380952
"Jak-STAT signaling pathway (KEGG)",0.142857142857143
"Hematopoietic cell lineage (KEGG)",0
"Natural killer cell mediated cytotoxicity (KEGG)",0
"T cell receptor signaling pathway (KEGG)",0
"B cell receptor signaling pathway (KEGG)",0
"Fc epsilon RI signaling pathway (KEGG)",0
"Fc gamma R-mediated phagocytosis (KEGG)",0
"Leukocyte transendothelial migration (KEGG)",0.428571428571429
"Intestinal immune network for IgA production (KEGG)",0
"Circadian rhythm - mammal (KEGG)",0
"Long-term potentiation (KEGG)",0.285714285714286
"Neurotrophin signaling pathway (KEGG)",0
"Glutamatergic synapse (KEGG)",0
"Long-term depression (KEGG)",0
"Olfactory transduction (KEGG)",0
"Taste transduction (KEGG)",0
"Phototransduction (KEGG)",0.19047619047619
"Regulation of actin cytoskeleton (KEGG)",0
"Insulin signaling pathway (KEGG)",0
"GnRH signaling pathway (KEGG)",0.142857142857143
"Progesterone-mediated oocyte maturation (KEGG)",0
"Melanogenesis (KEGG)",0
"Adipocytokine signaling pathway (KEGG)",0
"Type II diabetes mellitus (KEGG)",0.142857142857143
"Type I diabetes mellitus (KEGG)",0
"Maturity onset diabetes of the young (KEGG)",0.142857142857143
"Aldosterone-regulated sodium reabsorption (KEGG)",0.0476190476190477
"Endocrine and other factor-regulated calcium reabsorption (KEGG)",0.0476190476190476
"Vasopressin-regulated water reabsorption (KEGG)",0
"Proximal tubule bicarbonate reclamation (KEGG)",0
"Collecting duct acid secretion (KEGG)",0.0952380952380952
"Salivary secretion (KEGG)",0.142857142857143
"Gastric acid secretion (KEGG)",0.0952380952380952
"Pancreatic secretion (KEGG)",0.142857142857143
"Carbohydrate digestion and absorption (KEGG)",0
"Protein digestion and absorption (KEGG)",0
"Fat digestion and absorption (KEGG)",0.142857142857143
"Bile secretion (KEGG)",0.142857142857143
"Vitamin digestion and absorption (KEGG)",0.0952380952380952
"Mineral absorption (KEGG)",0
"Alzheimer's disease (KEGG)",0
"Parkinson's disease (KEGG)",0
"Amyotrophic lateral sclerosis (ALS) (KEGG)",0.380952380952381
"Huntington's disease (KEGG)",0
"Prion diseases (KEGG)",0.285714285714286
"Bacterial invasion of epithelial cells (KEGG)",0
"Vibrio cholerae infection (KEGG)",0
"Epithelial cell signaling in Helicobacter pylori infection (KEGG)",0.19047619047619
"Pathogenic Escherichia coli infection (KEGG)",0
"Shigellosis (KEGG)",0
"Leishmaniasis (KEGG)",0
"Chagas disease (American trypanosomiasis) (KEGG)",0.142857142857143
"African trypanosomiasis (KEGG)",0
"Malaria (KEGG)",0
"Toxoplasmosis (KEGG)",0.285714285714286
"Amoebiasis (KEGG)",0
"Staphylococcus aureus infection (KEGG)",0
"Tuberculosis (KEGG)",0
"Hepatitis C (KEGG)",0
"Measles (KEGG)",0
"Influenza A (KEGG)",0.142857142857143
"Pathways in cancer (KEGG)",0.428571428571429
"Colorectal cancer (KEGG)",0
"Renal cell carcinoma (KEGG)",0
"Pancreatic cancer (KEGG)",0
"Endometrial cancer (KEGG)",0
"Glioma (KEGG)",0.0476190476190476
"Prostate cancer (KEGG)",0
"Thyroid cancer (KEGG)",0
"Basal cell carcinoma (KEGG)",0.0952380952380952
"Melanoma (KEGG)",0
"Bladder cancer (KEGG)",0
"Chronic myeloid leukemia (KEGG)",0
"Acute myeloid leukemia (KEGG)",0
"Small cell lung cancer (KEGG)",0
"Non-small cell lung cancer (KEGG)",0
"Asthma (KEGG)",0
"Autoimmune thyroid disease (KEGG)",0
"Systemic lupus erythematosus (KEGG)",0
"Rheumatoid arthritis (KEGG)",0
"Allograft rejection (KEGG)",0
"Graft-versus-host disease (KEGG)",0
"Primary immunodeficiency (KEGG)",0
"Hypertrophic cardiomyopathy (HCM) (KEGG)",0.19047619047619
"Arrhythmogenic right ventricular cardiomyopathy (ARVC) (KEGG)",0
"Dilated cardiomyopathy (KEGG)",0.142857142857143
"Viral myocarditis (KEGG)",0
"Glutathione metabolism (Wikipathways)",0.333333333333333
"Alanine and aspartate metabolism (Wikipathways)",0.714285714285714
"Translation Factors (Wikipathways)",0
"Electron Transport Chain (Wikipathways)",0
"GPCRs, Other (Wikipathways)",0
"Osteoclast Signaling (Wikipathways)",0.428571428571429
"IL-5 Signaling Pathway (Wikipathways)",0
"Matrix Metalloproteinases (Wikipathways)",0.238095238095238
"Pentose Phosphate Pathway (Wikipathways)",0
"Phase I, non P450 (Wikipathways)",0.142857142857143
"Androgen Receptor Signaling Pathway (Wikipathways)",0
"AMPK signaling (Wikipathways)",0.19047619047619
"Sphingolipid Metabolism (Wikipathways)",0.285714285714286
"Ganglio Sphingolipid Metabolism (Wikipathways)",0.19047619047619
"Globo Sphingolipid Metabolism (Wikipathways)",0.0476190476190477
"BMP signalling and regulation (Wikipathways)",0
"Fatty Acid Beta Oxidation (Wikipathways)",0
"NOD pathway (Wikipathways)",0
"Osteopontin Signaling (Wikipathways)",0.380952380952381
"Regulation of toll-like receptor signaling pathway (Wikipathways)",0
"Serotonin Transporter Activity (Wikipathways)",0.142857142857143
"TOR signaling (Wikipathways)",0
"Selenium Pathway (Wikipathways)",0
"Physiological and Pathological Hypertrophy  of the Heart (Wikipathways)",0.0952380952380952
"miRNA regulation of DNA Damage Response (Wikipathways)",0
"Vitamin D synthesis (Wikipathways)",0.333333333333333
"Vitamin B12 Metabolism (Wikipathways)",0.380952380952381
"Angiogenesis (Wikipathways)",0
"Energy Metabolism (Wikipathways)",0
"MicroRNAs in cardiomyocyte hypertrophy (Wikipathways)",0
"miRNAs involved in DDR (Wikipathways)",0
"Proteins and DNA Sequences in Cardicac Structures (Wikipathways)",0.428571428571429
"TFs Regulate miRNAs related to cardiac hypertrophy (Wikipathways)",0
"Type II diabetes mellitus (Wikipathways)",0
"Heart Development (Wikipathways)",0.428571428571429
"Nicotine metabolism (Wikipathways)",0
"Fluoropyrimidine Activity (Wikipathways)",0
"Nicotine Activity on Dopaminergic Neurons (Wikipathways)",0
"Codeine and morphine metabolism (Wikipathways)",0.142857142857143
"Eicosanoid Synthesis (Wikipathways)",0
"Nuclear Receptors (Wikipathways)",0.571428571428571
"Th1/Th2 (Wikipathways)",0.476190476190476
"TP53 network (Wikipathways)",0
"Folate Metabolism (Wikipathways)",0
"Apoptosis Modulation and Signaling (Wikipathways)",0
"Cell cycle (Wikipathways)",0
"Proteasome Degradation (Wikipathways)",0
"Integrin-mediated cell adhesion (Wikipathways)",0
"Homologous recombination (Wikipathways)",0
"IL-1 Signaling Pathway (Wikipathways)",0
"Cholesterol Biosynthesis (Wikipathways)",0.380952380952381
"GP-VI signaling (Wikipathways)",0.0952380952380952
"Integrated Cancer pathway (Wikipathways)",0
"SREBP signalling (Wikipathways)",0
"Integrated Breast Cancer Pathway (Wikipathways)",0
"IL-7 Signaling Pathway (Wikipathways)",0
"Fatty Acid Omega Oxidation (Wikipathways)",0.285714285714286
"IL-9 Signaling Pathway (Wikipathways)",0
"Irinotecan Pathway (Wikipathways)",0.142857142857143
"B Cell Receptor Signaling Pathway (Wikipathways)",0
"TNF-alpha/NF-kB Signaling Pathway (Wikipathways)",0
"Adipogenesis (Wikipathways)",0.0476190476190476
"Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",0.0476190476190476
"Peptide GPCRs (Wikipathways)",0.0952380952380952
"One Carbon Metabolism (Wikipathways)",0
"Alpha6-Beta4 Integrin Signaling Pathway (Wikipathways)",0
"Small Ligand GPCRs (Wikipathways)",0.428571428571429
"Apoptosis (Wikipathways)",0
"Signal Transduction of S1P Receptor (Wikipathways)",0.142857142857143
"EBV LMP1 signaling (Wikipathways)",0
"Notch Signaling Pathway (Wikipathways)",0
"Blood Clotting Cascade (Wikipathways)",0.333333333333333
"Selenium Metabolism and Selenoproteins (Wikipathways)",0
"IL-3 Signaling Pathway (Wikipathways)",0
"NLR proteins (Wikipathways)",0.333333333333333
"Myometrial Relaxation and Contraction Pathways (Wikipathways)",0
"Nuclear receptors in lipid metabolism and toxicity (Wikipathways)",0.0476190476190476
"Keap1-Nrf2 Pathway (Wikipathways)",0
"Kit Receptor Signaling Pathway (Wikipathways)",0
"Focal Adhesion (Wikipathways)",0
"Signaling of Hepatocyte Growth Factor Receptor (Wikipathways)",0
"FAS pathway and Stress induction of HSP regulation (Wikipathways)",0
"Osteoblast Signaling (Wikipathways)",0.285714285714286
"Triacylglyceride Synthesis (Wikipathways)",0
"GPCRs, Class B Secretin-like (Wikipathways)",0
"Ovarian Infertility Genes (Wikipathways)",0.428571428571429
"G Protein Signaling Pathways (Wikipathways)",0.142857142857143
"Fatty Acid Biosynthesis (Wikipathways)",0
"Wnt Signaling Pathway NetPath (Wikipathways)",0.142857142857143
"IL-6 Signaling Pathway (Wikipathways)",0
"TGF-beta Receptor Signaling Pathway (Wikipathways)",0
"Mitochondrial LC-Fatty Acid Beta-Oxidation (Wikipathways)",0
"MAPK signaling pathway (Wikipathways)",0
"Striated Muscle Contraction (Wikipathways)",0.19047619047619
"Apoptosis Modulation by HSP70 (Wikipathways)",0
"Mitochondrial Gene Expression (Wikipathways)",0
"IL-4 signaling Pathway (Wikipathways)",0
"Wnt Signaling Pathway and Pluripotency (Wikipathways)",0
"Sandbox Pathway (Wikipathways)",0.238095238095238
"p38 MAPK Signaling Pathway (Wikipathways)",0
"Nucleotide Metabolism (Wikipathways)",0
"Eukaryotic Transcription Initiation (Wikipathways)",0
"Oxidative Stress (Wikipathways)",0
"Diurnally regulated genes with circadian orthologs (Wikipathways)",0
"mRNA processing (Wikipathways)",0
"MAPK Cascade (Wikipathways)",0.333333333333333
"Wnt Signaling Pathway (Wikipathways)",0.142857142857143
"cytochrome P450 (Wikipathways)",0
"Statin Pathway (Wikipathways)",0.142857142857143
"EGFR1 Signaling Pathway (Wikipathways)",0
"Non-homologous end joining (Wikipathways)",0
"G1 to S cell cycle control (Wikipathways)",0
"Inflammatory Response Pathway (Wikipathways)",0
"GPCRs, Class A Rhodopsin-like (Wikipathways)",0
"Tryptophan metabolism (Wikipathways)",0.285714285714286
"DNA Replication (Wikipathways)",0
"Hedgehog Signaling Pathway (Wikipathways)",0.428571428571429
"Endochondral Ossification (Wikipathways)",0
"Cytoplasmic Ribosomal Proteins (Wikipathways)",0
"Insulin Signaling (Wikipathways)",0
"IL-2 Signaling Pathway (Wikipathways)",0
"Steroid Biosynthesis (Wikipathways)",0.142857142857143
