"","x"
"1","ENSG00000253352"
"2","ENSG00000119950"
"3","ENSG00000140264"
"4","ENSG00000171365"
"5","ENSG00000153207"
"6","ENSG00000138698"
"7","ENSG00000159176"
"8","ENSG00000010322"
"9","ENSG00000135842"
"10","ENSG00000152952"
"11","ENSG00000172936"
"12","ENSG00000113140"
"13","ENSG00000081665"
"14","ENSG00000101439"
"15","ENSG00000126214"
"16","ENSG00000153037"
"17","ENSG00000255529"
"18","ENSG00000156298"
"19","ENSG00000125977"
"20","ENSG00000119684"
"21","ENSG00000165629"
"22","ENSG00000132718"
"23","ENSG00000197746"
"24","ENSG00000101384"
"25","ENSG00000169855"
"26","ENSG00000182158"
"27","ENSG00000168028"
"28","ENSG00000198947"
"29","ENSG00000070756"
"30","ENSG00000168610"
"31","ENSG00000109670"
"32","ENSG00000017260"
"33","ENSG00000106236"
"34","ENSG00000182492"
"35","ENSG00000117394"
"36","ENSG00000170876"
"37","ENSG00000178695"
"38","ENSG00000114857"
"39","ENSG00000175215"
"40","ENSG00000197771"
"41","ENSG00000072110"
"42","ENSG00000102898"
"43","ENSG00000187498"
"44","ENSG00000197958"
"45","ENSG00000244734"
"46","ENSG00000140937"
"47","ENSG00000185651"
"48","ENSG00000171634"
"49","ENSG00000184304"
"50","ENSG00000180957"
"51","ENSG00000103415"
"52","ENSG00000145592"
"53","ENSG00000149187"
"54","ENSG00000105373"
"55","ENSG00000131626"
"56","ENSG00000100632"
"57","ENSG00000167770"
"58","ENSG00000120860"
"59","ENSG00000113575"
"60","ENSG00000120948"
"61","ENSG00000144366"
"62","ENSG00000021300"
"63","ENSG00000163636"
"64","ENSG00000142864"
"65","ENSG00000113407"
"66","ENSG00000105254"
"67","ENSG00000183207"
"68","ENSG00000074201"
"69","ENSG00000116754"
"70","ENSG00000106484"
"71","ENSG00000111801"
"72","ENSG00000169908"
"73","ENSG00000138758"
"74","ENSG00000117632"
"75","ENSG00000136758"
"76","ENSG00000102897"
"77","ENSG00000196821"
"78","ENSG00000151366"
"79","ENSG00000108654"
"80","ENSG00000119596"
"81","ENSG00000168036"
"82","ENSG00000139921"
"83","ENSG00000117360"
"84","ENSG00000133935"
"85","ENSG00000005194"
"86","ENSG00000164828"
"87","ENSG00000071073"
"88","ENSG00000125462"
"89","ENSG00000168653"
"90","ENSG00000196628"
"91","ENSG00000105323"
"92","ENSG00000072121"
"93","ENSG00000128016"
"94","ENSG00000039123"
"95","ENSG00000025800"
"96","ENSG00000011465"
"97","ENSG00000130177"
"98","ENSG00000177600"
"99","ENSG00000166848"
"100","ENSG00000184226"
"101","ENSG00000139343"
"102","ENSG00000159352"
"103","ENSG00000163468"
"104","ENSG00000072210"
"105","ENSG00000105711"
"106","ENSG00000115524"
"107","ENSG00000115594"
"108","ENSG00000112893"
"109","ENSG00000091409"
"110","ENSG00000051825"
"111","ENSG00000123349"
"112","ENSG00000104695"
"113","ENSG00000143162"
"114","ENSG00000061987"
"115","ENSG00000182899"
"116","ENSG00000136504"
"117","ENSG00000132549"
"118","ENSG00000174446"
"119","ENSG00000141279"
"120","ENSG00000177853"
"121","ENSG00000166147"
"122","ENSG00000125633"
"123","ENSG00000166233"
"124","ENSG00000214413"
"125","ENSG00000163629"
"126","ENSG00000141542"
"127","ENSG00000119689"
"128","ENSG00000143442"
"129","ENSG00000115685"
"130","ENSG00000115539"
"131","ENSG00000146729"
"132","ENSG00000160991"
"133","ENSG00000015171"
"134","ENSG00000166902"
"135","ENSG00000135046"
"136","ENSG00000239789"
"137","ENSG00000184575"
"138","ENSG00000181789"
"139","ENSG00000099995"
"140","ENSG00000152102"
"141","ENSG00000132466"
"142","ENSG00000096746"
"143","ENSG00000183978"
"144","ENSG00000157216"
"145","ENSG00000147050"
"146","ENSG00000069122"
"147","ENSG00000087502"
"148","ENSG00000131788"
"149","ENSG00000099814"
"150","ENSG00000196531"
"151","ENSG00000114125"
"152","ENSG00000159140"
"153","ENSG00000136444"
"154","ENSG00000124172"
"155","ENSG00000070269"
"156","ENSG00000096384"
"157","ENSG00000111727"
"158","ENSG00000088833"
"159","ENSG00000172466"
"160","ENSG00000175756"
"161","ENSG00000197021"
"162","ENSG00000055208"
"163","ENSG00000165502"
"164","ENSG00000149311"
