Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ATP binding (GO:0005524)	222/1494	0.00000000000000000022359889279876120565647247728933838722097396112739055816509559093674397445283830165863037109375	0.00000000000000020302779466127517743237893152084944987501347632256887276724910407210700213909149169921875	0.000000000775213957683742202356034787570117361443777781460084952414035797119140625	0.0000007038942735768379346285306130681647118763066828250885009765625	-2.3997068620866004	86.70906107573914	EPHB6;CLPB;ARAF;ABCA12;SMC4;SMC2;TBK1;KDR;LONP1;PRKACB;EPHB1;ACVR1;DDX17;MCCC2;PRKCI;RECQL;CLPX;BCR;DYNC1LI1;DDX39A;BTK;PRKD2;EPHA3;EPHA2;NLRX1;SRCAP;PRKDC;PRKCZ;ATP5B;HSPH1;PLK1;PTK6;BRAF;EIF2AK4;CDC6;SMARCA1;CCT6A;ICK;MOV10;GLUD1;WNK2;MYO5C;ATM;ALDH18A1;CDK13;FARSB;ACVRL1;RET;ITK;TOP2B;OLA1;KIF11;GUK1;GSG2;RARS;DHX15;CCT3;HELLS;CCT2;RIPK3;STRADB;NME2;TYK2;ITPKB;BBS10;BBS12;TCP1;KIT;KIFC3;SGK1;GART;ATP5A1;RECQL4;RECQL5;CKB;CCT8;CCT7;MAP4K5;PMS1;MAP4K3;PAK4;CCT4;MAP3K1;CKM;CSNK1A1;GSS;ATAD2;MYO9B;MLH1;MYO9A;PSMC6;PSMC3;NMNAT1;PSMC4;MARS;PSMC1;PSMC2;TRIP13;NEK11;UBE2D3;TTF2;UBE2Z;IGF1R;ACTG1;THG1L;NARS;PPIP5K1;KIF5B;KIF5A;RUVBL1;PIM1;MAP3K8;STK32C;PDGFRB;MAGI1;PDGFRA;ABCG5;SWAP70;MAGI3;TAP2;SARS;MSH6;ACLY;MSH2;MSH3;TNIK;SNRNP200;ABCG4;ABCG1;CSF1R;AK1;STK39;TARS;NTPCR;AK8;HSP90B1;IRAK1;ORC1;KIF3A;GRK6;EP400;ABL2;MYH11;NEK9;HSPA5;TNK2;HSPA6;ASNS;HELZ;UBE2A;CDK9;CLK1;UBE2W;CDK7;FER;UBE2S;FES;UBE2U;BMPR1B;BMPR1A;ALK;GSK3A;FLT3;CHD8;FLT4;LRRK1;DDX42;CHD4;PIK3CB;CHTF18;PIK3CG;PIK3C2B;MYO18A;SCYL2;ACTR3;ACTR2;RFC4;CHUK;RFC2;CAD;DDX56;HUNK;DARS2;CTPS1;OXSR1;ACTR8;SMC1A;DDX19B;PIK3CA;PEAK1;ATP6V1B2;BMP2K;MCM3;MET;MCM2;CAMK2D;MVK;DDX24;DDX23;DDX20;ERBB4;CSK;PRPS1L1;NTRK1;CDK11A;IDH3G;LIMK1;KIAA0232;MERTK;ASS1;MAPK12;ACVR2A;CLCN5;RAD50;TEC;ACTC1;NAGK;ERCC3;DNAJA3;DNAJA2;ABCE1;PFKM
ligase activity (GO:0016874)	87/431	0.0000000000000018751444375505158182372758036704781290805580697134136158865658217109739780426025390625	0.00000000000085131557464793420199010675061270401130751606100233175311586819589138031005859375	0.00000000272063569808238409888031619798288984757306252504349686205387115478515625	0.000001235168606929402336223910476020737547742101014591753482818603515625	-2.4237504640398466	67.36085715931358	LRSAM1;UBE3C;RNF14;UBE2D3;CBLC;TNFAIP3;UBE2Z;NARS;TRIM8;UFL1;RNF114;RARS;TRIM2;TRIM24;TRIM69;TRIM21;RNF152;UNKL;LRRC47;MCCC2;PIAS3;TRIM63;RING1;DTX3L;CAD;ATG10;MSL2;SARS;DARS2;CTPS1;PJA2;ATG12;PJA1;RNF41;TRAIP;PIAS1;RNF144A;ACLY;RNF123;RNF144B;RNF167;RNF125;TRIM17;GART;UHRF2;PELI2;MYCBP2;DTX1;XIAP;TARS;DTX3;RNF4;ZNRF1;UBR7;ZNF227;RNF130;ATG7;ADSS;BARD1;BRAP;SMURF2;SMURF1;GSS;IRF2BP1;HUWE1;SYVN1;WWP1;ASNS;UBE2A;MARCH5;ASS1;MIB1;MARCH3;UBE2W;RNF103;TRIM39;UBE2S;MARS;RFWD3;UBE2U;MKRN1;MKRN3;TRIP12;TRIM31;RNF185;DZIP3;FARSB
chromatin binding (GO:0003682)	84/420	0.000000000000010060743879740313652449064786476210166360728374967958842489679227583110332489013671875	0.0000000000030450518142680679352048179561765237446414877897638007198111154139041900634765625	0.000000007470872984309780469101730277121931056427683870424516499042510986328125	0.00000226118422325109370089857817320844191044670878909528255462646484375	-2.446515052273973	64.87547072441977	TOP2B;CCNT1;KDM1A;CHD4;CTCF;RBPJ;GLI3;ING5;HMGN4;ING2;CHAF1B;SALL1;NUP62;TRIM24;HIST1H1E;POLE;HIST1H1A;HIST1H1B;MYOG;BRD3;HELLS;RING1;H2AFY;H2AFZ;EED;DNMT3A;ACTL6A;HDGFRP2;SMC1A;TERF2;MSH6;AR;ZEB1;KAT6A;RARA;TFAM;ADNP;AJUBA;L3MBTL1;DNMT1;URI1;KMT2A;LEF1;HOXD13;FOXO3;RNF4;CENPA;MNT;MTA1;ORC1;POLR2B;POLD1;EP400;APBB1;DMAP1;SF3B1;SKIL;MTA3;MBD3;TFAP2A;CBX7;STAT5B;CREBBP;H3F3C;CDC5L;HMGA2;CDC6;SMARCA1;FABP1;CDK9;SKI;H1F0;STAG1;POLR3A;H2AFY2;TTC5;APEX1;MKRN1;TCF3;HNRNPC;RCOR3;NEUROG1;RAN;TP73
zinc ion binding (GO:0008270)	172/1256	0.000000000006006173992252800391892749352217259245674541023873871381510980427265167236328125	0.00000000136340149624138572854153888332280619710701330404845066368579864501953125	0.000009131894859065123134134363269698297926879604347050189971923828125	0.00102897119743922105770950192749069174169562757015228271484375	-2.2830904172012425	46.60537116522192	GTF2B;CBLC;MT1X;TTF2;ZDHHC3;YY1;MT2A;RNF114;TRIM24;ATXN7L3;TRIM21;PIAS3;MORC3;PRKCI;USP5;ADAM10;LMO7;TRAIP;RNF41;PIAS1;RNF123;AR;RNF125;TRIM17;ADAM15;KAT6A;ADAM12;S100A6;MATR3;TRIM16;S100A9;AJUBA;SRSF7;SQSTM1;KPNB1;S100A7;ZCCHC8;L3MBTL1;KMT2D;DNMT1;KMT2A;TNKS;MYCBP2;DTX1;DTX3;AEBP1;PRKCZ;DPP3;ZMAT3;UBR7;MICAL1;VPS8;LONRF1;BARD1;BRAP;CREBBP;BRPF1;VDR;NR2F1;BFAR;NUP153;MARCH5;FBXO30;MARCH3;LIN28B;UBOX5;RNF103;RPS29;MKRN1;MKRN3;MDM4;TAB2;RNF185;DZIP3;ADA;ZCCHC12;KDM5B;ZCCHC11;LRSAM1;TRIM74;RNF14;PHF23;TNFAIP3;CHD4;TCF20;CTCF;USP39;EEA1;TRIM8;ING5;ING2;LASP1;TRIM6;ING3;ZMYM3;CSRP1;TRIM2;TRIM69;CA9;RNF150;UNKL;POLE;RNF152;LMCD1;TRIM65;APOBEC1;TRIM63;USP49;RING1;DTX3L;CAD;MSL2;ARAP1;PJA2;PJA1;RNF144A;RNF144B;RNF167;ZEB1;POLR1A;ZNF638;RARA;TRIM54;TRIM55;RAPSN;RNF166;RNF165;USP13;SP100;UHRF2;ZNF195;AKAP8;XIAP;ZNF8;SAMHD1;RNF4;RECQL4;ZNRF1;PDLIM3;MTA1;MICALL2;TRIM46;PCGF1;PDLIM4;RNF130;MTA3;PTPN1;ANKIB1;MAP3K1;SF3A2;USP20;NR1H2;MBD1;CNBP;QPCTL;USP22;LIMK1;SYVN1;MYO9B;TRMT1;MIB1;SKI;RAD50;POLR3A;TRIM39;RFWD3;TRIM35;RTN4IP1;TRIM31;RNF141;TAF3;LNX2
kinase binding (GO:0019900)	82/487	0.00000000023636436118198224431896739097564048848187923113073338754475116729736328125	0.00000003576980665887331276680857869605667520573888396029360592365264892578125	0.000005667335131169526441841967356882747708368697203695774078369140625	0.00073513432844313285167980875911553084733895957469940185546875	-2.5004650689453083	42.87337836935683	ACVRL1;ERRFI1;RYR2;TOP2B;USP37;GSK3A;CCNT1;IRS1;FAF1;CTNND1;TNFAIP3;PTPN22;IRS2;AP2A1;PTPRJ;PTPN23;KIF11;AP2A2;GHR;ZFP36;SIT1;C1QBP;CDK5RAP3;IFNAR2;PDGFRB;H2AFY;PPP2R5A;ADAM10;AXIN2;MAPK8IP2;LAX1;SIRT1;PJA2;TIRAP;TOM1L1;MSH2;PRKAR1A;FEZ1;DCX;RARA;SQSTM1;SKAP1;PPP1R15A;HDAC5;SP100;MAPKAP1;STK39;IQGAP1;ADIPOR1;JAKMIP1;FOXO3;PRKCZ;LDHB;SOCS1;RACGAP1;TDG;DVL1;RPS3;TNNI3;HNRNPA0;BARD1;PTPN1;NEK9;MAP3K1;JUP;PLK1;ELP2;MSN;BRAF;CDC6;SKI;MAD2L2;FER;TNIP1;CENPJ;DNAJA3;TCF3;TAB1;PFKM;LAT;PTPN2;TP73
ubiquitin-protein transferase activity (GO:0004842)	57/279	0.00000000008470272033746912227094499988594542179420887606511314515955746173858642578125	0.00000001538201401328439112581826704075071976518529481836594641208648681640625	0.0000011211987209577062424010855667955155468007433228194713592529296875	0.000254512109657399295849222742305073552415706217288970947265625	-2.3597798528065934	42.45259749510878	LRSAM1;UBE3C;UBE2D3;TNFAIP3;CBLC;FBXO21;TRIM2;TRIM24;FBXO4;FBXO3;TRIM69;TRIM21;RNF152;TRIM63;RING1;DTX3L;FBXW8;UBE4B;LMO7;PJA2;TRAIP;PJA1;RNF41;RNF144B;RNF167;RNF125;TRIM17;UHRF2;MYCBP2;XIAP;RNF4;ZNRF1;IRAK1;UBR7;ZNF227;VHL;RNF130;BARD1;CBX8;BRAP;SMURF2;SMURF1;HUWE1;WWP1;UBE2A;MARCH5;FBXO30;MIB1;UBE2W;UBOX5;RNF103;UBE2S;RFWD3;MKRN1;TRIP12;RNF141;DZIP3
transcription corepressor activity (GO:0003714)	45/208	0.0000000012147095734038436541912456736861704309493603659575455822050571441650390625	0.00000013786953658133624865024936638480124173611329752020537853240966796875	0.00000418719507077683892638797491514424109482206404209136962890625	0.000633662187377561606123343995733421252225525677204132080078125	-2.2747354220346554	35.93389989124115	KDM5B;HDAC5;URI1;ZNF274;ZNF593;SP100;TSG101;TONSL;PBXIP1;CTCF;AEBP1;TOB1;ARHGAP35;YY1;MNT;MTA1;C1QBP;ANKRD1;DNMT3B;SAP18;DMAP1;TBL1X;CRYM;LMCD1;SKIL;E2F7;SCAI;TFAP2A;WWTR1;ZNF281;MBD1;PLRG1;CDYL;SIRT1;ZHX1;PIAS1;SKI;ASXL1;ZEB1;PSMC3;APEX1;RARA;HDGF;PFDN5;AJUBA
transmembrane receptor protein kinase activity (GO:0019199)	26/82	0.0000000008146733916655211791994488259964490861619879069621674716472625732421875	0.000000105674777090327603442236376225793481609116497565992176532745361328125	0.000001754702084959870281061396213306835534240235574543476104736328125	0.000318653898628712471501056580081012725713662803173065185546875	-2.1820468174202987	35.04999895047017	RET;ALK;ACVRL1;EPHB6;CSF1R;FLT3;FLT4;IGF1R;ERBB4;KDR;EPHB1;NTRK1;PDGFRB;ACVR1;PDGFRA;MERTK;PDGFRL;IGF2R;ACVR2A;EFNA3;KIT;BMPR1B;MET;EPHA3;EPHA2;BMPR1A
protein kinase binding (GO:0019901)	72/437	0.0000000076548462876125819128874470790614703563647935879998840391635894775390625	0.0000007722889365724693288891970245624296609321390860714018344879150390625	0.0000393766336815498164437843175988973598578013479709625244140625	0.00297949861523726967915681740350919426418840885162353515625	-2.448876479397888	34.46526003802635	ACVRL1;ERRFI1;TOP2B;RYR2;USP37;GSK3A;CCNT1;IRS1;FAF1;CTNND1;IRS2;AP2A1;PTPRJ;PTPN23;KIF11;AP2A2;GHR;ZFP36;C1QBP;CDK5RAP3;IFNAR2;PDGFRB;H2AFY;ADAM10;AXIN2;MAPK8IP2;LAX1;SIRT1;PJA2;TIRAP;TOM1L1;MSH2;PRKAR1A;FEZ1;DCX;RARA;SQSTM1;SKAP1;PPP1R15A;HDAC5;MAPKAP1;STK39;IQGAP1;ADIPOR1;FOXO3;PRKCZ;SOCS1;RACGAP1;TDG;DVL1;RPS3;TNNI3;HNRNPA0;PTPN1;NEK9;MAP3K1;JUP;PLK1;ELP2;MSN;BRAF;SKI;MAD2L2;FER;TNIP1;CENPJ;DNAJA3;TCF3;TAB1;LAT;PTPN2;TP73
protein tyrosine kinase activity (GO:0004713)	34/142	0.0000000086147533827568581675389913538017083727282852123607881367206573486328125	0.0000007822196071543227090393951041191744621983161778189241886138916015625	0.00001019905371911122287796776231250106548031908459961414337158203125	0.00102897119743922105770950192749069174169562757015228271484375	-2.250023854448928	31.6378786141059	EPHB6;RET;ALK;ITK;CSF1R;FLT3;FLT4;IGF1R;ERBB4;KDR;ABL2;CSK;EPHB1;NTRK1;PDGFRB;PDGFRA;TNK2;PTK6;TYK2;MERTK;PDGFRL;IGF2R;CLK1;BCR;EFNA3;FER;TEC;FES;PEAK1;KIT;BTK;MET;EPHA3;EPHA2
