Symbol	Description	Score	Functions	Links
NDUFS5		0.9374873134119583		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4725
PLEKHB1		0.9276560788624657		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=58473
BBIP1		0.9220543209430178		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=92482
DCN		0.9187579354956661	extracellular matrix, extracellular matrix disassembly, extracellular matrix organization, extracellular structure organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1634
RPL35A		0.9186990592913935	cellular protein complex disassembly, cotranslational protein targeting to membrane, cytosolic large ribosomal subunit, cytosolic part, cytosolic ribosome, establishment of protein localization to endoplasmic reticulum, establishment of protein localization to membrane, large ribosomal subunit, macromolecular complex disassembly, mRNA catabolic process, multi-organism metabolic process, nuclear-transcribed mRNA catabolic process, nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, protein complex disassembly, protein localization to endoplasmic reticulum, protein localization to membrane, protein targeting, protein targeting to ER, protein targeting to membrane, ribosomal subunit, ribosome, RNA catabolic process, single-organism cellular localization, single-organism localization, SRP-dependent cotranslational protein targeting to membrane, structural constituent of ribosome, translational elongation, translational initiation, translational termination, viral gene expression, viral life cycle, viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6165
RAB40B		0.913569745172153		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10966
VPS13B		0.910439587289297		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=157680
JAG1		0.8961620928237992	cell surface receptor signaling pathway involved in heart development, endocardial cushion development, endothelium development, Notch receptor processing, Notch signaling pathway, regulation of stem cell differentiation, skin development	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=182
KPNA6		0.8960081644616341	nuclear import, nuclear transport, nucleocytoplasmic transport, protein localization to nucleus, protein targeting	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23633
MPHOSPH9		0.8954470906190204		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10198
NKTR		0.8911949446603677		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4820
ZNF518A		0.887388020322442		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9849
ZFYVE26		0.8836157018910479		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23503
CDH11		0.8822672839538341	adherens junction organization, cell junction assembly, cell junction organization, cell-cell junction organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1009
PTPN13		0.8762880282587346		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5783
PPP1R7		0.8748606608007815	phosphatase regulator activity, protein phosphatase regulator activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5510
STMN1		0.8733397581582302	cellular protein complex disassembly, macromolecular complex disassembly, protein complex disassembly	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3925
SERBP1		0.8720416479272106	mRNA binding, posttranscriptional regulation of gene expression	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=26135
POGZ		0.8718976257150971		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23126
PFDN1		0.8701682051885165	'de novo' posttranslational protein folding, 'de novo' protein folding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5201
SCN1B		0.8684927479926992	regulation of ion transmembrane transport, regulation of ion transmembrane transporter activity, regulation of metal ion transport, regulation of sodium ion transmembrane transporter activity, regulation of transmembrane transport, regulation of transmembrane transporter activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6324
CST3		0.8671751956057028	collagen catabolic process, collagen metabolic process, extracellular matrix disassembly, extracellular matrix organization, extracellular structure organization, multicellular organismal catabolic process, multicellular organismal macromolecule metabolic process, multicellular organismal metabolic process, negative regulation of cellular component organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1471
BPTF		0.8659305532010676		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2186
CREG1		0.8619528962440288		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8804
RPL37		0.8603401637788507	cellular protein complex disassembly, cotranslational protein targeting to membrane, cytosolic large ribosomal subunit, cytosolic part, cytosolic ribosome, establishment of protein localization to endoplasmic reticulum, establishment of protein localization to membrane, large ribosomal subunit, macromolecular complex disassembly, mRNA catabolic process, multi-organism metabolic process, nuclear-transcribed mRNA catabolic process, nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, protein complex disassembly, protein localization to endoplasmic reticulum, protein localization to membrane, protein targeting, protein targeting to ER, protein targeting to membrane, ribosomal subunit, ribosome, RNA catabolic process, single-organism cellular localization, single-organism localization, SRP-dependent cotranslational protein targeting to membrane, structural constituent of ribosome, translational elongation, translational initiation, translational termination, viral gene expression, viral life cycle, viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6167
