gene,pLI,mis_z
AGRN,0.17335234,0.140544378
NOC2L,1.33E-19,-2.275891885
B3GALT6,0.048104466,3.209371442
C1orf159,0.090877636,-0.419915665
ISG15,0.009847813,0.21278581
KLHL17,2.52E-07,0.575586311
PLEKHN1,2.02E-08,-3.328941566
SAMD11,1.35E-10,-3.786195942
OR4F5,0.176329298,3.602088999
HES4,0.000147943,1.800964465
FAM132A,4.68E-05,-0.659885729
TNFRSF18,8.37E-07,-1.35382095
SDF4,0.001309827,1.233240631
TNFRSF4,0.00720933,-0.095087344
TTLL10,1.95E-05,-1.574109407
UBE2J2,0.415938847,2.199514862
ATAD3C,4.91E-05,-0.257046972
MRPL20,0.000171803,-0.78217617
CPSF3L,5.79E-09,1.070880616
AURKAIP1,0.002475388,0.657050504
SSU72,0.606848849,2.914877785
GLTPD1,0.00138279,-0.224249761
MXRA8,0.004712972,2.108723264
ACAP3,0.03943093,1.796594051
VWA1,0.03319976,1.009046182
ATAD3A,0.040130598,2.324489365
CCNL2,0.104548195,1.638103961
DVL1,0.157164972,-1.00885471
SCNN1D,2.82E-15,-2.401516198
ATAD3B,1.92E-13,1.002949843
PUSL1,6.59E-12,-0.635316998
C1orf86,0.785170903,0.467362635
SKI,0.9814021,2.96334091
CDK11B,0.72829444,4.461179497
GNB1,0.995187833,4.775297754
SLC35E2B,0.621002459,3.206521849
CDK11A,5.24E-05,0.188614344
NADK,0.00126769,2.121201833
PEX10,0.010463632,-0.545955856
CALML6,0.000127437,-0.728179047
TMEM52,0.328693114,-0.100098919
MORN1,7.88E-07,-1.987642432
GABRD,0.923498878,3.148481355
PRKCZ,0.266923657,2.868338483
RER1,0.969239733,2.184683118
MIB2,0.000158543,1.47086128
SLC35E2,0.374305908,3.235955562
PRDM16,0.999843194,2.055611651
TP73,0.975977778,1.871487785
PLCH2,1.71E-08,0.517784833
LRRC47,0.603832188,2.178125815
DFFB,5.09E-05,0.43273805
ACTRT2,0.018722461,-0.322195812
ARHGEF16,9.37E-08,0.519481682
TPRG1L,0.002845285,0.495366745
HES5,0.532717162,-0.111122624
C1orf174,0.018742502,-0.124684469
MEGF6,4.42E-15,-0.920373078
FAM213B,0.0001667,1.127337924
CCDC27,1.61E-19,-0.333064868
WRAP73,0.02692199,0.280416881
CEP104,2.63E-08,0.058812727
MMEL1,8.88E-13,0.074023847
PANK4,0.945333402,3.379605355
TNFRSF14,0.819999054,-0.046582086
KLHL21,0.001077352,2.617338055
NOL9,0.00447024,1.821517701
PLEKHG5,4.03E-05,0.986904352
KCNAB2,0.839972632,3.017258016
ICMT,0.959145428,2.532687639
ESPN,0.002553841,-0.169310972
AJAP1,0.977592767,1.499091429
ZBTB48,0.680198376,1.641727751
TNFRSF25,0.448738853,1.524800469
