,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for HNRNPA1,Hsa2 MR for HNRNPA1,Hsa3 MR for HNRNPA1,Mcc MR for HNRNPA1,Rno MR for Hnrnpa1
0,HNRNPA1,"heterogeneous nuclear ribonucleoprotein A1",3178,3,0.0,0.0 ,0.0 ,0.0 ,0.0 
1,NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",4869,3,1.0,15442.7 ,6.6 ,5298.0 416.1 ,39.5 
2,HNRNPR,"heterogeneous nuclear ribonucleoprotein R",10236,3,8.5,19.2 ,12.2 ,,314.9 
3,SNHG1,"small nucleolar RNA host gene 1 (non-protein coding)",23642,3,9.4,,126.7 ,,
4,KHDRBS1,"KH domain containing, RNA binding, signal transduction associated 1",10657,3,10.2,111.2 ,7.2 ,46.1 ,132.1 
5,RPL5,"ribosomal protein L5",6125,3,10.9,44.0 ,27.7 ,,176.3 
6,ANP32B,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",10541,3,12.8,25.3 ,7.8 ,1228.7 ,
7,RPS23,"ribosomal protein S23",6228,3,13.9,241.0 ,44.5 ,,377.9 
8,PTMA,"prothymosin, alpha",5757,3,14.9,31.1 ,6.5 ,,
9,EEF1A1,"eukaryotic translation elongation factor 1 alpha 1",1915,3,15.1,25.7 ,8.0 ,,1168.5 
10,PPP1CC,"protein phosphatase 1, catalytic subunit, gamma isozyme",5501,3,16.1,116.7 ,141.9 ,,
11,MATR3,"matrin 3",9782,3,16.2,57.7 ,198.1 ,492.5 ,53.3 
12,NAP1L1,"nucleosome assembly protein 1-like 1",4673,3,17.3,2.8 ,5.7 ,,38.7 
13,RPS4X,"ribosomal protein S4, X-linked",6191,3,17.5,31.8 ,76.9 ,,
14,MRFAP1,"Morf4 family associated protein 1",93621,2,17.8,403.9 ,280.0 ,,68.2 
15,RPL7,"ribosomal protein L7",6129,3,20.5,57.1 ,55.4 ,252.3 ,463.1 
16,RBMX,"RNA binding motif protein, X-linked",27316,3,23.6,4.2 ,3.6 ,,48.8 
17,HNRNPD,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",3184,3,23.8,11.5 ,7.3 ,368.4 ,37.8 
18,BTF3,"basic transcription factor 3",689,3,24.7,117.7 ,56.6 ,406.3 ,425.8 
19,RPL6,"ribosomal protein L6",6128,3,25.0,16.3 ,50.8 ,,733.4 
20,RPS3A,"ribosomal protein S3A",6189,3,25.3,33.7 ,63.4 ,,
21,SET,"SET nuclear proto-oncogene",6418,3,27.5,13.4 ,67.8 ,11891.0 ,451.6 
22,RPL3,"ribosomal protein L3",6122,3,28.1,137.9 ,27.1 ,15531.9 ,71.4 
23,KANSL2,"KAT8 regulatory NSL complex subunit 2",54934,3,30.8,355.1 ,1081.7 ,,703.6 
24,TRA2B,"transformer 2 beta homolog (Drosophila)",6434,3,32.5,90.9 ,32.2 ,,219.7 
25,RPL15,"ribosomal protein L15",6138,3,33.4,74.9 ,77.3 ,793.2 ,618.1 
26,RPL22,"ribosomal protein L22",6146,3,34.5,44.5 ,58.0 ,10.8 ,1257.9 
27,RPL4,"ribosomal protein L4",6124,3,35.7,15734.1 ,41.5 ,13614.4 ,172.6 
28,HMGB1,"high mobility group box 1",3146,3,36.3,14.0 ,21.4 ,6.0 ,
29,RPS20,"ribosomal protein S20",6224,3,38.6,193.3 ,301.7 ,,595.6 
30,RPL7A,"ribosomal protein L7a",6130,3,38.8,36.1 ,66.7 ,,241.8 
31,HNRNPK,"heterogeneous nuclear ribonucleoprotein K",3190,3,39.2,112.0 ,19.4 ,146.2 ,106.1 
32,144438,"&nbsp;",144438,0,39.5,,,,
33,RPS6,"ribosomal protein S6",6194,3,40.2,60.7 ,42.2 ,212.6 ,357.6 
34,EIF3L,"eukaryotic translation initiation factor 3, subunit L",51386,3,40.6,288.3 ,101.5 ,3247.4 ,
35,RPS13,"ribosomal protein S13",6207,3,41.2,439.5 ,375.9 ,,
36,NACA,"nascent polypeptide-associated complex alpha subunit",4666,3,43.8,13.9 ,97.9 ,,768.3 
37,RPL23A,"ribosomal protein L23a",6147,3,45.0,163.2 ,104.2 ,,
38,SRSF3,"serine/arginine-rich splicing factor 3",6428,3,46.7,25.7 ,21.0 ,,485.2 
