GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 12:37:14 GMT 2016

Gene	Score	Description
MGAT4A		mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A [Source:HGNC Symbol;Acc:7047]
TMEM260		transmembrane protein 260 [Source:HGNC Symbol;Acc:20185]
CXorf40B		chromosome X open reading frame 40B [Source:HGNC Symbol;Acc:17402]
RSAD1		radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:25634]
ALPK1		alpha-kinase 1 [Source:HGNC Symbol;Acc:20917]
MBNL2		muscleblind-like splicing regulator 2 [Source:HGNC Symbol;Acc:16746]
C1orf61		chromosome 1 open reading frame 61 [Source:HGNC Symbol;Acc:30780]
LYRM1		LYR motif containing 1 [Source:HGNC Symbol;Acc:25074]
NDUFC2		NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa [Source:HGNC Symbol;Acc:7706]
PCDH9		protocadherin 9 [Source:HGNC Symbol;Acc:8661]
FAM120A		family with sequence similarity 120A [Source:HGNC Symbol;Acc:13247]
ZNF506		zinc finger protein 506 [Source:HGNC Symbol;Acc:23780]
ZFYVE26		zinc finger, FYVE domain containing 26 [Source:HGNC Symbol;Acc:20761]
VPS13B		vacuolar protein sorting 13 homolog B (yeast) [Source:HGNC Symbol;Acc:2183]
MRPS17		mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:14047]
ATP5E		ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:HGNC Symbol;Acc:838]
BBIP1		BBSome interacting protein 1 [Source:HGNC Symbol;Acc:28093]
ZNF273		zinc finger protein 273 [Source:HGNC Symbol;Acc:13067]
ZNF518A		zinc finger protein 518A [Source:HGNC Symbol;Acc:29009]
IL3		interleukin 3 (colony-stimulating factor, multiple) [Source:HGNC Symbol;Acc:6011]
PIK3R5		phosphoinositide-3-kinase, regulatory subunit 5 [Source:HGNC Symbol;Acc:30035]
BTN3A3		butyrophilin, subfamily 3, member A3 [Source:HGNC Symbol;Acc:1140]
CYP1B1		cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2597]
CEP170B		centrosomal protein 170B [Source:HGNC Symbol;Acc:20362]
ERGIC2		ERGIC and golgi 2 [Source:HGNC Symbol;Acc:30208]
ATP2C1		ATPase, Ca++ transporting, type 2C, member 1 [Source:HGNC Symbol;Acc:13211]
CLCN5		chloride channel, voltage-sensitive 5 [Source:HGNC Symbol;Acc:2023]
NDUFS5		NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7712]
SERF2		small EDRK-rich factor 2 [Source:HGNC Symbol;Acc:10757]
PRKX		protein kinase, X-linked [Source:HGNC Symbol;Acc:9441]
CTDSP2		CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 [Source:HGNC Symbol;Acc:17077]
CDH11		cadherin 11, type 2, OB-cadherin (osteoblast) [Source:HGNC Symbol;Acc:1750]
RAB40B		RAB40B, member RAS oncogene family [Source:HGNC Symbol;Acc:18284]
CCDC93		coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:25611]
PPP3R2		protein phosphatase 3, regulatory subunit B, beta [Source:HGNC Symbol;Acc:9318]
TNFRSF10B		tumor necrosis factor receptor superfamily, member 10b [Source:HGNC Symbol;Acc:11905]
PITPNB		phosphatidylinositol transfer protein, beta [Source:HGNC Symbol;Acc:9002]
ENDOG		endonuclease G [Source:HGNC Symbol;Acc:3346]
COA3		cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:24990]
SYT11		synaptotagmin XI [Source:HGNC Symbol;Acc:19239]
TNFSF10		tumor necrosis factor (ligand) superfamily, member 10 [Source:HGNC Symbol;Acc:11925]
C6orf106		chromosome 6 open reading frame 106 [Source:HGNC Symbol;Acc:21215]
NKTR		natural killer-tumor recognition sequence [Source:HGNC Symbol;Acc:7833]
MPHOSPH9		M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:7215]
FAM168B		family with sequence similarity 168, member B [Source:HGNC Symbol;Acc:27016]
ANKRD17		ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:23575]
PDCL3		phosducin-like 3 [Source:HGNC Symbol;Acc:28860]
CREG1		cellular repressor of E1A-stimulated genes 1 [Source:HGNC Symbol;Acc:2351]
MEST		mesoderm specific transcript [Source:HGNC Symbol;Acc:7028]
