,transcript,gene,chr,n_exons,cds_start,cds_end,bp,mu_syn,mu_mis,mu_lof,n_syn,n_mis,n_lof,exp_syn,exp_mis,exp_lof,syn_z,mis_z,lof_z,pLI,pRec,pNull
14588,ENST00000306378.6,BPTF,17,28,65821840,65978404,8763,3.49E-05,8.28E-05,7.00E-06,344,633,4,380.3733426,902.7914717,88.61806049,1.156184582,4.391885399,8.904132985,1,4.76E-12,9.47E-32
2748,ENST00000335508.6,SF3B1,2,25,198257026,198299723,3915,1.29E-05,3.60E-05,3.79E-06,142,83,1,153.8889243,409.5363551,52.25669424,0.594138207,7.892268258,7.023754404,0.999999973,2.72E-08,1.62E-20
16484,ENST00000254958.5,JAG1,20,26,10620145,10654178,3657,2.09E-05,4.40E-05,3.27E-06,200,297,1,235.621673,478.1218975,45.17964624,1.438654368,4.051521166,6.510892328,0.999999616,3.84E-07,1.02E-17
1076,ENST00000271715.2,POGZ,1,18,151377277,151414680,4233,1.60E-05,4.17E-05,3.62E-06,214,323,2,186.7635535,472.2160822,47.39737023,-1.235529282,3.358626639,6.531955993,0.999999128,8.72E-07,1.53E-17
1045,ENST00000324862.6,PRPF3,1,15,150297400,150325455,2052,6.77E-06,1.89E-05,2.78E-06,78,98,0,83.042546,220.0992198,37.82405235,0.34304363,4.025501981,6.092193759,0.999998844,1.16E-06,7.41E-16
12158,ENST00000394419.4,ACTN1,14,22,69341575,69445773,2745,1.51E-05,3.40E-05,2.77E-06,163,236,3,178.6673275,390.329273,40.10230296,0.726642871,3.820755846,5.803712759,0.999930574,6.94E-05,1.32E-13
14988,ENST00000398339.1,TCF4,18,20,52895455,53303128,2322,9.74E-06,2.25E-05,2.11E-06,105,100,1,109.5914162,240.2687112,29.53613763,0.271898239,4.426175526,5.201253214,0.999866544,0.000133455,1.58E-11
705,ENST00000370995.2,SERBP1,1,8,67878889,67895983,1227,6.38E-06,1.63E-05,1.93E-06,61,94,0,75.1049187,187.3027803,25.05893068,1.008987839,3.334563609,4.958735623,0.999863114,0.000136886,8.32E-11
13469,ENST00000268603.4,CDH11,16,11,64981505,65038772,2391,1.28E-05,2.65E-05,1.44E-06,136,247,0,147.4252504,298.7652558,20.57126192,0.583352503,1.464839751,4.492831588,0.999267145,0.00073285,4.96E-09
3251,ENST00000232978.8,NKTR,3,16,42642498,42687467,4389,1.42E-05,3.89E-05,4.28E-06,176,409,9,162.6417738,435.7137823,53.80372904,-0.649353637,0.625967135,6.050589109,0.99187751,0.00812249,9.99E-13
385,ENST00000373625.3,KPNA6,1,14,32573731,32636495,1611,6.16E-06,1.55E-05,1.88E-06,70,83,3,74.04393282,178.2585097,26.48707124,0.29134555,3.489755966,4.520657365,0.988827606,0.011172362,3.18E-08
5206,ENST00000481195.1,PPP2CA,5,7,133533462,133561552,930,3.70E-06,9.89E-06,8.77E-07,47,15,0,43.96824463,111.6549548,12.55607325,-0.283448886,4.474058995,3.5100763,0.985509348,0.014483396,7.26E-06
110,ENST00000240185.3,TARDBP,1,5,11073784,11082711,1245,5.22E-06,1.20E-05,8.55E-07,57,34,0,61.197774,137.9526345,11.77848033,0.332659791,4.328992866,3.399650856,0.980707837,0.0192775,1.47E-05
