Symbol	Description	Score	Synonyms	GO annotations	Links
SMPD4 	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3) [Source:HGNC Symbol;Acc:32949]	94.00	ENSG00000136699;ENSP00000259217;ENSP00000339721;ENSP00000386531;ENSP00000387762;ENSP00000391896;ENSP00000393791;ENSP00000394313;ENSP00000397078;ENSP00000397278;ENSP00000397479;ENSP00000401648;ENSP00000403002;ENSP00000403915;ENSP00000405187;ENSP00000405363;ENSP00000406325;ENSP00000406458;ENSP00000407591;ENSP00000416208;55627;SMPD4;NP_001164554;NP_060221;NP_060421;NM_001171083;NM_017751;NM_017951;FLJ20297;FLJ20756;KIAA1418;NET13;nSMase-3;NSMASE3;NSMA3_HUMAN;Q9NXE4;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=55627
UNC119B 	unc-119 homolog B (C. elegans) [Source:HGNC Symbol;Acc:16488]	85.21	ENSG00000175970;ENSP00000344942;84747;UNC119B;NP_001074002;NM_001080533;MGC5139;POC7B;A6NIH7;U119B_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84747
DDX39B 	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [Source:HGNC Symbol;Acc:13917]	82.73	ENSG00000198563;ENSG00000215425;ENSG00000225073;ENSG00000225859;ENSG00000229496;ENSG00000230624;ENSG00000235439;ENSG00000237889;ENSP00000365347;ENSP00000373000;ENSP00000379475;ENSP00000383149;ENSP00000383151;ENSP00000383152;ENSP00000387452;ENSP00000387994;ENSP00000388243;ENSP00000388382;ENSP00000388776;ENSP00000388880;ENSP00000389350;ENSP00000390562;ENSP00000390999;ENSP00000391070;ENSP00000391335;ENSP00000391441;ENSP00000391463;ENSP00000391480;ENSP00000391580;ENSP00000391946;ENSP00000392644;ENSP00000392669;ENSP00000392672;ENSP00000392819;ENSP00000392922;ENSP00000393172;ENSP00000393650;ENSP00000393712;ENSP00000393984;ENSP00000394160;ENSP00000394329;ENSP00000394491;ENSP00000394963;ENSP00000395058;ENSP00000395105;ENSP00000395618;ENSP00000395671;ENSP00000396021;ENSP00000396559;ENSP00000396623;ENSP00000396811;ENSP00000396885;ENSP00000396930;ENSP00000397591;ENSP00000398190;ENSP00000398274;ENSP00000398492;ENSP00000398775;ENSP00000398978;ENSP00000399030;ENSP00000399371;ENSP00000399542;ENSP00000399659;ENSP00000399841;ENSP00000400326;ENSP00000400328;ENSP00000400556;ENSP00000402876;ENSP00000402942;ENSP00000403358;ENSP00000403593;ENSP00000404228;ENSP00000404695;ENSP00000404735;ENSP00000405245;ENSP00000405374;ENSP00000405386;ENSP00000405489;ENSP00000405560;ENSP00000405665;ENSP00000405707;ENSP00000405964;ENSP00000406006;ENSP00000406060;ENSP00000406085;ENSP00000406096;ENSP00000406348;ENSP00000406422;ENSP00000406504;ENSP00000406739;ENSP00000407054;ENSP00000407419;ENSP00000407427;ENSP00000407519;ENSP00000407647;ENSP00000408000;ENSP00000408067;ENSP00000408191;ENSP00000408609;ENSP00000408832;ENSP00000408908;ENSP00000409162;ENSP00000409290;ENSP00000409426;ENSP00000409451;ENSP00000409602;ENSP00000409810;ENSP00000409929;ENSP00000410112;ENSP00000410277;ENSP00000410313;ENSP00000410915;ENSP00000411136;ENSP00000411371;ENSP00000411458;ENSP00000411538;ENSP00000411853;ENSP00000411865;ENSP00000411967;ENSP00000412286;ENSP00000412582;ENSP00000412609;ENSP00000413149;ENSP00000413576;ENSP00000413790;ENSP00000413793;ENSP00000413832;ENSP00000414082;ENSP00000414096;ENSP00000414984;ENSP00000415802;ENSP00000416269;ENSP00000416350;ENSP00000416358;ENSP00000416407;ENSP00000416843;ENSP00000431377;ENSP00000431969;ENSP00000432296;ENSP00000433192;ENSP00000433234;ENSP00000434615;ENSP00000434736;ENSP00000436220;ENSP00000437017;ENSP00000446593;ENSP00000447330;ENSP00000447589;ENSP00000448108;ENSP00000448489;ENSP00000448893;ENSP00000449046;ENSP00000449135;ENSP00000449305;ENSP00000449425;ENSP00000449488;ENSP00000450155;ENSP00000450363;692199;7919;DDX39B;NP_004631;NP_542165;NM_004640;NM_080598;BAT1;D6S81E;UAP56;DX39B_HUMAN;Q13838;	ribonucleoprotein complex biogenesis; viral life cycle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=692199
RNF130 	ring finger protein 130 [Source:HGNC Symbol;Acc:18280]	77.84	ENSG00000113269;ENSP00000261947;ENSP00000429509;ENSP00000430237;ENSP00000430999;55819;RNF130;NP_001267730;NP_060904;NM_001280801;NM_018434;G1RZFP;GOLIATH;GP;GOLI_HUMAN;Q86XS8;	acid-amino acid ligase activity; ligase activity, forming carbon-nitrogen bonds	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=55819
WDR78 	WD repeat domain 78 [Source:HGNC Symbol;Acc:26252]	77.08	ENSG00000152763;ENSP00000360061;ENSP00000360062;ENSP00000360065;ENSP00000393182;ENSP00000432461;ENSP00000432979;ENSP00000433037;ENSP00000433682;ENSP00000434351;ENSP00000435836;ENSP00000436463;79819;WDR78;NP_079039;NP_996897;NM_024763;NM_207014;DIC4;FLJ23129;Q5VTH9;WDR78_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=79819
DCN 	decorin [Source:HGNC Symbol;Acc:2705]	76.47	ENSG00000011465;ENSP00000052754;ENSP00000228329;ENSP00000302031;ENSP00000376862;ENSP00000398514;ENSP00000399815;ENSP00000401021;ENSP00000413723;ENSP00000446527;ENSP00000446530;ENSP00000447654;ENSP00000447674;ENSP00000447886;ENSP00000448057;ENSP00000448274;ENSP00000448853;ENSP00000448857;ENSP00000449014;ENSP00000449408;ENSP00000449438;ENSP00000449782;1634;DCN;NP_001911;NP_598010;NP_598011;NP_598012;NP_598013;NP_598014;NM_001920;NM_133503;NM_133504;NM_133505;NM_133506;NM_133507;DSPG2;SLRR1B;P07585;PGS2_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1634
MAP3K13 	mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:6852]	74.83	ENSG00000073803;ENSP00000265026;ENSP00000389495;ENSP00000389798;ENSP00000390323;ENSP00000392223;ENSP00000399910;ENSP00000403561;ENSP00000405163;ENSP00000405233;ENSP00000407361;ENSP00000409325;ENSP00000411483;ENSP00000412037;ENSP00000415712;ENSP00000439257;9175;MAP3K13;NP_001229243;NP_001229246;NP_004712;NM_001242314;NM_001242317;NM_004721;LZK;MEKK13;M3K13_HUMAN;O43283;	cytosolic part	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9175
SUPT7L 	suppressor of Ty 7 (S. cerevisiae)-like [Source:HGNC Symbol;Acc:30632]	74.65	ENSG00000119760;ENSP00000336750;ENSP00000384469;ENSP00000385218;ENSP00000385436;ENSP00000441110;9913;SUPT7L;NP_001269658;NP_001269659;NP_001269660;NP_001269661;NP_055675;NM_001282729;NM_014860;gamma;KIAA0764;SPT7L;STAF65;O94864;ST65G_HUMAN;	acetyltransferase activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9913
TRO 	trophinin [Source:HGNC Symbol;Acc:12326]	74.40	ENSG00000067445;ENSP00000173898;ENSP00000318278;ENSP00000364162;ENSP00000364181;ENSP00000382641;ENSP00000387676;ENSP00000388947;ENSP00000392841;ENSP00000404645;ENSP00000404767;ENSP00000404794;ENSP00000405043;ENSP00000405126;ENSP00000405311;ENSP00000406574;ENSP00000407996;ENSP00000411717;ENSP00000412588;7216;TRO;NP_001034794;NP_001258112;NP_001258113;NP_057241;NP_808224;NP_808225;NM_001039705;NM_001271183;NM_001271184;NM_016157;NM_177556;NM_177557;KIAA1114;MAGE-D3;MAGED3;Q12816;TROP_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7216
FBXL14 	F-box and leucine-rich repeat protein 14 [Source:HGNC Symbol;Acc:28624]	73.17	ENSG00000171823;ENSP00000344855;144699;FBXL14;NP_689654;NM_152441;Fbl14;MGC40195;FXL14_HUMAN;Q8N1E6;	acid-amino acid ligase activity; ligase activity, forming carbon-nitrogen bonds	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=144699
