,transcript,gene,chr,n_exons,cds_start,cds_end,bp,mu_syn,mu_mis,mu_lof,n_syn,n_mis,n_lof,exp_syn,exp_mis,exp_lof,syn_z,mis_z,lof_z,pLI,pRec,pNull
12363,ENST00000360184.4,DYNC1H1,14,78,102431028,102516900,13941,7.11E-05,0.00015979,1.16E-05,795,602,4,816.1832484,1808.357601,161.8990636,0.459671108,13.87555806,12.2926946,1,5.95E-24,9.62E-61
11116,ENST00000243077.3,LRP1,12,89,57522747,57606338,13635,8.76E-05,0.000188477,1.25E-05,806,1100,3,986.4312296,2093.964122,173.5793494,3.56145683,10.62435355,12.82528781,1,1.45E-26,2.05E-66
6972,ENST00000359863.4,TRRAP,7,71,98478773,98609978,11580,6.32E-05,0.00013592,9.82E-06,736,747,2,726.9908203,1533.400923,138.304581,-0.207143467,9.822740466,11.4810566,1,1.50E-21,1.65E-53
12438,ENST00000261609.7,HERC2,15,92,28356908,28566579,14505,8.08E-05,0.000166183,1.19E-05,759,1100,14,897.9918987,1813.086286,163.9648877,2.875429846,8.191230292,11.6012265,1,3.99E-17,4.70E-51
10429,ENST00000534358.1,KMT2A,11,36,118307227,118392887,11919,4.62E-05,0.000112965,9.06E-06,466,764,4,505.5541233,1242.642002,115.7283309,1.090578986,6.641318128,10.28805288,1,1.88E-16,1.78E-42
7765,ENST00000520539.1,UBR5,8,59,103266529,103424462,8400,2.82E-05,7.91E-05,9.20E-06,336,491,1,330.0149315,889.4567868,124.7024812,-0.204246288,6.534845518,10.97313079,1,4.65E-20,3.53E-49
208,ENST00000375254.3,UBR4,1,106,19401325,19536742,15552,6.66E-05,0.000156841,1.19E-05,778,1258,8,771.5224985,1772.559174,175.7794165,-0.144571471,5.977937185,12.53557763,1,2.43E-23,4.94E-62
4429,ENST00000295888.4,WDFY3,4,65,85594020,85781744,10581,3.84E-05,9.72E-05,9.83E-06,493,733,8,460.4190932,1125.141352,138.0380309,-0.941316966,5.718146529,10.96379107,1,3.27E-17,4.23E-47
12615,ENST00000316623.5,FBN1,15,65,48703186,48936966,8616,3.68E-05,8.84E-05,8.19E-06,393,672,3,440.6173887,1019.710848,119.0412779,1.406320508,5.325941105,10.53545849,1,1.05E-17,7.74E-45
11758,ENST00000544440.2,MYCBP2,13,83,77619512,77900796,13923,4.67E-05,0.000119802,1.21E-05,577,981,12,551.1669667,1363.803118,167.9289117,-0.682154296,5.070094228,11.91937759,1,3.35E-19,1.01E-54
4872,ENST00000282516.8,NIPBL,5,46,36953798,37064994,8415,2.60E-05,7.08E-05,8.39E-06,316,507,1,304.994143,798.3388253,110.5670717,-0.390687319,5.043372931,10.32183261,1,9.20E-18,1.38E-43
487,ENST00000545844.1,MACF1,1,93,39549890,39951466,16293,5.52E-05,0.000149666,1.67E-05,716,1499,9,659.2551574,1721.900255,226.6859058,-1.370088937,2.627377992,14.32213343,1,6.80E-31,4.02E-81
2180,ENST00000398571.2,USP34,2,80,61415236,61697827,10641,3.40E-05,8.92E-05,1.05E-05,559,929,7,400.5853152,1001.252202,144.8985276,-4.906789775,1.116849469,11.34794817,1,4.84E-19,7.26E-51
7564,ENST00000314191.2,PRKDC,8,87,48686733,48872686,12384,5.05E-05,0.000118286,1.04E-05,557,1131,5,501.4345738,1132.862188,126.3865762,-1.538320295,0.027058743,10.69571726,1,1.82E-17,1.21E-45
7062,ENST00000428762.1,RELN,7,65,103113258,103629803,10383,4.16E-05,9.91E-05,9.34E-06,482,1048,9,488.1455841,1126.425176,130.9240262,0.17244042,1.142930596,10.5552689,1,2.44E-15,3.10E-43
7326,ENST00000262189.6,KMT2C,7,59,151833916,152132871,14736,5.07E-05,0.000130529,1.20E-05,599,1351,15,583.4813148,1470.882337,157.2768087,-0.398282586,1.528908589,11.23806272,1,2.53E-15,2.34E-47
2087,ENST00000421745.2,BIRC6,2,74,32582229,32842971,14574,5.07E-05,0.000124869,1.05E-05,598,1185,10,527.8010942,1287.995116,133.9490344,-1.894281983,1.403703956,10.60872207,1,4.09E-15,2.21E-43
17743,ENST00000342160.3,HUWE1,X,81,53560269,53681051,13125,4.84E-05,0.000129261,1.12E-05,416,387,4,364.1998616,933.9355496,106.9176005,-1.682713398,8.753749495,9.859496716,1,5.07E-15,5.45E-39
10910,ENST00000301067.7,KMT2D,12,54,49415562,49449107,16614,7.52E-05,0.000177614,1.17E-05,919,1571,11,792.8801725,1842.9056,137.6186669,-2.776700239,3.098016024,10.69174867,1,5.39E-15,8.78E-44
6130,ENST00000244364.6,DST,6,84,56323802,56507586,15516,5.01E-05,0.000129353,1.39E-05,630,1402,21,565.7203333,1411.308364,180.1809203,-1.675415045,0.121188641,11.74698367,1,9.56E-15,4.08E-50
11643,ENST00000400445.3,NBEA,13,58,35516957,36245128,8841,3.12E-05,8.11E-05,7.84E-06,334,551,2,318.9859564,791.1893862,93.88791667,-0.521146785,4.176669207,9.393841868,1,2.45E-14,6.17E-36
174,ENST00000375759.3,SPEN,1,15,16174562,16265922,10995,4.76E-05,0.000115097,7.74E-06,570,1082,2,542.1598877,1302.49508,92.78252758,-0.741236129,2.988320592,9.33595749,1,3.70E-14,1.69E-35
11397,ENST00000550722.1,HECTD4,12,75,112600190,112757291,12819,6.49E-05,0.000139239,1.08E-05,606,842,10,633.3895451,1326.043946,127.8427669,0.674680426,6.501631053,10.3241567,1,4.01E-14,5.77E-41
13203,ENST00000446231.2,SMG1,16,63,18820890,18937363,10986,4.05E-05,9.98E-05,9.31E-06,423,731,4,366.6618683,887.8400296,101.1403896,-1.823974539,2.574577443,9.568133651,1,4.40E-14,1.05E-36
1479,ENST00000367573.2,CACNA1E,1,48,181452880,181767970,6942,3.27E-05,8.13E-05,6.38E-06,359,463,0,357.0791326,859.0431817,82.41950378,-0.06301906,6.609239716,8.993001806,1,6.60E-14,1.68E-33
6278,ENST00000358835.3,REV3L,6,32,111621218,111804091,9393,2.89E-05,7.84E-05,7.06E-06,387,886,2,334.2934197,885.0761047,91.15284006,-1.787107075,-0.015189767,9.249958138,1,6.81E-14,7.45E-35
8876,ENST00000280772.2,ANK3,10,43,61802448,62149296,13134,5.14E-05,0.00011846,7.71E-06,626,1215,5,596.09933,1350.665991,103.9801169,-0.759226735,1.805566793,9.615292727,1,7.92E-14,8.89E-37
4805,ENST00000344204.4,TRIO,5,57,14143834,14508531,9294,5.66E-05,0.000112666,8.17E-06,556,708,6,563.2972525,1142.467272,108.0810696,0.190608751,6.287115625,9.726578166,1,8.88E-14,2.38E-37
1201,ENST00000392403.3,ASH1L,1,27,155307450,155491310,8895,2.81E-05,8.04E-05,7.26E-06,329,731,3,328.3400129,919.969663,93.17798405,-0.022580397,3.047346566,9.254086439,1,1.66E-13,1.32E-34
4539,ENST00000357077.4,ANK2,4,46,113970884,114302627,11874,4.58E-05,0.00010755,8.40E-06,533,1135,7,525.0841497,1210.592197,110.4278371,-0.214158532,1.062657698,9.749623885,1,1.92E-13,3.16E-37
13118,ENST00000262367.5,CREBBP,16,31,3777718,3929917,7329,3.83E-05,8.36E-05,6.42E-06,490,592,1,438.5499095,942.4449683,83.78020214,-1.523092093,5.583523269,8.958710002,1,2.06E-13,5.47E-33
8491,ENST00000372739.3,SPTAN1,9,56,131329019,131395613,7434,3.44E-05,8.30E-05,7.20E-06,392,509,5,399.5164865,934.0409225,101.3194595,0.233129813,6.802432313,9.478885747,1,2.14E-13,1.00E-35
11983,ENST00000399332.1,HECTD1,14,42,31570135,31675142,7833,2.54E-05,7.14E-05,7.58E-06,294,544,5,300.3366883,812.7938289,101.0634948,0.226677463,4.611535174,9.465660187,1,2.36E-13,1.27E-35
8576,ENST00000371817.3,COL5A1,9,66,137534033,137734149,5517,3.87E-05,7.01E-05,5.77E-06,388,596,1,408.0777796,719.7161685,83.28525084,0.616160858,2.255601769,8.931566728,1,2.48E-13,8.59E-33
7615,ENST00000423902.2,CHD7,8,37,61653991,61778492,8994,3.61E-05,8.70E-05,7.46E-06,415,782,2,381.1562374,899.8449837,87.68673737,-1.074674933,1.921514859,9.064343038,1,2.49E-13,1.75E-33
138,ENST00000361445.4,MTOR,1,57,11167541,11319466,7650,3.23E-05,8.13E-05,8.04E-06,378,438,8,383.4894995,930.0350434,113.4431168,0.173782284,7.891558899,9.806609027,1,3.24E-13,2.27E-37
11689,ENST00000282007.3,ZC3H13,13,16,46537956,46619642,4695,1.55E-05,5.09E-05,7.84E-06,193,478,4,182.570816,583.2319728,95.51876448,-0.478503153,2.131295188,9.275887891,1,3.60E-13,1.76E-34
17379,ENST00000263253.7,EP300,22,31,41489008,41574960,7245,2.61E-05,6.87E-05,6.51E-06,435,697,2,306.9788659,786.1716874,85.74162948,-4.529776115,1.555552967,8.958498606,1,5.16E-13,1.03E-32
2944,ENST00000283943.5,TRIP12,2,40,230632269,230744795,5979,2.10E-05,5.42E-05,5.36E-06,262,390,0,251.9719105,624.2851337,76.91552576,-0.391644531,4.586375766,8.687537882,1,5.17E-13,2.53E-31
13470,ENST00000317147.5,CNOT1,16,48,58554861,58633241,7131,2.45E-05,6.53E-05,6.21E-06,321,337,3,295.2448331,755.1298577,90.13007527,-0.929230081,7.442465186,9.091235602,1,5.20E-13,2.12E-33
2365,ENST00000323853.5,SNRNP200,2,45,96940749,96971175,6411,2.84E-05,7.20E-05,6.30E-06,303,351,3,334.6858245,819.0269186,88.80959573,1.073730938,7.999045472,9.019773094,1,8.52E-13,7.08E-33
2646,ENST00000263816.3,LRP2,2,79,169985172,170218909,13968,5.54E-05,0.000137989,1.26E-05,636,1426,23,654.2600076,1585.128334,175.5005016,0.442562933,1.954928648,11.4030682,1,1.49E-12,3.66E-46
12678,ENST00000443617.2,HERC1,15,77,63901279,64067822,14586,5.21E-05,0.00013306,1.33E-05,638,1101,20,563.3530477,1392.951539,162.0330822,-1.949716721,3.826131071,11.05292781,1,1.63E-12,5.49E-44
8104,ENST00000314888.9,TLN1,9,56,35697787,35725691,7626,3.34E-05,7.99E-05,6.98E-06,397,588,6,389.4753963,903.4492955,100.2759351,-0.236370259,5.13327015,9.325930409,1,1.65E-12,2.92E-34
11890,ENST00000399982.2,CHD8,14,37,21853771,21899802,7746,2.62E-05,7.80E-05,7.28E-06,279,457,3,265.7186146,771.9476069,86.65603562,-0.505105791,5.544481323,8.901999227,1,1.91E-12,5.03E-32
16664,ENST00000373233.3,CHD6,20,36,40033232,40179976,8148,3.22E-05,7.89E-05,6.34E-06,364,683,3,377.2897622,902.7439405,85.97268508,0.424160653,3.577264163,8.864303014,1,2.46E-12,9.38E-32
1501,ENST00000367478.4,TPR,1,51,186283102,186344160,7092,2.09E-05,6.15E-05,7.02E-06,271,569,6,250.2130349,695.8785502,97.90293576,-0.814678632,2.352545705,9.200707579,1,4.00E-12,2.53E-33
14588,ENST00000306378.6,BPTF,17,28,65821840,65978404,8763,3.49E-05,8.28E-05,7.00E-06,344,633,4,380.3733426,902.7914717,88.61806049,1.156184582,4.391885399,8.904132985,1,4.76E-12,9.47E-32
3074,ENST00000302640.8,ITPR1,3,59,4558175,4887909,8232,3.82E-05,8.40E-05,7.01E-06,461,526,5,409.3353125,873.5753613,92.45056928,-1.583083288,5.751952637,9.009434419,1,5.90E-12,3.24E-32
5848,ENST00000376033.2,PRRC2A,6,30,31590566,31605363,6474,2.86E-05,7.76E-05,7.07E-06,341,862,5,333.3200422,885.1582525,91.22535921,-0.260783447,0.380726117,8.942664243,1,9.34E-12,9.89E-32
3448,ENST00000288139.4,CACNA1D,3,49,53529193,53845433,6546,3.17E-05,7.26E-05,6.31E-06,322,505,5,375.7621109,833.7172896,90.893736,1.719369475,5.568390481,8.924506333,1,1.06E-11,1.34E-31
6893,ENST00000333891.9,PCLO,7,25,82387890,82791908,15429,5.09E-05,0.000128912,9.83E-06,670,1757,11,560.9328268,1423.501256,117.2258747,-2.854881971,-4.323466483,9.718702044,1,1.11E-11,1.03E-35
2984,ENST00000409451.3,GIGYF2,2,28,233599907,233721570,3963,1.36E-05,3.87E-05,5.72E-06,164,354,1,155.168077,413.675631,71.46579449,-0.439544036,1.435103762,8.256936439,1,2.07E-11,4.08E-28
17648,ENST00000324545.8,USP9X,X,44,40982881,41091777,7713,2.52E-05,6.80E-05,7.05E-06,204,220,0,199.553204,514.3504366,66.70447297,-0.195149618,6.348214306,8.090347235,1,2.36E-11,2.78E-27
1420,ENST00000338920.4,PRRC2C,1,33,171481227,171560986,8454,2.67E-05,7.30E-05,7.96E-06,319,697,5,267.7395067,717.2269113,88.70261265,-1.942120054,0.369417517,8.803603858,1,2.40E-11,9.85E-31
