,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for VCP,Hsa2 MR for VCP,Hsa3 MR for VCP,Mmu MR for Vcp,Mmu2 MR for Vcp,Rno MR for Vcp,Cfa MR for VCP,Gga MR for VCP,Dre MR for vcp,Dme MR for TER94,Dme2 MR for TER94,Cel MR for cdc-48.2,Cel MR for cdc-48.1,Sce MR for CDC48,Spo MR for cdc48
0,VCP,"valosin containing protein",7415,3,0.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 1.0 ,1.0 0.0 ,0.0 ,0.0 
1,EIF4G1,"eukaryotic translation initiation factor 4 gamma, 1",1981,3,4.0,6.7 ,1.7 ,122.6 ,19.3 ,11.6 ,,3820.5 ,,1964.9 ,4749.0 ,,,,
2,CLTA,"clathrin, light chain A",1211,2,4.2,38.0 ,206.7 ,397.2 ,357.9 ,2092.9 ,,70.0 ,132.7 ,439.9 ,3835.9 ,,,,
3,CREB3,"cAMP responsive element binding protein 3",10488,3,4.5,196.8 ,109.7 ,1159.9 ,1348.5 ,1761.9 ,3466.5 ,45.7 ,5737.4 ,,,,,,
4,SURF4,"surfeit 4",6836,3,10.2,12.7 ,50.1 ,164.2 ,6455.5 ,123.8 ,6425.5 ,460.4 ,,929.7 ,7579.0 ,794.6 ,906.4 ,164.2 ,1712.7 
5,PSMC3,"proteasome (prosome, macropain) 26S subunit, ATPase, 3",5702,3,11.9,25.9 ,64.1 ,14.1 ,339.5 ,24.3 ,280.9 ,2254.8 ,5.3 ,11.8 ,21.6 ,135.7 ,67.8 ,3.7 ,237.7 
6,STOML2,"stomatin (EPB72)-like 2",30968,3,17.1,215.9 ,115.7 ,1052.9 ,1124.7 ,1825.8 ,653.7 ,,,2238.6 ,1196.9 ,4315.2 ,4162.5 ,,1447.5 
7,PIGO,"phosphatidylinositol glycan anchor biosynthesis, class O",84720,1,18.0,452.1 ,3052.6 ,2564.9 ,11805.7 ,1280.6 ,9501.5 ,,,1058.0 ,3470.6 ,6072.8 ,3387.7 ,,
8,PSMD1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1",5707,3,18.2,5.4 ,62.9 ,10.2 ,71.5 ,1137.0 ,,21.5 ,12.0 ,4.9 ,1.7 ,,,7.8 ,47.0 
9,CLPTM1L,"CLPTM1-like",81037,3,19.4,63.5 ,247.2 ,1315.3 ,1517.9 ,179.8 ,9351.3 ,1037.0 ,335.3 ,435.8 ,3596.4 ,2328.3 ,1550.3 ,,
