,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TBK1,Hsa2 MR for TBK1,Hsa3 MR for TBK1,Mcc MR for TBK1,Mmu MR for Tbk1,Mmu2 MR for Tbk1,Rno MR for Tbk1,Cfa MR for TBK1,Gga MR for TBK1,Dre MR for tbk1,Dme MR for ik2,Dme2 MR for ik2
0,TBK1,"TANK-binding kinase 1",29110,3,0.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
1,RAB21,"RAB21, member RAS oncogene family",23011,3,4.2,28.7 ,2703.4 ,,233.4 ,3380.8 ,16.6 ,,2841.9 ,1061.2 ,2784.3 ,3065.4 
2,USP15,"ubiquitin specific peptidase 15",9958,3,4.2,2.8 ,62.8 ,726.8 ,1253.7 ,446.4 ,633.7 ,166.2 ,176.1 ,,,
3,LEMD3,"LEM domain containing 3",23592,3,10.0,158.8 ,806.9 ,960.1 ,6.0 ,7387.9 ,544.9 ,479.8 ,4550.0 ,8296.3 ,,
4,TBC1D23,"TBC1 domain family, member 23",55773,3,10.2,43.5 ,424.0 ,680.7 ,283.4 ,282.2 ,349.9 ,67.0 ,206.8 ,4497.5 ,7251.4 ,11163.6 
5,TBC1D15,"TBC1 domain family, member 15",64786,3,25.1,8.7 ,4949.5 ,814.0 ,169.2 ,611.1 ,21.1 ,57.7 ,1660.1 ,1119.2 ,1043.2 ,895.4 
6,ZNF267,"zinc finger protein 267",10308,3,27.7,3.2 ,72.9 ,1304.6 ,2549.5 ,3687.3 ,,,,,,
7,SHOC2,"soc-2 suppressor of clear homolog (C. elegans)",8036,3,30.6,62.6 ,57.8 ,124.4 ,1943.1 ,146.4 ,2527.7 ,56.3 ,3034.9 ,,4095.2 ,3618.1 
8,UTS2R,"urotensin 2 receptor",2837,1,31.6,19458.7 ,,14836.2 ,18498.9 ,,12620.2 ,15847.3 ,11548.5 ,,,
9,PPP1R12A,"protein phosphatase 1, regulatory subunit 12A",4659,3,34.7,198.6 ,397.9 ,6709.1 ,95.0 ,576.8 ,2186.8 ,1053.9 ,1257.8 ,702.6 ,7375.3 ,7495.6 
10,ATP4B,"ATPase, H+/K+ exchanging, beta polypeptide",496,2,57.4,17374.8 ,11016.8 ,7984.2 ,20118.3 ,19200.2 ,12987.3 ,14800.2 ,7990.7 ,,,
11,SPPL2A,"signal peptide peptidase like 2A",84888,3,57.4,230.7 ,84.0 ,,977.8 ,3598.9 ,1247.3 ,1515.8 ,1613.7 ,59.5 ,,
12,MAP3K10,"mitogen-activated protein kinase kinase kinase 10",4294,1,63.1,19713.0 ,19003.5 ,14380.8 ,12231.4 ,10265.6 ,7819.4 ,15886.9 ,,,,
13,LOC255654,"uncharacterized LOC255654",255654,0,63.9,,,,,,,,,,,
14,PANX2,"pannexin 2",56666,1,63.9,19189.6 ,15049.6 ,9778.4 ,17773.2 ,9815.4 ,,15914.8 ,12846.6 ,,,
15,100134287,"&nbsp;",100134287,0,69.4,,,,,,,,,,,
16,DTX2P1-UPK3BP1-PMS2P11,"DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene",441263,1,74.6,10723.7 ,14353.0 ,,,,,,,,,
17,SH3GL1P2,"SH3-domain GRB2-like 1 pseudogene 2",6459,0,75.0,,,,,,,,,,,
18,CAMK2N2,"calcium/calmodulin-dependent protein kinase II inhibitor 2",94032,1,75.2,19731.0 ,16996.0 ,15264.0 ,15426.7 ,17625.7 ,13315.1 ,16173.0 ,,,,
19,SV2B,"synaptic vesicle glycoprotein 2B",9899,1,75.5,14814.5 ,16078.6 ,6574.7 ,15074.2 ,7399.8 ,5808.5 ,15045.4 ,12621.9 ,4054.3 ,,
20,ASPG,"asparaginase",374569,1,77.3,19601.8 ,17756.1 ,15511.9 ,14759.3 ,16352.6 ,8033.9 ,15020.4 ,,,,
21,AMZ1,"archaelysin family metallopeptidase 1",155185,1,78.1,19171.2 ,16240.5 ,15347.2 ,9156.4 ,14344.2 ,,15700.1 ,11536.5 ,,,
22,GRIN3B,"glutamate receptor, ionotropic, N-methyl-D-aspartate 3B",116444,1,78.3,19717.5 ,19063.6 ,,17253.6 ,13259.4 ,11718.0 ,16070.1 ,,,,
23,CCDC105,"coiled-coil domain containing 105",126402,1,79.0,19392.4 ,,,19765.7 ,13092.8 ,13537.1 ,,,,,
24,ZUFSP,"zinc finger with UFM1-specific peptidase domain",221302,3,79.4,169.1 ,13.2 ,1676.8 ,78.5 ,425.8 ,179.2 ,62.9 ,3420.2 ,2822.1 ,,
25,ARID4B,"AT rich interactive domain 4B (RBP1-like)",51742,3,83.4,139.4 ,532.7 ,451.9 ,420.3 ,1933.2 ,267.5 ,50.4 ,,,4181.7 ,2919.8 
26,EFR3A,"EFR3 homolog A (S. cerevisiae)",23167,3,87.9,208.8 ,303.1 ,81.4 ,454.9 ,904.0 ,695.5 ,1261.5 ,573.9 ,1349.6 ,,
27,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",8649,3,90.9,257.6 ,641.5 ,297.0 ,86.7 ,1736.1 ,529.6 ,491.0 ,4488.4 ,,4818.8 ,2982.1 
28,ZNRF4,"zinc and ring finger 4",148066,2,94.7,18827.1 ,,,19970.9 ,18467.6 ,,16038.2 ,,,,
29,LINGO3,"leucine rich repeat and Ig domain containing 3",645191,1,97.1,19314.5 ,11837.8 ,15588.2 ,17002.7 ,16248.0 ,,16185.0 ,11500.6 ,,,
30,LACTB,"lactamase, beta",114294,3,98.9,205.7 ,355.8 ,114.5 ,,8420.2 ,6039.3 ,187.5 ,1521.6 ,7299.5 ,,
31,LINC01547,"long intergenic non-protein coding RNA 1547",84536,0,101.1,19233.1 ,12367.1 ,,,,,,,,,
32,KCNK16,"potassium channel, subfamily K, member 16",83795,1,104.3,19094.2 ,,15546.5 ,20085.9 ,,,15251.8 ,10824.1 ,,,
33,PTGIR,"prostaglandin I2 (prostacyclin) receptor (IP)",5739,1,107.1,14872.7 ,10637.9 ,12376.8 ,3945.6 ,8967.0 ,,15757.7 ,,,,
34,MGC45922,"uncharacterized LOC284365",284365,1,107.3,19374.0 ,,,,,,,,,,
