GeneMANIA Results		
Plugin Version	3.4.0 (20150529-1245)	
Data Version	12/08/14	
Report Generated	Wed May 25 09:55:22 BST 2016	
		
Gene	Score	Description
KLC1		kinesin light chain 1 [Source:HGNC Symbol;Acc:6387]
NDUFS5		"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7712]"
RNF130		ring finger protein 130 [Source:HGNC Symbol;Acc:18280]
RPL35A		ribosomal protein L35a [Source:HGNC Symbol;Acc:10345]
PLEKHB1		"pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:19079]"
MAP3K13		mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:6852]
BBIP1		BBSome interacting protein 1 [Source:HGNC Symbol;Acc:28093]
RAB40B		"RAB40B, member RAS oncogene family [Source:HGNC Symbol;Acc:18284]"
SUN1		Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:18587]
ORAI2		ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:21667]
DCN		decorin [Source:HGNC Symbol;Acc:2705]
VPS13B		vacuolar protein sorting 13 homolog B (yeast) [Source:HGNC Symbol;Acc:2183]
KPNA6		karyopherin alpha 6 (importin alpha 7) [Source:HGNC Symbol;Acc:6399]
PRKD1		protein kinase D1 [Source:HGNC Symbol;Acc:9407]
JAG1		jagged 1 [Source:HGNC Symbol;Acc:6188]
NKTR		natural killer-tumor recognition sequence [Source:HGNC Symbol;Acc:7833]
MPHOSPH9		M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:7215]
CELF1		"CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:2549]"
SNAPC5		"small nuclear RNA activating complex, polypeptide 5, 19kDa [Source:HGNC Symbol;Acc:15484]"
UBE2L3		ubiquitin-conjugating enzyme E2L 3 [Source:HGNC Symbol;Acc:12488]
ZNF518A		zinc finger protein 518A [Source:HGNC Symbol;Acc:29009]
ZMYND11		"zinc finger, MYND-type containing 11 [Source:HGNC Symbol;Acc:16966]"
PTPN13		"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase) [Source:HGNC Symbol;Acc:9646]"
OTUB1		"OTU domain, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:23077]"
STMN1		stathmin 1 [Source:HGNC Symbol;Acc:6510]
PFDN1		prefoldin subunit 1 [Source:HGNC Symbol;Acc:8866]
SERBP1		SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:17860]
ZFYVE26		"zinc finger, FYVE domain containing 26 [Source:HGNC Symbol;Acc:20761]"
PPP1R7		"protein phosphatase 1, regulatory subunit 7 [Source:HGNC Symbol;Acc:9295]"
SCN1B		"sodium channel, voltage-gated, type I, beta subunit [Source:HGNC Symbol;Acc:10586]"
RPLP2		"ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:10377]"
BPTF		bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:3581]
POGZ		pogo transposable element with ZNF domain [Source:HGNC Symbol;Acc:18801]
CDH11		"cadherin 11, type 2, OB-cadherin (osteoblast) [Source:HGNC Symbol;Acc:1750]"
SF3B1		"splicing factor 3b, subunit 1, 155kDa [Source:HGNC Symbol;Acc:10768]"
TCF4		transcription factor 4 [Source:HGNC Symbol;Acc:11634]
CST3		cystatin C [Source:HGNC Symbol;Acc:2475]
PABPC1		"poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]"
ACTN1		"actinin, alpha 1 [Source:HGNC Symbol;Acc:163]"
RPL37		ribosomal protein L37 [Source:HGNC Symbol;Acc:10347]
NUTF2		nuclear transport factor 2 [Source:HGNC Symbol;Acc:13722]
BGN		biglycan [Source:HGNC Symbol;Acc:1044]
PLOD2		"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:9082]"
CSRP1		cysteine and glycine-rich protein 1 [Source:HGNC Symbol;Acc:2469]
MXI1		"MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:7534]"
CD83		CD83 molecule [Source:HGNC Symbol;Acc:1703]
COPS7A		COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:16758]
ANXA1		annexin A1 [Source:HGNC Symbol;Acc:533]
GBAS		glioblastoma amplified sequence [Source:HGNC Symbol;Acc:4179]
CREG1		cellular repressor of E1A-stimulated genes 1 [Source:HGNC Symbol;Acc:2351]
PRPF3		pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:17348]
KCTD12		potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:14678]
ZFP36		ZFP36 ring finger protein [Source:HGNC Symbol;Acc:12862]
SPARC		"secreted protein, acidic, cysteine-rich (osteonectin) [Source:HGNC Symbol;Acc:11219]"
TUBB4B		"tubulin, beta 4B class IVb [Source:HGNC Symbol;Acc:20771]"
PPP2CB		"protein phosphatase 2, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:9300]"
CCT3		"chaperonin containing TCP1, subunit 3 (gamma) [Source:HGNC Symbol;Acc:1616]"
PSMD4		"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:HGNC Symbol;Acc:9561]"
PPP2CA		"protein phosphatase 2, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:9299]"
TARDBP		TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]
IGBP1	1.79	immunoglobulin (CD79A) binding protein 1 [Source:HGNC Symbol;Acc:5461]
FGFR1OP	1.7	FGFR1 oncogene partner [Source:HGNC Symbol;Acc:17012]
FAM107B	1.33	"family with sequence similarity 107, member B [Source:HGNC Symbol;Acc:23726]"
RPS24	1.21	ribosomal protein S24 [Source:HGNC Symbol;Acc:10411]
RPLP1	1.15	"ribosomal protein, large, P1 [Source:HGNC Symbol;Acc:10372]"
RPS25	1.09	ribosomal protein S25 [Source:HGNC Symbol;Acc:10413]
RPL32	1.08	ribosomal protein L32 [Source:HGNC Symbol;Acc:10336]
RPL12	1.07	ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]
RPS23	1.05	ribosomal protein S23 [Source:HGNC Symbol;Acc:10410]
RPL7	1.04	ribosomal protein L7 [Source:HGNC Symbol;Acc:10363]
RPS17	1.04	ribosomal protein S17 [Source:HGNC Symbol;Acc:10397]
NIPBL	1.03	Nipped-B homolog (Drosophila) [Source:HGNC Symbol;Acc:28862]
TUBA1B	1.01	"tubulin, alpha 1b [Source:HGNC Symbol;Acc:18809]"
RPS11	1	ribosomal protein S11 [Source:HGNC Symbol;Acc:10384]
RPS20	1	ribosomal protein S20 [Source:HGNC Symbol;Acc:10405]
RPS21	1	ribosomal protein S21 [Source:HGNC Symbol;Acc:10409]
RPS2	0.99	ribosomal protein S2 [Source:HGNC Symbol;Acc:10404]
RPS7	0.99	ribosomal protein S7 [Source:HGNC Symbol;Acc:10440]
RPL27	0.98	ribosomal protein L27 [Source:HGNC Symbol;Acc:10328]
RPLP0	0.97	"ribosomal protein, large, P0 [Source:HGNC Symbol;Acc:10371]"
RPL9	0.95	ribosomal protein L9 [Source:HGNC Symbol;Acc:10369]
